case,problem,cores,candidates,fastest_time,fastest_added,fastest_spill,fastest_hit,fastest_name,min_copy_time,min_copy_added,min_copy_name,min_copy_time_penalty_pct,near2_time,near2_added,near2_saved_bytes,max_hit,max_hit_time,max_hit_added,max_hit_name,max_hit_time_penalty_pct,fastest_eligible,max_hit_eligible,fastest_ddr_proxy,max_hit_ddr_proxy
case_009,2,3,20,81783,268072,0,,v2_p2_affinity_s2_residency,153261,0,whole_graph_single_active,87.39958182018268,81783,268072,0,,,,,,,,,
case_009,2,4,20,61588,1352596,0,,lifetime_w8_b0.5,153261,0,whole_graph_single_active,148.84880171461973,62299,1352084,512,,,,,,,,,
case_009,2,5,20,51517,1332918,0,,region_observed_order_control,153261,0,whole_graph_single_active,197.49597220335033,51517,1332918,0,,,,,,,,,
case_009,3,2,20,80734,0,0,0.0,wcc_unrestricted_interleave_w2_base_earliest_start,80734,0,wcc_unrestricted_interleave_w2_base_earliest_start,0.0,80734,0,0,0.25149411218503354,99379,650290,op_stable_id_w100,23.09435925384595,495194,947720,495332,907276
case_009,3,3,19,82017,268072,0,0.0020956039943482194,v2_p3_affinity_s2_cache_window,153261,0,whole_graph_single_active,86.86491824865577,82017,268072,0,0.3319120879120879,95700,1018146,op_stable_id_w100,16.683126668861338,629890,1183000,762084,1120826
case_009,3,4,20,78916,1340300,0,0.3455526449201783,lifetime_w8_b0.5,153261,0,whole_graph_single_active,94.20776521871358,78916,1340300,0,0.35378337343002947,82513,1352588,trace_r00_00_producer_single,4.558011049723754,1368926,1379166,1362596,1359994
case_009,3,5,20,70269,1323190,0,0.386584323151854,lifetime_w8_b0.5,153261,0,whole_graph_single_active,118.10613499551721,70269,1323190,0,0.3944103511149908,73662,1327286,cache_r00_t000_useful_work_before_follower,4.828587286000929,1363718,1367814,1291330,1283138
case_012,1,5,19,12786,27648,0,,merge256,12787,0,merge512,0.007821054278123185,12787,0,27648,,,,,,,,,
case_012,2,5,20,12090,61824,0,,trace_r00_00_hot_pipe_single_move,12869,0,wcc_start0_affinity_a5_per_component_w15,6.443341604631936,12191,49536,12288,,,,,,,,,
case_012,3,5,20,12045,61824,0,0.08637326429748177,trace_r00_00_hot_pipe_single_move,12869,0,wcc_start0_affinity_a5_per_component_w15,6.8410128684101235,12184,49536,12288,0.09282801631086592,12279,49536,wcc_protected_interleave_v2_w2_complement_earliest_start,1.9427148194271382,543872,533632,569746,554898
