batch,case,problem,num_cores,seed,status,verified,baseline_makespan,logical_cap,makespan,official_speedup,diagnostic_baseline_over_time,added_copy_bytes,spill_copy_bytes,cache_byte_hit_rate,active_cores,logical_calls,cache_hits,stage_calls,status_counts,winning_stage,winning_name,selected_plan_sha256,summary_sha256,prefix_4_makespan,prefix_12_makespan,prefix_24_makespan,prefix_48_makespan,prefix_90_makespan
batch_smoke_v1,case_071,1,2,17,completed_feasible,True,18919,4,18799,1.0063833182616098,1.0063833182616098,57220,0,,1,4,0,"{""component"": 1, ""selective"": 3}","{""success"": 4}",selective,selective_local_quantile_stable_id_x1_a2_eft,2c682f68f41b28587bb05447a3e82a88ee45276b46f228dabee658aa1bc5c9d0,82a9793f2722053aaecb5fd97bec7fd0001b8b2065ef09da1f6de12721bb1467,18799,18799,18799,18799,18799
batch_smoke_v1,case_071,2,2,17,completed_feasible,True,18919,4,11778,1.6062998811343183,1.6062998811343183,133732,0,,2,4,0,"{""component"": 1, ""operation"": 3}","{""success"": 4}",operation,op_critical_path_w200,c8cf4325f3f4f6dffb21c2d7ca7e8ac1b6f1a2d908983a6c43e16bf65b20fb78,2d2afb16e02ab767688a70880d9198d7724136843e29864bf02c3fdc5e8ecfb8,11778,11778,11778,11778,11778
batch_smoke_v1,case_071,3,2,17,completed_feasible,True,18919,4,11714,1.615075977462865,1.615075977462865,133732,0,0.08704047371300458,2,4,0,"{""component"": 1, ""operation"": 3}","{""success"": 4}",operation,op_critical_path_w200,c8cf4325f3f4f6dffb21c2d7ca7e8ac1b6f1a2d908983a6c43e16bf65b20fb78,62fd64af1a877eca7e09e9cf4480effdf2f25882b442cad79c05b9b1e03faca5,11714,11714,11714,11714,11714
