case,method,complete,status,seed_time,best_time,best_copy,candidates,paid_calls,successes,errors,generation_seconds,elapsed_seconds
case_047,cpsat_warm,True,completed,159950,158234,3966906,1,1,1,0,9.64485570800025,13.555472709005699
case_047,cpsat_intact,True,completed,159950,159834,3887038,1,1,1,0,0.943036500015296,4.61979004193563
case_075,cpsat_warm,True,completed,422465,422465,10638860,1,1,1,0,17.974502750090323,20.57518437493127
case_075,cpsat_intact,True,completed,422465,422465,10638860,1,1,1,0,1.0090324999764562,3.306200540973805
case_085,cpsat_warm,True,completed,873645,873645,23398256,1,1,1,0,18.0582154589938,23.985919125028886
case_085,cpsat_intact,True,completed,873645,872469,23398256,1,1,1,0,1.1801227079704404,7.512044040951878
