case,cores,p2_makespan,p3_makespan,p2_over_p3,p2_added_copy,p3_added_copy,p2_cache_hit_rate,p3_cache_hit_rate,p3_hit_bytes,p3_miss_bytes,relation
case_065,1,29854,29854,1.0,0,0,N/A,0.0,0,299720,equal
case_066,1,280637,280637,1.0,0,0,N/A,0.0,0,1027116,equal
case_067,1,60066399,60066399,1.0,29110272,29110272,N/A,0.05018105641179111,1073152,20312448,equal
case_068,1,256826,256826,1.0,627670,627670,N/A,0.014629195849318372,45004,3031310,equal
case_069,1,19752,19752,1.0,0,0,N/A,0.0,0,113766,equal
case_070,1,92008,92008,1.0,0,0,N/A,0.0,0,419858,equal
case_071,1,14377,14377,1.0,0,0,N/A,0.0,0,111462,equal
case_072,1,23454874,23444619,1.000437413804848,88848864,88848864,N/A,0.036787222300332184,3676160,96254190,faster
case_073,1,8206775,8206775,1.0,188416,188416,N/A,0.0,0,3975552,equal
case_074,1,1607310,1605014,1.0014305171169846,2392092,2392092,N/A,0.04508823003300395,229376,4857894,faster
case_075,1,1138789,1138789,1.0,0,0,N/A,0.0,0,1819782,equal
case_076,1,6116671,6116632,1.0000063760579352,22736896,22736896,N/A,0.25192431653585107,6803456,20202496,faster
case_077,1,418664,418664,1.0,0,0,N/A,0.0,0,2141260,equal
case_078,1,2061245,2061245,1.0,0,0,N/A,0.0,0,2246784,equal
case_079,1,30161480,30801806,0.9792114137722964,67907584,35608576,N/A,0.0025216316440049443,104448,41316352,slower
case_080,1,289509,289509,1.0,827392,827392,N/A,0.0,0,2318336,equal
case_081,1,151795,151795,1.0,0,0,N/A,0.0,0,1044820,equal
case_082,1,597412,597412,1.0,960396,960396,N/A,1.1465588901309944e-05,12,1046598,equal
case_083,1,823296,823296,1.0,131072,131072,N/A,0.0,0,1249888,equal
case_084,1,1268652,1268652,1.0,0,0,N/A,0.0,0,9927786,equal
case_085,1,2707438,2707438,1.0,10144936,10144936,N/A,3.5669539550831323e-06,24,6728406,equal
case_086,1,92756,92756,1.0,171086,171086,N/A,3.442543941614455e-05,14,406662,equal
case_087,1,3660759,3660005,1.0002060106475263,8097756,8097756,N/A,0.05724778959275082,774956,12761916,faster
case_088,1,182214,182110,1.0005710834111252,461958,461958,N/A,0.0039684077163591,8194,2056614,faster
case_089,1,589412,589412,1.0,0,0,N/A,0.0,0,402560,equal
case_090,1,840883,840883,1.0,0,0,N/A,0.0,0,2188416,equal
case_091,1,9040424,9038981,1.0001596418888368,38763680,38763680,N/A,0.10321349704089745,4673920,40610080,faster
case_092,1,3945094,3958435,0.9966297286680216,56614784,34696704,N/A,0.6835711560610748,24252864,11226784,slower
case_093,1,74205,74205,1.0,0,0,N/A,0.0,0,573440,equal
case_094,1,71257,71257,1.0,0,0,N/A,0.0,0,471328,equal
case_095,1,1073865,1073865,1.0,0,0,N/A,0.0,0,8516508,equal
case_096,1,54774,54774,1.0,137216,137216,N/A,0.00731710802738199,2048,277844,equal
case_097,1,10419693,10419693,1.0,34676736,34676736,N/A,0.0,0,21598208,equal
case_098,1,169595,169429,1.000979761433993,1566248,1566248,N/A,0.0847500148715999,131072,1415500,faster
case_099,1,1596164,1596164,1.0,6086016,6086016,N/A,0.15204356209081085,918528,5122688,equal
case_100,1,139277,139277,1.0,0,0,N/A,0.0,0,436006,equal
case_001,2,116868,116868,1.0,1152,1152,N/A,0.0,0,821504,equal
case_002,2,125561,125561,1.0,3975168,3975168,N/A,0.030904235024799696,124416,3901440,equal
case_003,2,281188,279980,1.0043145938995643,7582218,7582474,N/A,0.06798449287937185,360582,4943304,faster
case_004,2,194802,194802,1.0,125952,125952,N/A,0.13440860215053763,76800,494592,equal
case_005,2,40820,40429,1.009671275569517,710982,710982,N/A,0.1929412707315119,144486,604374,faster
case_006,2,39362,39362,1.0,3456,3456,N/A,0.006321334503950834,3456,543264,equal
case_007,2,490226,490226,1.0,35328,35328,N/A,0.021885521885521887,19968,892416,equal
case_008,2,129246,129246,1.0,0,0,N/A,0.0,0,1990872,equal
case_009,2,79930,79930,1.0,493568,493568,N/A,0.06153122673180672,47104,718426,equal
case_010,2,41049,40461,1.0145325127900942,1561020,1561020,N/A,0.1273421001031826,158464,1085932,faster
case_011,2,92646,92646,1.0,180224,180224,N/A,0.0,0,720896,equal
case_012,2,18675,18542,1.0071729047567684,28800,28800,N/A,0.0561517344646868,28800,484096,faster
case_013,2,132198,132198,1.0,8192,8192,N/A,0.0,0,2031616,equal
case_014,2,8801137,8787064,1.001601558836945,68858136,68858136,N/A,0.3505259174534151,27610848,51158928,faster
case_015,2,67929,67929,1.0,1191168,1191168,N/A,0.04569707187985756,70144,1464834,equal
case_016,2,4027025,4026193,1.0002066468249287,404196,404196,N/A,0.49653374953593915,393216,398706,faster
case_017,2,57263,57263,1.0,87552,87552,N/A,0.06166990540735863,38400,584270,equal
case_018,2,486844,486465,1.0007790899653624,1463296,1463296,N/A,0.42317009037072306,1258496,1715476,faster
case_019,2,26149,26149,1.0,2592,2592,N/A,0.014253975935417171,2592,179252,equal
case_020,2,266580,266580,1.0,0,0,N/A,0.0,0,1179648,equal
case_021,2,3102874,3102874,1.0,25079808,25079808,N/A,0.0,0,15663104,equal
case_022,2,27246,27181,1.0023913763290533,6912,6912,N/A,0.03135376408469871,6912,213540,faster
case_023,2,37454,37454,1.0,74016,74016,N/A,0.14566121801557844,74016,434122,equal
case_024,2,1335245,1334413,1.0006234951248227,396852,396852,N/A,0.49884681255946717,393216,395034,faster
case_025,2,2351860,2351860,1.0,27648,27648,N/A,0.0,0,4150272,equal
case_026,2,49039,49039,1.0,288,288,N/A,0.0005887475622171252,288,488886,equal
case_027,2,1115722,1115722,1.0,1105920,1105920,N/A,0.0,0,2949120,equal
case_028,2,20076161,20075994,1.0000083183926036,93967488,93967488,N/A,0.04038096872065304,2146536,51010584,faster
case_029,2,19740,19740,1.0,0,0,N/A,0.0,0,258132,equal
case_030,2,1388867,1388867,1.0,1765376,1765376,N/A,0.4200935730115735,1746944,2411520,equal
case_031,2,680485,679536,1.0013965411692685,4885124,4885124,N/A,0.447338611427126,2928640,3618168,faster
case_032,2,17325,17325,1.0,6144,6144,N/A,0.02153522607781283,6144,279156,equal
case_033,2,869585,868519,1.0012273767182986,6563360,6563360,N/A,0.3592322583741754,3233280,5767248,faster
case_034,2,374992,374992,1.0,1101312,1101312,N/A,0.3257070661663457,1101312,2279984,equal
case_035,2,80127,80127,1.0,588832,588832,N/A,0.05194117166343067,36864,672862,equal
case_036,2,466068,466068,1.0,1152,1152,N/A,0.0,0,3279104,equal
case_037,2,105374,105374,1.0,204800,204800,N/A,0.0,0,737280,equal
case_038,2,666218,664974,1.0018707498338282,5591552,5591552,N/A,0.38491691383110516,2710016,4330506,faster
case_039,2,692686,691136,1.0022426845078247,13369344,13369344,N/A,0.22572665429808286,2990080,10256384,faster
case_040,2,130824,130824,1.0,12288,12288,N/A,0.013306448993028408,12288,911174,equal
case_041,2,2968333,2973456,0.9982770890169553,30394368,29000704,N/A,0.2932637170278264,9950208,23979008,slower
case_042,2,822365,821855,1.0006205474201653,3658016,3658016,N/A,0.3932228121589641,2052384,3167008,faster
case_043,2,272847,272945,0.999640953305611,1698060,1701132,N/A,0.29149491090826507,781678,1899940,slower
case_044,2,43839,43790,1.0011189769353734,930400,930400,N/A,0.0015122166717640262,2848,1880480,faster
case_045,2,62983,62983,1.0,0,0,N/A,0.0,0,278528,equal
case_046,2,105322,105322,1.0,930400,930400,N/A,0.0,0,1926336,equal
case_047,2,150181,149574,1.0040581919317528,903430,903366,N/A,0.16683204059324871,165446,826246,faster
case_048,2,114065,102880,1.108718895800933,479718,479718,N/A,0.20373194953329907,147462,576342,faster
case_049,2,103352,103147,1.001987454797522,3732258,3729574,N/A,0.00864713262971437,17574,2014776,faster
case_050,2,88024,87754,1.0030767828247145,950954,950954,N/A,0.2070838446898956,186286,713282,faster
case_051,2,319230,318398,1.0026130817404633,394080,394080,N/A,0.4997254925882999,393216,393648,faster
case_052,2,71528,71558,0.9995807596634898,232448,186368,N/A,0.08678801474927489,82944,872764,slower
case_053,2,609413,609949,0.9991212380051447,1165808,1167856,N/A,0.2541239498478077,1016046,2982184,slower
case_054,2,439945,439923,1.0000500087515316,1030306,1030306,N/A,0.031371016910931554,67610,2087564,faster
case_055,2,36179,36179,1.0,57856,57856,N/A,0.08464072749828834,57856,625692,equal
case_056,2,137372,137140,1.0016917019104565,4124990,4124990,N/A,0.02183512571973991,50694,2270978,faster
case_057,2,25585,25553,1.0012522991429578,94496,69920,N/A,0.011730079734574838,4384,369356,faster
case_058,2,2238588,2237150,1.0006427821111683,33644544,33644544,N/A,0.10783316378433368,4341760,35921920,faster
case_059,2,369318,369318,1.0,360448,360448,N/A,0.0,0,1441792,equal
case_060,2,364591,364106,1.0013320296836636,2615424,3611780,N/A,0.30738267647274786,1615872,3641002,faster
case_061,2,36322,36255,1.001848020962626,34560,34176,N/A,0.056524961727890496,32640,544804,faster
case_062,2,1578399,1578487,0.9999442504119451,10994688,10948608,N/A,0.0,0,18874368,slower
case_063,2,533734,548808,0.9725331992245011,12549120,15203328,N/A,0.029322268326417704,488448,16169472,slower
case_064,2,11107,13331,0.8331708048908559,60454,33828,N/A,0.03829930195229385,2052,51526,slower
case_065,2,16086,16067,1.0011825480799152,13968,13968,N/A,0.044528321134375555,13968,299720,faster
case_066,2,180684,179280,1.0078313253012048,4024796,4024796,N/A,0.12231544110892467,404778,2904518,faster
case_067,2,29743067,29721725,1.0007180606105466,50651520,50667904,N/A,0.09843867943268046,3171584,29047296,faster
case_068,2,165990,164057,1.0117824902320536,2416760,2405744,N/A,0.17908448190444165,796696,3652020,faster
case_069,2,11609,12078,0.9611690677264447,226118,322852,N/A,0.11567820687483313,33794,258344,slower
case_070,2,46481,46445,1.00077511034557,129536,129536,N/A,0.235779786455622,129536,419858,faster
case_071,2,9551,9550,1.000104712041885,149190,149190,N/A,0.06732610082961073,13926,192918,faster
case_072,2,11699495,11698667,1.0000707772945414,115911456,115911456,N/A,0.20950142680813844,26607616,100396846,faster
case_073,2,4145658,4137477,1.00197729195836,10114688,10114688,N/A,0.24859890680135613,2759424,8340480,faster
case_074,2,802539,801507,1.0012875745314764,3588116,3588116,N/A,0.347877037787156,2351104,4407330,faster
case_075,2,626530,599976,1.0442584370041468,8219270,3907972,N/A,0.1587000981456458,652292,3457926,faster
case_076,2,3060647,3059865,1.0002555668305628,28484608,28484608,N/A,0.3995810667166885,13087744,19665920,faster
case_077,2,216557,216779,0.998975915563777,73728,73728,N/A,0.02598518394994372,57344,2149452,slower
case_078,2,1020602,1020602,1.0,2148480,2148480,N/A,0.0,0,4395264,equal
case_079,2,15123031,15207597,0.9944392266575712,64829440,38100992,N/A,0.0034978080402947487,153600,43759616,slower
case_080,2,145224,145224,1.0,1904640,1904640,N/A,0.33225806451612905,1265664,2543616,equal
case_081,2,76860,76860,1.0,0,0,N/A,0.0,0,1044820,equal
case_082,2,310774,309703,1.003458151842249,3885638,3885638,N/A,0.06514296553436462,168966,2424806,faster
case_083,2,411909,411871,1.0000922618975359,8206944,8206944,N/A,0.012337163898499294,70976,5682048,faster
case_084,2,635532,636068,0.9991573228019646,9216,0,N/A,0.0,0,9927786,slower
case_085,2,1582933,1582931,1.0000012634789515,10318712,10318712,N/A,0.09130191153934236,651428,6483450,faster
case_086,2,49693,49309,1.0077876249771847,899142,788550,N/A,0.2168519729670809,179046,646614,faster
case_087,2,1836261,1835224,1.0005650536392288,11026388,11026388,N/A,0.2238471951881271,3755522,13021646,faster
case_088,2,109433,107989,1.0133717323060683,1614074,1614078,N/A,0.1798498617679818,533830,2434368,faster
case_089,2,294992,294992,1.0,238720,238720,N/A,0.0,0,641280,equal
case_090,2,431288,431243,1.0001043495198763,3818928,3818928,N/A,0.04145424153781864,214272,4954608,faster
case_091,2,4511151,4508153,1.00066501735855,52865312,52865312,N/A,0.35432138744768704,21042688,38346016,faster
case_092,2,1978704,1958800,1.0101613232591382,16527968,56975776,N/A,0.7098271317271533,40396864,16513984,faster
case_093,2,37335,37559,0.9940360499480817,16384,12288,N/A,0.010526315789473684,6144,577536,slower
case_094,2,36011,36011,1.0,106272,106272,N/A,0.1520775623268698,87840,489760,equal
case_095,2,539178,539178,1.0,0,0,N/A,0.0,0,8516508,equal
case_096,2,32672,32672,1.0,103104,103104,N/A,0.16209838199991863,47808,247124,equal
case_097,2,5152906,5165085,0.9976420523573184,2555904,2664448,N/A,0.3732499255287459,2566144,4308992,slower
case_098,2,89620,89620,1.0,0,0,N/A,0.0,0,697912,equal
case_099,2,799145,799052,1.0001163879196848,7516160,7516160,N/A,0.4454746924115444,4476928,5572864,faster
case_100,2,72939,72939,1.0,4608,4608,N/A,0.01045813342290531,4608,436006,equal
case_001,3,78545,78545,1.0,2304,2304,N/A,0.0,0,822656,equal
case_002,3,81890,82013,0.9985002377671832,669696,632832,N/A,0.0,0,1539072,slower
