group,source,configs,failed,logical_calls,new_calls,wall_seconds,fresh_evaluations
regression,运行结果/P23结构回归_v1,24,0,266,76,75.67377466603648,False
validation,运行结果/P23结构验证_v1,72,0,820,272,386.2914809579961,False
