problem,cores,cases,mean_speedup
1,1,100,1.0021867095309935
1,2,100,1.806035547067042
1,3,100,2.4805474394493383
1,4,100,3.104131476067908
1,5,100,3.8155220688497162
2,1,100,1.0024460533585284
2,2,100,2.0623654542098473
2,3,100,2.9523930252871593
2,4,100,3.6494460099026917
2,5,100,4.546369268637808
3,1,100,1.0111209089977997
3,2,100,2.0688482278804115
3,3,100,2.967477113204194
3,4,100,3.6933264954016
3,5,100,4.666246856079605
