case,problem,cores,makespan,added_copy,original_singlecore,speedup,source,source_commit,source_plan,plan,plan_sha256,verification
case_002,1,2,136619,56832,261945,1.9173394623002658,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n2/case_002_multicore_res.json,方案/p1/n2/case_002_multicore_res.json,3e91047185fd9ae3ed313c81064c746a03b2ab0d53ec877e2015c29918ad68cb,inherited_team13_success
case_002,1,3,124560,565248,261945,2.102962427745665,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n3/case_002_multicore_res.json,方案/p1/n3/case_002_multicore_res.json,1cc6a1f69c93f6161603e4a59d70bd972e58a4ee8322a2b0f23f93565dbb1e47,inherited_team13_success
case_002,1,4,88895,1594368,261945,2.9466786658417234,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p1/n4/case_002_multicore_res.json,方案/p1/n4/case_002_multicore_res.json,e5dfcbd83a0a6c88f81064d25b2fee569c9e23f9dc8d1e8cb2ad1ac5f6cc2d6d,inherited_team13_success
case_002,1,5,64296,2165760,261945,4.074048152295632,ours,238aafecf447488e1397467ddebe4d994477c899,A题研究/直接迭代/闭环验证_20260925/精选方案/case_002_p1_n5.json,方案/p1/n5/case_002_multicore_res.json,5b5b63dd7752e106d4258c3ff10da6b0944cba1bd9156d2eb9311280a58ade38,fresh_import_replay
case_002,2,1,261945,0,261945,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n1/case_002_multicore_res.json,方案/p2/n1/case_002_multicore_res.json,fa478d3a58941f61dee0a0543f1c4c7341d4a4b5c31214b30f8bcc94cb6d942b,inherited_team13_success
case_002,2,2,125561,3975168,261945,2.086197147203351,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n2/case_002_multicore_res.json,方案/p2/n2/case_002_multicore_res.json,30587bf44d5748c6a4ca5ba616b76be0d49c2019af78ea8fea4be16d12e6cee1,inherited_team13_success
case_002,2,3,82013,632832,261945,3.1939448623998636,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n3/case_002_multicore_res.json,方案/p2/n3/case_002_multicore_res.json,461eca12c666881060e3e2901bffcab4b8318a0840ed2c1f302ec7e1a7b61027,inherited_team13_success
case_002,2,4,63304,595968,261945,4.137890180715279,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n4/case_002_multicore_res.json,方案/p2/n4/case_002_multicore_res.json,43413ad1505a9b48ec3ecde14ef3fb54b1b5468b449f616a03351b6d1c4b455e,inherited_team13_success
case_002,2,5,51207,642048,261945,5.115413908254731,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p2/n5/case_002_multicore_res.json,方案/p2/n5/case_002_multicore_res.json,5dcc44acd14d153494c2e1f85ae0a01722199c47aebc0f636ad84301c488dc77,inherited_team13_success
case_002,3,1,261945,0,261945,1.0,team13,8f3837f18546a015cb75ac992e870e51f48659c1,A题研究/直接迭代/第十三轮成果/方案/p3/n1/case_002_multicore_res.json,方案/p3/n1/case_002_multicore_res.json,fa478d3a58941f61dee0a0543f1c4c7341d4a4b5c31214b30f8bcc94cb6d942b,inherited_team13_success
