case,makespan,copy,spill,hit_bytes,miss_bytes,hit_rate,plan_sha256
case_039,289050,16449536,1515520,12922880,6864896,0.6530738977437384,220a86aac0b959ac405b72fa22ad2d6189ee48a09a4009efd4a34f117426cf8b
case_040,56079,2162492,0,552420,1711754,0.2439830154396261,6b381721c8985b3eef85e306ed489c40be78088fa37dd8ac5819ec1359a7c533
case_041,1189899,36806656,18786304,16505856,22550528,0.4226160824309798,d1df213026385c9cc21c4ec8dba2212e8aae3d818a8d979c31618ee1dc2ea426
case_042,348844,10597376,3310592,3753984,8404768,0.3087474767147155,3de989e7ff0840be58c03c4d639fc8046be58219987e41135186de126c931ba9
case_043,140740,6691004,0,1685656,3640596,0.31648070725906324,18327819710eeb6b43a51ee8952309cce1af6dd0549cdc6e41bef3c7fa759840
case_044,43210,1021280,0,301120,1627648,0.15612038358164382,e997b80bc15e95db58b1d933663ff3f529b56f8e6e152d7c25243a63b84d8254
case_045,25770,0,0,0,278528,0.0,a42dd59c93a57f988db6d6d76ddc50c4bb293ca5c3cfabc2086a7f010b00f534
case_046,56262,2582304,0,2054784,1517312,0.5752320206399828,5209746d94ee678abda811305126109c800b36b45287bdf06862ffaff6d5ef33
case_047,83346,2658872,0,916440,1138454,0.4459792086599114,ea353c5daccfdc7f715b45e571357cc8f60ef573ae76cfe367a1ff0f8084c537
case_048,96737,1236440,0,262184,842390,0.2373620961565273,e175c2642284f48c038015900e0f439225f2985fdbb75cf2b9f795893b9d2579
case_049,52519,1786208,0,251222,827806,0.23282250321585723,8e6e017eedadcd7e1c38e4d09abfda6f8639cda9f7c50bc7d4f45ab22daf8046
case_050,35012,1481220,0,437636,787856,0.3571104503334171,90ac2fd20b6c0c71200f0bbe2ae40203c6a20aca3ec6957687288548c394569c
case_051,159635,3507604,0,360586,1966656,0.15494134258491382,66be6762f6a74731bf33b9d4a4ef2cb0394a49a1f31c0455971678bfd7ef1ae3
case_052,31421,382976,54272,175104,991804,0.15005810226684538,932064e18b95931f3c2932a945fbd24e64bed76c918312a5167d58226d158af1
case_053,317827,15784344,3289536,8040228,7141474,0.5295999091537958,14c7f9ab4b87b66e4623cbc2b690e165e398bfbce0e7387465faa31f899d3c2a
case_054,192011,6504128,0,1289112,3917210,0.2476051231560399,c181086df169ced8a0ef5a8503dc2dd60c8a74094cef8b8f618eab2e2f968391
