case,method,candidate_best_name,candidate_best_time,parent_time,time_delta,candidate_best_proxy,parent_proxy,proxy_delta,copy_delta,task_delta,l1_delta,ub_delta
case_047,beam_large,beam_large_merge8_active,159745,159950,-205,156008.56666666665,153910.0666666667,2098.499999999942,119042,34,0,0
case_047,beam_small,beam_small_merge8_active,159787,159950,-163,155319.66666666672,153910.0666666667,1409.6000000000058,79868,16,0,0
case_047,cpsat_small,cpsat_small_merge8_active,160007,159950,57,156359.23333333337,153910.0666666667,2449.166666666657,79868,16,0,0
case_047,legacy,p1_joint_r0_phase2_eft_raw,158429,159950,-1521,152131.5333333334,153910.0666666667,-1778.5333333332965,20324,15,0,0
case_047,multilevel,multilevel_merge8_active,159135,159950,-815,155354.26666666672,153910.0666666667,1444.2000000000116,119042,34,0,0
case_075,beam_large,beam_large_raw,425951,422465,3486,394353.5999999994,389382.09999999934,4971.500000000058,272384,34,0,0
case_075,beam_small,beam_small_merge8_active,426445,422465,3980,392729.8333333327,389382.09999999934,3347.733333333337,116352,14,0,0
case_075,cpsat_small,cpsat_small_raw,426801,422465,4336,394479.29999999935,389382.09999999934,5097.200000000012,128640,16,0,0
case_075,legacy,p1_joint_r0_phase2_eft_raw,423619,422465,1154,387145.7333333327,389382.09999999934,-2236.3666666666395,32768,1,0,0
case_075,multilevel,multilevel_merge8_active,426342,422465,3877,394769.79999999935,389382.09999999934,5387.700000000012,272384,34,0,0
case_085,beam_large,beam_large_merge8_active,877493,873645,3848,802871.9333333333,793878.3666666667,8993.566666666651,694536,34,0,0
case_085,beam_small,beam_small_merge8_active,876622,873645,2977,800673.3999999999,793878.3666666667,6795.033333333209,360452,16,0,0
case_085,cpsat_small,cpsat_small_merge8_active,884749,873645,11104,814094.9000000003,793878.3666666667,20216.53333333356,360452,16,0,0
case_085,legacy,p1_joint_r0_tensor_cap0.25_eft_raw,875987,873645,2342,793496.1666666667,793878.3666666667,-382.19999999995343,0,0,0,0
case_085,multilevel,multilevel_merge8_active,878788,873645,5143,808823.5000000001,793878.3666666667,14945.133333333419,694536,34,0,0
