case,problem,time,ops,copy,spill,root_replication,root_replication_ratio,memory_pressure,speedup,active
case_087,2,797842,27556,19309582,6409364,6981120,0.3615365676999119,0.998931884765625,4.981025065113143,5
case_087,3,790623,27556,19304974,6404756,6981120,0.36162286465653876,0.998931884765625,5.026505679698162,5
case_088,1,97719,3309,4537362,0,1226518,0.2703152184022346,0.28125,2.4930975552349084,5
case_088,2,89206,3309,4304824,0,1241110,0.28830679256573555,0.61865234375,2.7310158509517297,5
case_088,3,79900,3309,4298656,0,1241106,0.2887195439690917,0.61865234375,3.04909887359199,4
case_089,1,147432,5120,1521280,0,954880,0.627681952040387,0.494384765625,4.701096098540344,5
case_089,2,140432,5120,4668800,0,952576,0.2040301576422207,0.4794921875,4.935427822718469,5
case_089,3,139354,5120,4668800,0,952576,0.2040301576422207,0.4794921875,4.973606785596394,5
case_090,1,494219,1664,26497464,4932792,8593920,0.3243299056845591,0.9911956787109375,2.384293197954753,5
case_090,2,260978,1664,10822272,0,8593920,0.7940957314693254,0.5101318359375,4.5151813562829055,5
case_090,3,194679,1664,10822272,0,8593920,0.7940957314693254,0.5101318359375,6.052851103611586,5
case_091,1,1861235,31554,72892408,0,19187200,0.26322631569531907,0.9814453125,4.935845822800452,5
case_091,2,1860293,31554,82418680,49927680,25913344,0.3144110534165313,0.9990234375,4.938345196159959,5
case_091,3,1818751,31554,81263096,48772096,25913344,0.31888206671328395,1.0,5.051141690093916,5
case_092,1,1618214,17608,72315328,60684800,3721600,0.05146350162444122,1.0,2.975844974768479,5
case_092,2,786613,17608,7584736,507904,3721600,0.49066968184522175,1.0,6.121884586194228,5
case_092,3,774426,17608,7584736,507904,3721600,0.49066968184522175,1.0,6.21822356170893,5
case_093,1,15876,552,747520,0,32768,0.043835616438356165,0.0390625,4.674036281179139,5
case_093,2,15630,552,747520,0,32768,0.043835616438356165,0.046875,4.747600767754319,5
case_093,3,15630,552,747520,0,32768,0.043835616438356165,0.046875,4.747600767754319,5
case_094,1,23422,647,845508,0,318816,0.3770703529712315,0.3125,4.051404662283323,4
case_094,2,17755,647,785892,0,259200,0.32981631063810296,0.3125,5.344522669670515,5
case_094,3,16819,647,785892,0,259200,0.32981631063810296,0.3125,5.641952553659552,5
case_095,1,420852,3696,11355036,0,0,0.0,0.28271484375,4.953886401870491,5
case_095,2,220188,3696,11355036,0,0,0.0,0.708984375,9.468513270477954,5
case_095,3,220188,3696,11355036,0,0,0.0,0.708984375,9.468513270477954,5
case_096,1,26984,1198,297894,0,78336,0.2629660214707245,0.15625,3.120145271271865,4
case_096,2,24231,1198,983562,0,182656,0.18570867926983758,0.548828125,3.474639924064215,3
case_096,3,24072,1198,983562,0,182656,0.18570867926983758,0.548828125,3.497590561648388,3
case_097,1,2102348,6592,26357760,4272128,17039360,0.6464646464646465,1.0,5.466035594487687,5
case_097,2,2102294,6592,26365952,4280320,17039360,0.6462637874786391,1.0,5.466175996316405,5
case_097,3,2101714,6592,26365952,4280320,17039360,0.6462637874786391,1.0,5.467684470865208,5
case_098,1,89756,1365,697994,0,0,0.0,0.843963623046875,1.9768037791345425,2
case_098,2,45597,1365,1556862,0,450564,0.28940522666748886,0.8125152587890625,3.891264776191416,5
case_098,3,44288,1365,1573246,0,434180,0.27597718347925243,0.781280517578125,4.006277095375722,5
case_099,1,337075,6296,13232788,3633152,7065600,0.5339464366843933,1.0,4.814949195282949,5
