group,wall_seconds,arms,logical_calls,new_calls,failed_calls,generation_seconds
开发,42.18146875000093,16,192,183,0,30.31220070843119
验证,105.48658925003838,24,288,271,0,68.69372962776106
P1扩展,32.55300579208415,4,36,36,0,7.007249292801134
定向续搜,41.4480002920609,12,144,129,0,41.902273414540105
低核P1,14.009994874941185,2,24,24,0,5.9894653329392895
低核数据,34.433266125037335,6,72,71,0,36.92274120799266
