case,problem,cores,baseline,v2,result,reduction,archive,archive_reduction,baseline_calls,v2_calls,baseline_seconds,v2_seconds,v2_best,v2_new_calls,v2_generation_errors
case_025,1,5,975282,975282,tie,0.0,975282,0.0,3,3,146.3764778879995,160.51745340399793,wcc_start0_simple_a5_per_core_lpt_mv,1,[]
case_025,2,5,975282,974390,win,0.0009146072623097412,974747,0.00036624888304348513,8,6,108.22657430099207,162.86989650101168,v2_p2_branch_s2_residency,1,[]
case_025,3,5,975282,974390,win,0.0009146072623097412,974747,0.00036624888304348513,8,7,109.1794053610065,174.70083514999715,v2_p3_branch_s2_cache_window,1,[]
case_043,1,5,232684,258721,loss,-0.11189854050987602,222525,-0.16266037523873722,8,8,53.70788858100423,67.37450424200506,v2_p1_wavefront_s2_critical,6,[]
case_043,2,5,232981,226361,win,0.02841433421609485,169830,-0.332868162279927,8,8,34.55646295200859,26.17118023399962,v2_p2_branch_s2_residency,6,[]
case_043,3,5,225659,219620,win,0.02676161819382339,158368,-0.38677005455647606,8,8,37.66048563498771,28.638383718993282,v2_p3_branch_s2_residency,6,[]
case_047,1,5,326508,208139,win,0.36253016771411417,321049,0.3516908633884547,8,8,103.83820951600501,95.79923020099523,v2_p1_branch_s2_critical,6,[]
case_047,2,5,122134,154397,loss,-0.26416067597884285,95504,-0.6166547997989613,8,8,47.87663319900457,39.35508925400791,v2_p2_branch_s2_residency,6,[]
case_047,3,5,120548,153109,loss,-0.2701081726781034,93047,-0.6455017356819672,8,8,50.69274908199441,39.168202656001085,v2_p3_branch_s2_residency,6,[]
case_048,1,5,222220,136675,win,0.38495634956349567,162167,0.15719597698668653,8,8,3.9212101900047855,4.677084950002609,v2_p1_wavefront_s4_critical,5,[]
case_048,2,5,102506,126327,loss,-0.23238639689384044,98926,-0.2769848169338698,8,8,3.731603778011049,3.9346382819931023,op_critical_path_w100,6,[]
case_048,3,5,102463,126323,loss,-0.2328645462264427,98781,-0.27881880118646296,8,8,3.8802838169940514,3.779560158000095,op_critical_path_w100,6,[]
case_051,1,5,607628,513650,win,0.15466370871651736,293518,-0.7499778548504692,8,8,2.6129021990054753,3.3834966869908385,v2_p1_wavefront_s4_critical,6,[]
case_051,2,5,164392,183148,loss,-0.11409314321864805,162296,-0.12848129343914816,8,8,3.1151227469963487,2.777116769007989,op_critical_path_w100,6,[]
case_051,3,5,161479,181583,loss,-0.12449916088160062,159635,-0.1374886459736273,8,8,3.376479697995819,2.9671320260094944,op_critical_path_w100,6,[]
case_064,1,5,16469,18027,loss,-0.09460197947659243,16370,-0.10122174709835075,8,8,2.0837309589987854,2.6561217309936183,v2_p1_wavefront_s4_critical,6,[]
case_064,2,5,8945,13414,loss,-0.49960871995528233,8559,-0.5672391634536744,8,8,2.192485966006643,2.1465347170014866,op_critical_path_w100,6,[]
case_064,3,5,8867,13337,loss,-0.5041163866020075,8516,-0.5661108501643963,8,8,2.2886950579995755,2.0441607350076083,op_critical_path_w100,6,[]
case_071,1,5,13396,18374,loss,-0.37160346372051367,11491,-0.5989905143155514,8,8,1.908901672999491,2.003623605996836,v2_p1_wavefront_s4_critical,6,[]
case_071,2,5,9374,11753,loss,-0.25378707062086625,8852,-0.3277225485765929,8,8,2.067893722007284,1.9087183579977136,v2_p2_wavefront_s2_residency,6,[]
case_071,3,5,8129,11622,loss,-0.42969614958789526,7494,-0.5508406725380304,8,8,1.9240064559999155,1.7352326450054534,v2_p3_wavefront_s2_residency,6,[]
case_075,1,5,1438628,758284,win,0.4729116908610148,720755,-0.05206901096766581,8,8,34.54774432200065,37.42495365900686,v2_p1_branch_s2_critical,5,[]
case_075,2,5,413605,422300,loss,-0.0210224731325781,392249,-0.07661204999885274,8,8,23.66785094300576,18.15311903800466,op_critical_path_w100,6,[]
case_075,3,5,409050,415207,loss,-0.015051949639408368,379091,-0.0952700011342924,8,8,24.87326910799311,18.74258641099732,op_critical_path_w100,6,[]
case_085,1,5,2760933,,invalid,,2760933,,5,3,169.3524399529997,179.8829236090096,,1,[]
case_085,2,5,969255,973760,loss,-0.0046478996755239255,869620,-0.11975345553230143,8,8,109.59665389700967,80.49033297500864,op_critical_path_w100,6,[]
case_085,3,5,948393,956832,loss,-0.008898209919305566,816858,-0.17135658829319178,8,8,108.53514220900252,79.73286163501325,op_critical_path_w100,6,[]
