problem,cores,cases,mean_speedup
1,1,100,1.0021867095309935
1,2,100,1.797386797175439
1,3,100,2.468674134768281
1,4,100,3.0909263336705584
1,5,100,3.7837054048270193
2,1,100,1.0024460533585284
2,2,100,2.042043366594617
2,3,100,2.917433962188365
2,4,100,3.6127873957706482
2,5,100,4.535467166592133
3,1,100,1.0111209089977997
3,2,100,2.048526140265181
3,3,100,2.9344338297534427
3,4,100,3.656783378303113
3,5,100,4.654878320871659
