case,compute_ops,components,largest_component_work_fraction,compute_work_m,compute_work_v,smaller_pipe_fraction,dependency_path_proxy,average_compute_cycles,fork_fraction,join_fraction,graph_sha256,parallelism_proxy,p1_makespan,p1_speedup,p1_added_copy,p1_active_cores,p1_subgraphs,p1_tiny_subgraph_fraction,p1_largest_subgraph_work_fraction,p1_fixed_core_work_fraction,p1_global_compute_floor_fraction,p1_modeled_copy_in_bytes,p1_modeled_repeat_cacheable_bytes,p1_modeled_repeat_fraction,p1_shared_logical_keys,p2_makespan,p2_speedup,p2_added_copy,p2_active_cores,p2_subgraphs,p2_tiny_subgraph_fraction,p2_largest_subgraph_work_fraction,p2_fixed_core_work_fraction,p2_global_compute_floor_fraction,p2_modeled_copy_in_bytes,p2_modeled_repeat_cacheable_bytes,p2_modeled_repeat_fraction,p2_shared_logical_keys,p3_makespan,p3_speedup,p3_added_copy,p3_active_cores,p3_subgraphs,p3_tiny_subgraph_fraction,p3_largest_subgraph_work_fraction,p3_fixed_core_work_fraction,p3_global_compute_floor_fraction,p3_modeled_copy_in_bytes,p3_modeled_repeat_cacheable_bytes,p3_modeled_repeat_fraction,p3_shared_logical_keys,overlapping_structural_labels
case_001,600,200,0.005,232800,30400,0.11550151975683891,1316,438.6666666666667,0.0,0.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,200.0,47502,4.9073723211654245,4608,5,5,0.0,0.980169256031325,0.980169256031325,0.980169256031325,824960,4608,0.005585725368502715,1,47502,4.9073723211654245,4608,5,5,0.0,0.980169256031325,0.980169256031325,0.980169256031325,824960,4608,0.005585725368502715,1,47502,4.9073723211654245,4608,5,5,0.0,0.980169256031325,0.980169256031325,0.980169256031325,824960,4608,0.005585725368502715,1,many_independent_components;p1_heavy_task
case_002,1798,1,1.0,240000,35928,0.13020788031660432,2976,153.46384872080088,0.0,0.11012235817575083,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,92.71774193548387,64296,4.074048152295632,2165760,5,103,0.04854368932038835,0.07894736842105263,0.7838745800671892,0.7465472191116088,2436096,728064,0.2988650693568726,156,51207,5.115413908254731,642048,5,1601,0.9993753903810119,0.017575722069248345,0.9373718436932451,0.9373718436932451,1543680,0,0.0,0,51207,5.115413908254731,642048,5,1601,0.9993753903810119,0.017575722069248345,0.9373718436932451,0.9373718436932451,1543680,0,0.0,0,dominant_connected_region
case_003,13455,10,0.8997252549474398,438792,325189,0.42565063790853436,28285,56.78045336306206,0.27053140096618356,0.5325901151988108,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,27.010111366448648,409613,1.4701974790839158,3818476,5,93,0.27956989247311825,0.08759487613918504,0.31826138330570564,0.21424857121233945,2649978,999316,0.37710350802912324,67,157029,3.8350368403288564,5783280,5,13455,1.0,0.013118595928140662,0.5834591062797317,0.5588712912901439,5054730,2640932,0.522467471061758,471,145137,4.149265866043807,5783280,5,13455,1.0,0.014193486154460958,0.6312656317823849,0.6046631803055045,5054730,2640932,0.522467471061758,471,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_004,777,111,0.009009009009009009,385614,47952,0.11059907834101383,2748,558.0,0.14285714285714285,0.2857142857142857,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,157.77510917030568,88341,4.441391879195391,442368,5,5,0.0,0.9044724420144666,0.9044724420144666,0.8730147949423258,893952,442368,0.4948453608247423,3,81107,4.837523271727471,2863104,5,777,1.0,0.014277435979631844,0.9565882106353336,0.9508797021218883,2098176,491520,0.2342606149341142,15,81107,4.837523271727471,2863104,5,777,1.0,0.014277435979631844,0.9565882106353336,0.9508797021218883,2098176,491520,0.2342606149341142,15,many_independent_components;fork_join_parallel_potential;p1_heavy_task
case_005,4113,1,1.0,63882,60930,0.4881742140178829,6894,30.345733041575492,0.2834913688305373,0.5275954291271578,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,18.10443864229765,70732,1.3518350958547758,1362706,4,55,0.4909090909090909,0.2399196968840129,0.34801787027088166,0.18063959735339027,993172,372302,0.3748615546954606,81,37038,2.5816188779091744,1555314,4,4113,1.0,0.011825692531994168,0.460392029807225,0.34497003077919974,1286328,593490,0.46138309980036196,189,34188,2.796829296829297,1555314,4,4113,1.0,0.01281151281151281,0.4987714987714988,0.37372762372762375,1286328,593490,0.46138309980036196,189,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_006,678,27,0.3459730778005932,18660,69000,0.21286789869952089,2836,129.2920353982301,0.038348082595870206,0.19616519174041297,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,30.909732016925247,31151,2.6592083721228854,13824,3,5,0.0,0.9735803023979969,0.9735803023979969,0.44300343488170524,543264,0,0.0,0,31151,2.6592083721228854,0,3,5,0.0,0.9735803023979969,0.9735803023979969,0.44300343488170524,543264,0,0.0,0,31151,2.6592083721228854,0,3,27,0.037037037037037035,0.9735803023979969,0.9735803023979969,0.44300343488170524,543264,0,0.0,0,many_independent_components;p1_heavy_task;mixed_m_v_work
case_007,3885,555,0.0018018018018018018,979020,253080,0.20540540540540542,1632,317.14285714285717,0.14285714285714285,0.2857142857142857,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,754.9632352941177,203834,4.967581463347626,110592,5,5,0.0,0.9606051983476751,0.9606051983476751,0.9606051983476751,990720,110592,0.11162790697674418,3,203834,4.967581463347626,110592,5,5,0.0,0.9606051983476751,0.9606051983476751,0.9606051983476751,990720,110592,0.11162790697674418,3,203834,4.967581463347626,110592,5,5,0.0,0.9606051983476751,0.9606051983476751,0.9606051983476751,990720,110592,0.11162790697674418,3,many_independent_components;fork_join_parallel_potential;p1_heavy_task;mixed_m_v_work
case_008,864,108,0.009259259259259259,250128,237168,0.4867021276595745,4512,564.0,0.25,0.25,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,108.0,100603,4.846823653370178,0,5,5,0.0,0.5064660099599415,0.5064660099599415,0.4972615130761508,1990872,0,0.0,0,55855,8.729836182973772,0,5,864,1.0,0.0207322531554919,0.9122191388416435,0.8956404977173037,1990872,0,0.0,0,55855,8.729836182973772,0,5,864,1.0,0.0207322531554919,0.9122191388416435,0.8956404977173037,1990872,0,0.0,0,many_independent_components;fork_join_parallel_potential;p1_heavy_task;mixed_m_v_work
case_009,5671,25,0.6151054268924991,65160,119992,0.35192706533010715,9965,32.64891553517898,0.2530417915711515,0.455827896314583,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,18.580230807827395,83830,1.8282357151377788,447056,5,85,0.49411764705882355,0.11642610044136943,0.8264702373851843,0.2862817607061911,640346,107152,0.16733453476714152,27,51788,2.959392137174635,1328826,5,5671,1.0,0.015061404186297984,0.5190391596508844,0.4634085116243145,1363208,540130,0.3962197991795823,318,47234,3.2447177880340434,1328826,5,5671,1.0,0.016513528390566117,0.5690815937672016,0.5080873946733285,1363208,540130,0.3962197991795823,318,dominant_connected_region;fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_010,667,36,0.2872854773939624,44610,55496,0.44562763470721034,3146,150.0839580209895,0.08695652173913043,0.16941529235382308,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,31.820089001907185,29780,2.92038280725319,362880,4,36,0.0,0.9657152451309604,0.9657152451309604,0.37273337810611146,480846,96768,0.2012453051496737,9,19138,4.544309750235135,554512,5,522,1.0,0.1830912321036681,0.6279653046295328,0.5799979099174417,813494,304326,0.37409741190469753,39,18544,4.68987273511648,554512,5,667,1.0,0.04723899913718723,0.6480802415875755,0.5985763589301122,813494,304326,0.37409741190469753,39,many_independent_components;fork_join_parallel_potential;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
