case,compute_ops,components,largest_component_work_fraction,compute_work_m,compute_work_v,smaller_pipe_fraction,dependency_path_proxy,average_compute_cycles,fork_fraction,join_fraction,graph_sha256,parallelism_proxy,p1_makespan,p1_speedup,p1_added_copy,p1_active_cores,p1_subgraphs,p1_tiny_subgraph_fraction,p1_largest_subgraph_work_fraction,p1_fixed_core_work_fraction,p1_global_compute_floor_fraction,p1_modeled_copy_in_bytes,p1_modeled_repeat_cacheable_bytes,p1_modeled_repeat_fraction,p1_shared_logical_keys,p2_makespan,p2_speedup,p2_added_copy,p2_active_cores,p2_subgraphs,p2_tiny_subgraph_fraction,p2_largest_subgraph_work_fraction,p2_fixed_core_work_fraction,p2_global_compute_floor_fraction,p2_modeled_copy_in_bytes,p2_modeled_repeat_cacheable_bytes,p2_modeled_repeat_fraction,p2_shared_logical_keys,p3_makespan,p3_speedup,p3_added_copy,p3_active_cores,p3_subgraphs,p3_tiny_subgraph_fraction,p3_largest_subgraph_work_fraction,p3_fixed_core_work_fraction,p3_global_compute_floor_fraction,p3_modeled_copy_in_bytes,p3_modeled_repeat_cacheable_bytes,p3_modeled_repeat_fraction,p3_shared_logical_keys,overlapping_structural_labels
case_011,688,16,0.0625,184448,25536,0.12160926546784517,2120,305.2093023255814,0.0,0.4883720930232558,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,99.04905660377358,46880,3.9397824232081913,540672,4,4,0.0,0.9836177474402731,0.9836177474402731,0.7869027303754266,1081344,540672,0.5,88,46828,3.9441573417613394,1624064,5,688,1.0,0.011189886392756471,0.9735201161698129,0.7877765439480653,2160640,1615872,0.747867298578199,176,46253,3.9931896309428576,1624064,5,688,1.0,0.011328994876008042,0.9856225542126997,0.7975698873586579,2160640,1615872,0.747867298578199,176,many_independent_components;p1_heavy_task;repeated_logical_reads
case_012,972,50,0.17357577902638294,35572,32237,0.47540886902918494,2506,69.76234567901234,0.04526748971193416,0.21502057613168724,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079,27.058659217877096,14139,4.17907914279652,29376,5,9,0.0,0.7412122498055025,0.7412122498055025,0.5032180493669991,484096,0,0.0,0,12452,4.745261805332476,0,5,50,0.28,0.8416318663668487,0.8416318663668487,0.5713941535496306,484096,0,0.0,0,12452,4.745261805332476,0,5,50,0.28,0.8416318663668487,0.8416318663668487,0.5713941535496306,484096,0,0.0,0,many_independent_components;p1_heavy_task;fine_grained_compute;mixed_m_v_work
case_013,1968,246,0.0040650406504065045,263712,43296,0.14102564102564102,400,156.0,0.0,0.375,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c,767.52,54363,4.855305998565201,32768,5,5,0.0,0.9859647186505528,0.9859647186505528,0.9702003200706363,2056192,32768,0.01593625498007968,4,53708,4.914519252252923,45056,5,9,0.4444444444444444,0.9830192894913234,0.9830192894913234,0.9820324718850079,2062336,32768,0.015888778550148957,4,53418,4.941199595641918,45056,5,9,0.4444444444444444,0.9883559848740125,0.9883559848740125,0.9873638099517017,2062336,32768,0.015888778550148957,4,many_independent_components;p1_heavy_task
case_014,35705,1340,0.0020250384962323805,17225748,1651424,0.0874825953802826,31968,528.6982775521635,0.004033048592634085,0.41240722587872847,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd,590.5021271271271,3641147,4.860728226572561,133995816,5,150,0.0,0.0386812177591292,0.9487263216783063,0.9461716321807386,49332408,39420768,0.7990846098572768,1615,3703529,4.778854438563867,84373512,5,1340,0.0,0.009428844758607264,0.9307015011898111,0.9302343791556648,43237896,33326256,0.7707649789434713,1615,3686924,4.800377225025523,84373512,5,1340,0.0,0.009471309959196338,0.9348931521235588,0.9344239262865196,43237896,33326256,0.7707649789434713,1615,many_independent_components;repeated_logical_reads
case_015,1013,46,0.14846521475796148,94980,101497,0.4834153615944869,7913,193.95557749259626,0.06712734452122408,0.21915103652517276,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,24.82964741564514,43411,4.085646495127963,321536,5,5,0.0,0.671949505885605,0.671949505885605,0.46762341342056163,1197826,313344,0.2615939209868545,10,42588,4.164600356908049,313344,5,1013,1.0,0.07241476472245703,0.6849347233962618,0.47666009204470744,1197826,313344,0.2615939209868545,10,42588,4.164600356908049,313344,5,1013,1.0,0.07241476472245703,0.6849347233962618,0.47666009204470744,1197826,313344,0.2615939209868545,10,many_independent_components;fork_join_parallel_potential;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
case_016,17995,1,1.0,0,7714975,0.0,655140,428.728813559322,0.016893581550430675,0.1864406779661017,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,11.77607076350093,3223183,2.3937589023024755,119555952,5,1830,0.5,0.001950866581264545,0.6017579516893704,0.4787177768063433,990964,591648,0.5970428794587896,314,1971422,3.913684132570297,40388464,5,17995,1.0,0.00026579798744256686,0.81670438901463,0.7826812321258462,20751288,329504,0.015878725214550537,312,1969193,3.9181141716429013,40388464,5,17995,1.0,0.0002660988536928579,0.8176288459282559,0.7835671770110904,20751288,329504,0.015878725214550537,312,dominant_connected_region
case_017,1373,60,0.04665864275992396,110600,67202,0.37795975298365597,5980,129.49890750182084,0.043699927166788055,0.20975965040058267,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,29.73277591973244,35340,4.606960950764007,329472,5,5,0.0,0.6277306168647425,0.6277306168647425,0.6259196378041879,864590,329472,0.3810731097977076,8,32681,4.981793702763073,340992,5,729,0.9766803840877915,0.15935864875615802,0.6791713839845782,0.6768458737492733,876110,340992,0.3892114003949276,8,32681,4.981793702763073,340992,5,729,0.9766803840877915,0.15935864875615802,0.6791713839845782,0.6768458737492733,876110,340992,0.3892114003949276,8,many_independent_components;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
case_018,2727,126,0.026754276320948,971320,112731,0.10399049491213974,3539,397.52511917858453,0.01906857352401907,0.37037037037037035,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,306.3156258830178,205917,4.8775331808447095,5320704,5,5,0.0,0.9441085485899658,0.9441085485899658,0.9434092377025695,6274324,4681728,0.7461724960330388,232,204654,4.907634348705621,5324800,5,2727,1.0,0.00506220254673742,0.9499350122646026,0.9492313856557898,6274324,4681728,0.7461724960330388,232,201238,4.990941074747314,5324800,5,2727,1.0,0.0051481330563810015,0.9660600880549399,0.9653445174370646,6274324,4681728,0.7461724960330388,232,many_independent_components;p1_heavy_task;repeated_logical_reads
case_019,647,31,0.27186851835151954,48436,40276,0.4540084768689692,12234,137.112828438949,0.1205564142194745,0.160741885625966,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,7.25126696092856,19414,4.179664159884619,289924,5,37,0.13513513513513514,0.4944885134439065,0.6514886164623468,0.4990213248171423,286870,106080,0.3697842228186984,4,17473,4.643964974532135,801900,5,647,1.0,0.03777256338350598,0.6180964917300978,0.5544554455445545,654746,152160,0.23239546327888982,31,15833,5.12499210509695,801900,5,647,1.0,0.041685088107118046,0.6821196235710225,0.6118865660329691,654746,152160,0.23239546327888982,31,many_independent_components;p1_heavy_task;mixed_m_v_work
case_020,7008,288,0.003995433789954338,0,532608,0.0,1824,76.0,0.1917808219178082,0.1917808219178082,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,292.0,107494,4.95605336111783,0,5,10,0.0,0.5090516680000744,0.9926507526001451,0.9909576348447355,1179648,0,0.0,0,107187,4.97024825771782,0,5,10,0.0,0.5105096700159534,0.9954938565311092,0.9937958894268895,1179648,0,0.0,0,107187,4.97024825771782,0,5,10,0.0,0.5105096700159534,0.9954938565311092,0.9937958894268895,1179648,0,0.0,0,many_independent_components;fork_join_parallel_potential;p1_heavy_task;fine_grained_compute
case_021,3920,80,0.0125,6192000,783360,0.11230388109000826,5544,1779.4285714285713,0.0,0.4897959183673469,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,1258.1818181818182,1243902,5.280108079253832,7372800,5,10,0.0,0.49778841098414506,0.9955768219682901,0.9955768219682901,5632000,3276800,0.5818181818181818,200,1250168,5.253643510312214,11431936,5,5,0.0,0.9905868651253271,0.9905868651253271,0.9905868651253271,11776000,9420800,0.8,450,1249311,5.2572473947639935,11431936,5,3920,1.0,0.002478165965079952,0.9912663860319808,0.9912663860319808,11776000,9420800,0.8,450,many_independent_components;p1_heavy_task;repeated_logical_reads
case_022,1356,32,0.12212528384354032,4484,54087,0.07655665773164194,1986,43.19395280235988,0.06710914454277286,0.20353982300884957,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,29.491943605236656,11828,4.800473452823808,20736,5,5,0.0,0.9252620899560365,0.9252620899560365,0.9146094014203585,234276,20736,0.08851098704092608,3,11576,4.904975812024879,13824,5,1356,1.0,0.023151347615756736,0.9368521078092605,0.9345196959225984,227364,13824,0.060801182245210326,3,11576,4.904975812024879,13824,5,1356,1.0,0.023151347615756736,0.9368521078092605,0.9345196959225984,227364,13824,0.060801182245210326,3,many_independent_components;fork_join_parallel_potential;p1_heavy_task;fine_grained_compute
case_023,1011,43,0.07332520948985272,63384,69558,0.4767793473845737,4218,131.49554896142433,0.1404549950544016,0.20474777448071216,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,31.51778093883357,23846,5.141910592971567,355008,5,10,0.0,0.3474796611591042,0.6452654533255053,0.5834102155497778,715402,281280,0.39317754213714806,10,20245,6.056507779698691,270912,5,638,1.0,0.10234625833539146,0.6881699184983947,0.6871820202519141,705034,270912,0.38425380903615997,7,20159,6.082345354432263,270912,5,1011,1.0,0.07678952328984573,0.6911057096086115,0.6901135969046084,705034,270912,0.38425380903615997,7,many_independent_components;fork_join_parallel_potential;repeated_logical_reads;mixed_m_v_work
case_024,5959,1,1.0,0,2554795,0.0,216948,428.728813559322,0.01678133915086424,0.1864406779661017,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,11.77607076350093,1095114,2.3334036456478504,39328048,5,808,0.875,0.003827911979939988,0.5864576655946322,0.46658064822475104,985660,590424,0.5990138587342492,110,658886,3.8782778811509124,13637536,5,5959,1.0,0.0007952817331070928,0.8091733623115379,0.7754892348600516,7375824,328280,0.044507569594936104,108,656657,3.8914425643829276,13637536,5,5959,1.0,0.0007979812900799048,0.8119200739503272,0.778121606866294,7375824,328280,0.044507569594936104,108,dominant_connected_region
case_025,18662,2666,0.00037509377344336085,4702824,1215696,0.20540540540540542,1632,317.14285714285717,0.14285714285714285,0.2857142857142857,f27ba0f332109eb62541879ddbc9c9d283531c191afdd7299a365134af3e0deb,3626.544117647059,975282,4.986276789687495,110592,5,5,0.0,0.9658498772662676,0.9658498772662676,0.9644031162268965,4233216,110592,0.026124818577648767,3,974747,4.98901355941593,118272,5,7,0.2857142857142857,0.9645702936249099,0.965776760533759,0.9649324388790117,4237824,112128,0.026458861906487857,4,974747,4.98901355941593,118272,5,7,0.2857142857142857,0.9645702936249099,0.965776760533759,0.9649324388790117,4237824,112128,0.026458861906487857,4,many_independent_components;fork_join_parallel_potential;p1_heavy_task;mixed_m_v_work
case_026,636,31,0.3652827487473157,40992,70768,0.3667859699355762,4319,175.72327044025158,0.0660377358490566,0.1871069182389937,0ed6209c59170dc0da94703702b17402cee14c1a61624e666ed8938637b6765b,25.87636026858069,41655,2.3815388308726444,95664,3,3,0.0,0.9800504141159525,0.9800504141159525,0.3397911415196255,584550,95664,0.16365409289196817,12,28623,3.465849142298152,765184,5,636,1.0,0.05408238130175034,0.5316703350452433,0.4944974321349963,1052086,361240,0.3433559613947909,40,26036,3.8102243048087265,765184,5,636,1.0,0.059456137655553846,0.5844983868489784,0.5436318943001998,1052086,361240,0.3433559613947909,40,fork_join_parallel_potential;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
case_027,1424,16,0.0625,2229120,287232,0.11414619258354952,21048,1767.1011235955057,0.0,0.4943820224719101,74ff3486f7a3fd5561250ac336ed57e02a998f4f34d3be742e9f3dceb98d402b,119.55302166476625,558753,4.230763861670542,5529600,5,5,0.0,0.9973637725435032,0.9973637725435032,0.7978910180348024,7372800,5529600,0.75,360,448488,5.270937015037192,16119808,5,1424,1.0,0.006903194734307273,0.9940600417402472,0.9940600417402472,11548672,3291136,0.2849796063131761,350,448117,5.2753008700852675,16119808,5,1424,1.0,0.0069089099498568455,0.9948830327793857,0.9948830327793857,11548672,3291136,0.2849796063131761,350,many_independent_components;p1_heavy_task;repeated_logical_reads
case_028,19584,153,0.006535947712418301,38974608,1975536,0.04824246771879483,246816,2091.0,0.1875,0.1875,89fe60e6529c5c02cf6ffd700254e003b1f51ceafc252140ef64add47ad2e212,165.91365227537923,10194624,4.299917289740161,326568960,5,153,0.0,0.024987287417368213,0.7746059099384146,0.7646110342078335,12622464,8593920,0.6808432965227709,54,8387714,5.226220159628714,117674496,5,19584,1.0,0.0006209081520900689,0.9294222478258081,0.9293261548975085,64877184,16100352,0.2481666281939734,1702,8300936,5.280855074656641,117674496,5,19584,1.0,0.0006273991270382039,0.9391384296903386,0.9390413322063922,64877184,16100352,0.2481666281939734,1702,many_independent_components;fork_join_parallel_potential
case_029,861,21,0.047619047619047616,0,37485,0.0,407,43.53658536585366,0.04878048780487805,0.2682926829268293,997bcbaa3acdff628346af91df1c6ce0127372b10c71890967ec9dd685b7187b,92.1007371007371,9383,4.002451241607162,0,5,5,0.0,0.9511883193008632,0.9511883193008632,0.7989981882127252,258132,0,0.0,0,9383,4.002451241607162,0,5,5,0.0,0.9511883193008632,0.9511883193008632,0.7989981882127252,258132,0,0.0,0,9383,4.002451241607162,0,5,5,0.0,0.9511883193008632,0.9511883193008632,0.7989981882127252,258132,0,0.0,0,many_independent_components;p1_heavy_task;fine_grained_compute
case_030,10070,486,0.007273893585968281,2776480,406822,0.12779874482534173,1494,316.11737835153923,0.0,0.3958291956305859,ad80a952c48ff4d7c339349167fa9054e515009787692608863240a3546c0f90,2130.724230254351,558846,5.024700901500593,10872832,5,10,0.0,0.505412940237561,0.9962673079882473,0.9936476238534409,8496128,6103040,0.7183319272026033,596,560451,5.010311338546992,7257600,5,10,0.0,0.49975466187052925,0.993414232466353,0.9908020504914792,8385536,5992448,0.7146171693735499,596,560198,5.012574125577028,7257600,5,10,0.0,0.49998036408555546,0.993862884194517,0.9912495224902623,8385536,5992448,0.7146171693735499,596,many_independent_components;p1_heavy_task;repeated_logical_reads
case_031,6135,107,0.07235922204643215,1334492,221025,0.14209102182746958,13057,253.5480032599837,0.12208638956805216,0.4384678076609617,a8d03d16b7eff2c3c84186b32994279143fd1628937e4e9bdf753f869a333f82,119.13280232825305,306213,4.618905794332703,8059392,5,5,0.0,0.8776243987028637,0.8776243987028637,0.8716122437649609,8433268,6248448,0.7409284277459225,377,304955,4.637959698971979,8075520,5,7,0.2857142857142857,0.8789755865619517,0.8789755865619517,0.8752078175468512,8442484,6250752,0.7403925195475645,378,304955,4.637959698971979,8075520,5,7,0.2857142857142857,0.8789755865619517,0.8789755865619517,0.8752078175468512,8442484,6250752,0.7403925195475645,378,many_independent_components;fork_join_parallel_potential;p1_heavy_task;repeated_logical_reads
case_032,827,25,0.21542643560992183,10150,33995,0.22992411371616264,1146,53.37968561064087,0.036275695284159616,0.21765417170495768,7b325807b10636edbb8ada6fe9086e639ece5d42d4aad151b0fc7cd8f6277385,38.52094240837696,10415,3.9791646663466156,12360,5,5,0.0,0.913106096975516,0.913106096975516,0.6528084493518963,291516,12360,0.04239904499238464,4,9948,4.165963007639727,10240,4,827,1.0,0.02694008845999196,0.9559710494571774,0.6834539605950944,285300,2048,0.007178408692604276,1,9917,4.178985580316628,10240,4,827,1.0,0.0270243017041444,0.9589593627104971,0.6855904003226783,285300,2048,0.007178408692604276,1,many_independent_components;p1_heavy_task;fine_grained_compute;mixed_m_v_work
case_033,3465,95,0.02141759758352212,1728108,192042,0.10001406140145301,6300,554.1558441558442,0.01875901875901876,0.4072150072150072,e14316f8ccbe3bf16bcee2bad80efc3a527cdc2488d9e3f616518b6e3aa9657b,304.7857142857143,368019,4.8209358755933795,6668352,5,10,0.0,0.5459718112380068,0.9402558020102223,0.9391417290955086,6905456,4015680,0.5815227843027311,385,368931,4.80901848855206,4929600,5,3465,1.0,0.015840360392593737,0.9410865446384283,0.9368201642041466,6910064,4014144,0.5809127093468309,384,368435,4.815492556353224,4929600,5,3465,1.0,0.015861685236201774,0.942353468047281,0.9380813440634033,6910064,4014144,0.5809127093468309,384,many_independent_components;p1_heavy_task;repeated_logical_reads
case_034,3745,155,0.0186756712098937,749160,194956,0.20649581195531058,3677,252.1004005340454,0.017089452603471295,0.35246995994659547,c4128788442a023c2224d582f7114181ca9e9439a5978deaec6a1c52c0d729d6,256.7625781887408,169362,4.977480190361474,2903040,5,10,0.0,0.46784993091720695,0.8855351259432458,0.8846848761823786,5087792,2807808,0.5518716173931639,378,163827,5.14564754283482,2803712,5,10,0.0,0.48365654013074766,0.9169917046640663,0.9145745206834038,5083696,2803712,0.5515105545256836,378,163174,5.1662397195631655,2803712,5,10,0.0,0.4855920673636731,0.920661379876696,0.9182345226567958,5083696,2803712,0.5515105545256836,378,many_independent_components;p1_heavy_task;repeated_logical_reads;mixed_m_v_work
case_035,3857,16,0.5982794843304982,62192,143909,0.30175496479881225,17200,53.43557168784029,0.1944516463572725,0.371791547835105,ab4d5e39b4d3ad430a992d6d87d7510a869b6cb03a5d9a7ba124b039ba4486e2,11.982616279069767,90079,1.8824698320363236,1379966,5,158,0.8037974683544303,0.17247083115931572,0.5502392344497608,0.3195195328544944,833642,115864,0.13898531983753218,33,51821,3.2722448428243376,1130532,5,3857,1.0,0.050249898689720386,0.6790490341753344,0.555411898651126,1100400,388712,0.3532460923300618,230,51103,3.318220065358198,1130532,5,3857,1.0,0.05095591256873373,0.6885897109758723,0.5632154668023404,1100400,388712,0.3532460923300618,230,fork_join_parallel_potential;fine_grained_compute;repeated_logical_reads;mixed_m_v_work
case_036,2400,800,0.00125,931200,121600,0.11550151975683891,1316,438.6666666666667,0.0,0.0,3924c8904db3f85eb38d4e4b345e55f689c9d908f329dbb8caf16a3774759d21,800.0,187182,4.976493466252097,4608,5,5,0.0,0.9949674648203353,0.9949674648203353,0.9949674648203353,3282560,4608,0.0014037824137258725,1,187182,4.976493466252097,4608,5,5,0.0,0.9949674648203353,0.9949674648203353,0.9949674648203353,3282560,4608,0.0014037824137258725,1,187182,4.976493466252097,4608,5,5,0.0,0.9949674648203353,0.9949674648203353,0.9949674648203353,3282560,4608,0.0014037824137258725,1,many_independent_components;p1_heavy_task
case_037,780,20,0.05,209600,28880,0.12110030191211003,904,305.7435897435897,0.0,0.48717948717948717,c5ce3776f9b28b17c7e1d23c9a47395ddfaeecf2533228ab0a5cf444e3f112e3,263.8053097345133,43013,4.882268151489085,778240,5,5,0.0,0.9745890777206891,0.9745890777206891,0.9745890777206891,1310720,778240,0.59375,180,43013,4.882268151489085,778240,5,10,0.0,0.4872945388603446,0.9745890777206891,0.9745890777206891,1310720,778240,0.59375,180,43013,4.882268151489085,778240,5,10,0.0,0.4872945388603446,0.9745890777206891,0.9745890777206891,1310720,778240,0.59375,180,many_independent_components;p1_heavy_task;repeated_logical_reads
