cores,selected_mean,cold_mean,same_time
1,1,1,88
2,1.8825844205927351,1.8598442711709111,88
3,2.6067730112843166,2.5598597564576204,89
4,3.2931812201101183,3.2039010190261967,82
5,3.9075240776844127,3.7092302799450594,69
