case,ops,wcc,max_wcc_ops,singlecore,selected_cycles,cold_cycles,selected_speedup,cold_speedup,mean_gap_contribution,cold_calls,cold_failed,cold_seconds,selected_tasks,selected_max_task_ops,selected_partition_path_lb,selected_fixed_plan_lb,selected_busiest_core_compute_lb,selected_boundary_ddr_lb,selected_boundary_bytes,selected_fixed_lb_fraction,cold_tasks,cold_max_task_ops,cold_partition_path_lb,cold_fixed_plan_lb,cold_busiest_core_compute_lb,cold_boundary_ddr_lb,cold_boundary_bytes,cold_fixed_lb_fraction
case_076,32528,809,122,6185113,1229020,1339184,5.0325568339001805,4.618568471546852,0.0041398836235332845,4,2,242.55293495798833,40,1024,195228,1213400,1212700,711673,41859666,0.9872906868887407,809,122,22968,1228800,1212700,1335384,78548562,0.9971624511642911
case_086,5274,1,5274,118403,57278,71495,2.0671636579489507,1.6561018253024686,0.004110618326464821,24,0,181.5353962529989,113,197,19973,35165,19416,50517,2951736,0.8819616606725095,205,560,29079,50265,23733,50556,2948956,0.7071263724735996
case_005,4113,1,4113,95618,49343,61202,1.9378229941430396,1.5623345642299271,0.003754884299131125,24,0,58.9617130359984,95,173,18802,29403,16267,41375,2418470,0.8385181282046086,178,434,24373,42066,18903,41572,2426290,0.6873304793960981
case_091,31554,513,147,9186769,1861235,2014037,4.935845822800452,4.561370520998373,0.0037447530180207966,5,3,240.47062136000022,70,501,159280,1797572,1796272,1226923,72892408,0.9657952918357972,513,147,56968,1812351,1796272,1989768,118460920,0.987950072416743
case_071,741,1,741,18919,9487,11496,1.9942025930220302,1.6457028531663187,0.003484997398557115,24,0,8.714696053008083,16,100,5122,6988,4386,6989,409498,0.7366923158005692,26,89,5868,8834,4398,8184,480154,0.7684411969380655
case_014,35705,1340,124,17698626,3641147,3826094,4.860728226572561,4.6257687343802845,0.002349594921922762,5,3,240.30940854200162,150,256,140844,3457352,3454452,2382479,142349092,0.9495227740050045,1340,124,34920,3483532,3454452,2942750,175838332,0.9104669148222705
case_067,8804,71,124,63834834,13604111,14319538,4.692319402568827,4.457883627251102,0.002344357753177242,16,1,240.33289203200002,596,16,3727328,11946504,11813888,2441844,146119168,0.878153963901059,224,868,5808544,12043020,11796816,2298436,137792640,0.8410201502311039
case_068,5351,32,4176,362095,143172,151830,2.529090883692342,2.384871237568333,0.0014421964612400906,22,0,245.67586265499995,233,159,67043,99917,52296,109757,6465600,0.7666093928980527,211,159,76530,110416,67838,107837,6354002,0.7272344069024567
case_088,3309,31,2798,243623,97719,103582,2.4930975552349084,2.351982004595393,0.0014111555063951542,24,0,129.34763241099972,155,131,43686,66032,40320,76877,4537362,0.7867149684298856,197,147,51228,75899,40628,78871,4653538,0.761435384526269
case_028,19584,153,128,43836040,9764657,10074287,4.489255485369327,4.3512796488724215,0.0013797583649690548,7,2,240.37454612300098,183,128,264048,7899816,7896816,5554918,333067392,0.8090213511851978,168,128,264048,7899816,7896816,5549972,332772480,0.7841563378132864
case_002,1798,1,1798,261945,64296,65443,4.074048152295632,4.002643521843436,0.0007140463045219647,24,0,61.540809751999404,103,141,31248,55016,50400,56983,3389952,0.8862604205549335,112,127,31248,55436,50400,57451,3417600,0.8778784591170943
case_063,7360,1,7360,1070397,252654,256590,4.2366121256738465,4.171623991581901,0.0006498813409194515,11,1,240.2098688850001,388,609,31992,219832,207000,232522,13833216,0.920317905119254,406,511,31992,221444,207600,233639,13899264,0.9105538017849487
case_090,1664,13,128,1178363,467065,476440,2.52291008746106,2.47326630845437,0.0004964377900669037,24,0,37.77047534700068,60,256,129312,196808,193968,385814,23120640,0.8260392022523632,13,256,129312,194168,193968,395928,23737728,0.8310133490051214
case_099,6296,202,117,1622999,331480,334416,4.89621998310607,4.853233696952299,0.00042986286153770867,12,1,240.17497257600007,5,1401,320004,320004,320004,147274,8739476,0.9653795100760227,15,503,129420,320204,320004,231931,13765268,0.9575020333955313
case_048,1728,1,1728,222220,119999,121708,1.8518487654063784,1.8258454661977848,0.0002600329920859368,24,0,13.59434370600502,183,60,83844,101598,46976,31248,1806746,0.8466570554754623,183,60,83844,103232,41656,31248,1806746,0.8481940381897657
case_017,1373,60,162,162810,35340,35496,4.606960950764007,4.586713995943205,0.00020246954820802188,24,0,40.52756531900013,5,398,22184,22184,22184,16561,973334,0.6277306168647425,5,384,22196,22196,22196,16757,984854,0.6253098940725715
case_075,7410,1,7410,1441809,478842,481313,3.0110328667911337,2.9955746052984233,0.00015458261492710346,24,0,143.73453567698016,1581,145,231286,359614,238120,245242,14372708,0.7510076392630555,1601,145,231286,360760,234192,248070,14537334,0.7495330481412303
case_038,5907,130,116,1364555,276053,276281,4.943090638391903,4.939011368859965,4.0792695319380454e-05,9,1,240.15588677400046,10,733,145560,266344,266244,189672,11247878,0.964829217577784,10,722,145560,270988,270888,190297,11286278,0.9808419688650324
case_009,5671,25,4774,153261,81068,81206,1.890524004539399,1.8873112824175553,3.212722121843647e-05,24,0,55.5316292400239,83,532,61195,68533,63704,18087,1027206,0.8453767207776188,105,532,61195,68634,63704,18108,1027848,0.8451838534098466
