source_revision,config_id,case,problem,cores,variant,call_index,phase,family,name,status,makespan,arm_best_before,arm_best_after,strict_arm_best_update,arm_best_update_scope,added_copy_bytes,evaluation_elapsed_seconds
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,1,initialization,tensor_merge,recipe_tensor_merge_8,success,322435,,322435,True,current experimental arm only; not historical portfolio best,619542,3.0829108290199656
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,2,initialization,(none),bounded_component_cap512_bands0_critical_path,success,339249,322435,322435,False,current experimental arm only; not historical portfolio best,2436698,3.5336120320134796
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,3,initialization,(none),bounded_component_cap512_bands10_critical_path,success,341752,322435,322435,False,current experimental arm only; not historical portfolio best,1598320,4.4010209899861366
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,4,initialization,whole_component_reference,wcc_start0_simple_a1_per_core_lpt_mv,success,326508,322435,322435,False,current experimental arm only; not historical portfolio best,0,25.941183266986627
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,5,initialization,tensor_work_fraction,recipe_tensor_work_fraction_8,success,325532,322435,322435,False,current experimental arm only; not historical portfolio best,579822,3.1820576709869783
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,6,legacy,(none),merge256,success,322950,322435,322435,False,current experimental arm only; not historical portfolio best,610260,3.031280061986763
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,7,joint,phase,p1_joint_r0_phase4_eft_merge8,success,311160,322435,311160,True,current experimental arm only; not historical portfolio best,787134,2.9044607219984755
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,8,joint,phase,p1_joint_r0_phase4_eft_merge8,success,299551,311160,299551,True,current experimental arm only; not historical portfolio best,959720,3.1337606119923294
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,9,joint,phase,p1_joint_r0_phase2_eft_merge8,success,289822,299551,289822,True,current experimental arm only; not historical portfolio best,1075714,3.234704091999447
fea72e66e7260ba4deecbc28569b641e590f5046,case_047_p1_n5,case_047,1,5,legacy,10,joint,phase,p1_joint_r0_phase8_eft_merge8,success,277706,289822,277706,True,current experimental arm only; not historical portfolio best,1316832,3.2420313250040635
