problem,method,runs,successes,calls,fresh,failed_calls,generation_errors,total_run_seconds,median_run_seconds
2,baseline,4,4,48,48,0,0,13.531443499028683,3.379197999543976
2,integrated,4,4,48,48,0,0,22.265708791906945,5.38688235450536
2,local_legacy,4,4,48,48,0,0,15.169060541898943,3.783518854470458
3,baseline,4,4,48,48,0,0,13.929287708131596,3.411480979062617
3,integrated,4,4,48,48,0,0,22.840957040898502,5.489348624483682
3,local_legacy,4,4,48,48,0,0,16.960713999927975,4.174247166491114
