config,method,complete,status,makespan,added_copy,calls,failed,elapsed_seconds,stop_reason,generation_errors,summary_path
case_048_p1_n5,integrated,True,success,121708,1391956,24,0,9.294011292047799,call_budget,0,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/cold_panel_noop_fix/slots/case_048_p1_n5/integrated/summary.json
case_048_p1_n5,joint_tonight,True,success,149554,1177242,24,0,10.22655024996493,call_budget,0,/Users/liyu/Desktop/A题P1最新审阅/A题研究/直接迭代/P1多尺度联合优化_20260926/cold_panel_noop_fix/slots/case_048_p1_n5/joint_tonight/summary.json
