case,problem,cores,makespan,added_copy,original_singlecore,source,plan,speedup
case_023,3,3,33592,196896,122614,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_023_multicore_res.json,3.6500952607763755
case_023,3,4,24223,278208,122614,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_023_multicore_res.json,5.061883334021385
case_023,3,5,20159,270912,122614,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_023_multicore_res.json,6.082345354432263
case_024,1,1,2560775,2228372,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_024_multicore_res.json,0.9978787671700949
case_024,1,2,1603810,39327848,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_024_multicore_res.json,1.5932953404705046
case_024,1,3,1315118,39327848,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_024_multicore_res.json,1.9430522584285213
case_024,1,4,1214514,39328248,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_024_multicore_res.json,2.1040045647888785
case_024,1,5,1095114,39328048,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_024_multicore_res.json,2.3334036456478504
case_024,2,1,2555343,0,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_024_multicore_res.json,1.0
case_024,2,2,1335245,396852,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_024_multicore_res.json,1.9137633917370969
case_024,2,3,954489,266588,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_024_multicore_res.json,2.6771843363307486
case_024,2,4,744106,201852,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_024_multicore_res.json,3.434111537872292
case_024,2,5,658886,13637536,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_024_multicore_res.json,3.8782778811509124
case_024,3,1,2555343,0,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_024_multicore_res.json,1.0
case_024,3,2,1334413,396852,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_024_multicore_res.json,1.9149566138819092
case_024,3,3,953896,266588,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_024_multicore_res.json,2.678848637587326
case_024,3,4,743615,201852,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_024_multicore_res.json,3.4363790402291507
case_024,3,5,656657,13637536,2555343,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_024_multicore_res.json,3.8914425643829276
case_025,1,1,4869182,497664,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_025_multicore_res.json,0.998735721934403
case_025,1,2,2431840,27648,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_025_multicore_res.json,1.9997310678334101
case_025,1,3,1622164,55296,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_025_multicore_res.json,2.9978633479722148
case_025,1,4,1217444,82944,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_025_multicore_res.json,3.9944555971362954
case_025,1,5,975282,110592,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_025_multicore_res.json,4.986276789687495
case_025,2,1,4863026,0,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_025_multicore_res.json,1.0
case_025,2,2,2431840,27648,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_025_multicore_res.json,1.9997310678334101
case_025,2,3,1622164,55296,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_025_multicore_res.json,2.9978633479722148
case_025,2,4,1217444,82944,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_025_multicore_res.json,3.9944555971362954
case_025,2,5,974747,118272,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_025_multicore_res.json,4.98901355941593
case_025,3,1,4863026,0,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_025_multicore_res.json,1.0
case_025,3,2,2431840,27648,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_025_multicore_res.json,1.9997310678334101
case_025,3,3,1622164,55296,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_025_multicore_res.json,2.9978633479722148
case_025,3,4,1217444,82944,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_025_multicore_res.json,3.9944555971362954
case_025,3,5,974747,118272,4863026,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_025_multicore_res.json,4.98901355941593
case_026,1,1,99203,0,99203,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_026_multicore_res.json,1.0
case_026,1,2,56614,217872,99203,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_026_multicore_res.json,1.752269756597308
case_026,1,3,41655,95664,99203,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_026_multicore_res.json,2.3815388308726444
case_026,1,4,41655,95664,99203,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_026_multicore_res.json,2.3815388308726444
case_026,1,5,41655,95664,99203,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_026_multicore_res.json,2.3815388308726444
case_026,2,1,99203,0,99203,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_026_multicore_res.json,1.0
case_026,2,2,49039,288,99203,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_026_multicore_res.json,2.02294092457024
case_026,2,3,41655,95664,99203,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_026_multicore_res.json,2.3815388308726444
case_026,2,4,41655,95664,99203,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_026_multicore_res.json,2.3815388308726444
case_026,2,5,28623,765184,99203,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_026_multicore_res.json,3.465849142298152
case_026,3,1,99203,0,99203,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_026_multicore_res.json,1.0
case_026,3,2,49039,288,99203,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_026_multicore_res.json,2.02294092457024
case_026,3,3,41655,95664,99203,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_026_multicore_res.json,2.3815388308726444
case_026,3,4,41655,95664,99203,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_026_multicore_res.json,2.3815388308726444
case_026,3,5,26036,765184,99203,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_026_multicore_res.json,3.8102243048087265
case_027,1,1,2319327,1886208,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_027_multicore_res.json,1.0192404951953735
case_027,1,2,1116984,1843200,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_027_multicore_res.json,2.1163705120216583
case_027,1,3,837049,3686400,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_027_multicore_res.json,2.8241500796249683
case_027,1,4,559196,2211840,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_027_multicore_res.json,4.227412213249022
case_027,1,5,558753,5529600,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_027_multicore_res.json,4.230763861670542
case_027,2,1,2363952,1400832,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_027_multicore_res.json,1.0
case_027,2,2,1120962,1744896,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_027_multicore_res.json,2.10886006840553
case_027,2,3,761753,12165120,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_027_multicore_res.json,3.1033051395924924
case_027,2,4,559196,1843200,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_027_multicore_res.json,4.227412213249022
case_027,2,5,448488,16119808,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_027_multicore_res.json,5.270937015037192
case_027,3,1,2359515,1400832,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_027_multicore_res.json,1.0018804711985303
case_027,3,2,1120962,1744896,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_027_multicore_res.json,2.10886006840553
case_027,3,3,761753,12165120,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_027_multicore_res.json,3.1033051395924924
case_027,3,4,559196,1843200,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_027_multicore_res.json,4.227412213249022
case_027,3,5,448117,16119808,2363952,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_027_multicore_res.json,5.2753008700852675
case_028,1,1,43896686,281067912,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_028_multicore_res.json,0.9986184378474493
case_028,1,2,20808437,326568960,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_028_multicore_res.json,2.1066474142195304
case_028,1,3,14792144,326568960,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_028_multicore_res.json,2.963467635252875
case_028,1,4,12041229,326568960,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_028_multicore_res.json,3.640495500916061
case_028,1,5,10194624,326568960,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_028_multicore_res.json,4.299917289740161
case_028,2,1,43836040,277412256,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_028_multicore_res.json,1.0
case_028,2,2,20076161,93967488,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_028_multicore_res.json,2.1834871716758997
case_028,2,3,13786498,56899416,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_028_multicore_res.json,3.179635611596215
case_028,2,4,10487595,115615968,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_028_multicore_res.json,4.179799086444509
case_028,2,5,8387714,117674496,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_028_multicore_res.json,5.226220159628714
case_028,3,1,43836040,277412256,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_028_multicore_res.json,1.0
case_028,3,2,20075994,93967488,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_028_multicore_res.json,2.1835053347794386
case_028,3,3,13769194,56899416,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_028_multicore_res.json,3.183631518300926
case_028,3,4,10445902,115615968,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_028_multicore_res.json,4.196482027114556
case_028,3,5,8300936,117674496,43836040,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_028_multicore_res.json,5.280855074656641
case_029,1,1,37555,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_029_multicore_res.json,1.0
case_029,1,2,19740,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_029_multicore_res.json,1.9024822695035462
case_029,1,3,12743,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_029_multicore_res.json,2.9471082162756024
case_029,1,4,11028,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_029_multicore_res.json,3.405422560754443
case_029,1,5,9383,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_029_multicore_res.json,4.002451241607162
case_029,2,1,37555,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_029_multicore_res.json,1.0
case_029,2,2,19740,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_029_multicore_res.json,1.9024822695035462
case_029,2,3,12743,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_029_multicore_res.json,2.9471082162756024
case_029,2,4,11028,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_029_multicore_res.json,3.405422560754443
case_029,2,5,9383,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_029_multicore_res.json,4.002451241607162
case_029,3,1,37555,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_029_multicore_res.json,1.0
case_029,3,2,19740,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_029_multicore_res.json,1.9024822695035462
case_029,3,3,12743,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_029_multicore_res.json,2.9471082162756024
case_029,3,4,11028,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_029_multicore_res.json,3.405422560754443
case_029,3,5,9383,0,37555,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_029_multicore_res.json,4.002451241607162
case_030,1,1,2790848,7416832,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_030_multicore_res.json,1.0061579849565436
case_030,1,2,1400970,7240704,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_030_multicore_res.json,2.0043498433228404
case_030,1,3,933857,9242624,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_030_multicore_res.json,3.0069207598165457
case_030,1,4,700342,10404864,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_030_multicore_res.json,4.009518206818954
case_030,1,5,558846,10872832,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_030_multicore_res.json,5.024700901500593
case_030,2,1,2808034,5519360,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_030_multicore_res.json,1.0
case_030,2,2,1388867,1765376,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_030_multicore_res.json,2.0218163438255785
case_030,2,3,932050,8046592,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_030_multicore_res.json,3.012750388927633
case_030,2,4,695057,4761600,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_030_multicore_res.json,4.040005352079038
case_030,2,5,560451,7257600,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_030_multicore_res.json,5.010311338546992
case_030,3,1,2807891,5519360,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_030_multicore_res.json,1.0000509279028282
case_030,3,2,1388867,1765376,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_030_multicore_res.json,2.0218163438255785
case_030,3,3,932019,8046592,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_030_multicore_res.json,3.012850596393421
case_030,3,4,695057,4761600,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_030_multicore_res.json,4.040005352079038
case_030,3,5,560198,7257600,2808034,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_030_multicore_res.json,5.012574125577028
case_031,1,1,1411124,4666312,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_031_multicore_res.json,1.0022995852951264
case_031,1,2,727493,5617152,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_031_multicore_res.json,1.9441685349549755
case_031,1,3,484062,6300672,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_031_multicore_res.json,2.921875710136305
case_031,1,4,394470,7408128,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_031_multicore_res.json,3.585491925875225
case_031,1,5,306213,8059392,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_031_multicore_res.json,4.618905794332703
case_031,2,1,1414369,3491328,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_031_multicore_res.json,1.0
case_031,2,2,716905,4631040,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_031_multicore_res.json,1.9728820415536228
case_031,2,3,484947,7348224,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_031_multicore_res.json,2.9165434573262643
case_031,2,4,376640,5047296,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_031_multicore_res.json,3.7552278037383178
case_031,2,5,304955,8075520,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_031_multicore_res.json,4.637959698971979
case_031,3,1,1414159,3491328,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_031_multicore_res.json,1.0001484981533193
case_031,3,2,716807,4631040,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_031_multicore_res.json,1.9731517688861855
case_031,3,3,484869,7348224,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_031_multicore_res.json,2.917012636402822
case_031,3,4,376640,5047296,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_031_multicore_res.json,3.7552278037383178
case_031,3,5,304955,8075520,1414369,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_031_multicore_res.json,4.637959698971979
case_032,1,1,41443,0,41443,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_032_multicore_res.json,1.0
case_032,1,2,20719,18504,41443,my_runs/iterative_holdout_b8_v1/case_032/n2/single/summary.json,A题研究/直接迭代/闭环验证_20260925/精选方案/case_032_p1_n2.json,2.000241324388243
case_032,1,3,13587,12288,41443,my_runs/iterative_holdout_b8_v1/case_032/n3/iterative/summary.json,A题研究/直接迭代/闭环验证_20260925/精选方案/case_032_p1_n3.json,3.050195039375874
case_032,1,4,11010,6216,41443,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_032_multicore_res.json,3.7641235240690283
case_032,1,5,10415,12360,41443,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_032_multicore_res.json,3.9791646663466156
case_032,2,1,41443,0,41443,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_032_multicore_res.json,1.0
case_032,2,2,17325,6144,41443,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_032_multicore_res.json,2.392092352092352
case_032,2,3,11865,6216,41443,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_032_multicore_res.json,3.4928782132321956
case_032,2,4,9948,10240,41443,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_032_multicore_res.json,4.165963007639727
case_032,2,5,9948,10240,41443,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_032_multicore_res.json,4.165963007639727
case_032,3,1,41443,0,41443,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_032_multicore_res.json,1.0
case_032,3,2,17325,6144,41443,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_032_multicore_res.json,2.392092352092352
case_032,3,3,11865,6216,41443,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_032_multicore_res.json,3.4928782132321956
case_032,3,4,9917,10240,41443,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_032_multicore_res.json,4.178985580316628
case_032,3,5,9917,10240,41443,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_032_multicore_res.json,4.178985580316628
case_033,1,1,1763349,4998144,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_033_multicore_res.json,1.0061513631164336
case_033,1,2,896305,6261792,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_033_multicore_res.json,1.9794556540463346
case_033,1,3,606115,6759456,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_033_multicore_res.json,2.9271606873283122
case_033,1,4,458833,6648384,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_033_multicore_res.json,3.8667576220542115
case_033,1,5,368019,6668352,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_033_multicore_res.json,4.8209358755933795
case_033,2,1,1774196,4592640,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_033_multicore_res.json,1.0
case_033,2,2,881861,5770272,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_033_multicore_res.json,2.011877155243287
case_033,2,3,587547,6246432,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_033_multicore_res.json,3.01966651178544
case_033,2,4,442361,5376576,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_033_multicore_res.json,4.010742357486307
case_033,2,5,368931,4929600,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_033_multicore_res.json,4.80901848855206
case_033,3,1,1774080,4592640,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_033_multicore_res.json,1.000065386002886
case_033,3,2,880331,5770272,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_033_multicore_res.json,2.0153737628233017
case_033,3,3,586217,6246432,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_033_multicore_res.json,3.0265174841398323
case_033,3,4,441272,5376576,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_033_multicore_res.json,4.020640330680397
case_033,3,5,368435,4929600,1774196,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_033_multicore_res.json,4.815492556353224
case_034,1,1,837634,1579032,842996,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_034_multicore_res.json,1.0064013638414868
case_034,1,2,415539,1182720,842996,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_034_multicore_res.json,2.028680821776055
case_034,1,3,278077,2015744,842996,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_034_multicore_res.json,3.031520046605796
case_034,1,4,211980,3116544,842996,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_034_multicore_res.json,3.976771393527691
case_034,1,5,169362,2903040,842996,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_034_multicore_res.json,4.977480190361474
case_034,2,1,842996,1079832,842996,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_034_multicore_res.json,1.0
case_034,2,2,380968,1078784,842996,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_034_multicore_res.json,2.212773776275173
case_034,2,3,256145,1893376,842996,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_034_multicore_res.json,3.2910890316031933
case_034,2,4,192378,2357760,842996,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_034_multicore_res.json,4.381977149154269
case_034,2,5,163827,2803712,842996,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_034_multicore_res.json,5.14564754283482
case_034,3,1,842733,1079832,842996,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_034_multicore_res.json,1.0003120798639664
case_034,3,2,380968,1078784,842996,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_034_multicore_res.json,2.212773776275173
case_034,3,3,256145,1893376,842996,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_034_multicore_res.json,3.2910890316031933
case_034,3,4,192378,2357760,842996,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_034_multicore_res.json,4.381977149154269
case_034,3,5,163174,2803712,842996,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_034_multicore_res.json,5.1662397195631655
case_035,1,1,171025,56588,169571,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_035_multicore_res.json,0.9914983189592165
case_035,1,2,95406,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_035_multicore_res.json,1.7773620107750037
case_035,1,3,95406,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_035_multicore_res.json,1.7773620107750037
case_035,1,4,95406,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_035_multicore_res.json,1.7773620107750037
case_035,1,5,90079,1379966,169571,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_035_multicore_res.json,1.8824698320363236
case_035,2,1,169571,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_035_multicore_res.json,1.0
case_035,2,2,92625,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_035_multicore_res.json,1.8307260458839407
case_035,2,3,89161,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_035_multicore_res.json,1.9018517064635883
case_035,2,4,57103,1119718,169571,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_035_multicore_res.json,2.969563770730084
case_035,2,5,51821,1130532,169571,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_035_multicore_res.json,3.2722448428243376
case_035,3,1,169571,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_035_multicore_res.json,1.0
case_035,3,2,92625,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_035_multicore_res.json,1.8307260458839407
case_035,3,3,89161,0,169571,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_035_multicore_res.json,1.9018517064635883
case_035,3,4,56560,1119718,169571,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_035_multicore_res.json,2.9980728429985857
case_035,3,5,51103,1130532,169571,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_035_multicore_res.json,3.318220065358198
case_036,1,1,932330,2304,931510,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_036_multicore_res.json,0.9991204830907511
case_036,1,2,466068,1152,931510,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_036_multicore_res.json,1.998656848356892
case_036,1,3,311345,2304,931510,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_036_multicore_res.json,2.991890025534375
case_036,1,4,233584,3456,931510,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_036_multicore_res.json,3.987901568600589
case_036,1,5,187182,4608,931510,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_036_multicore_res.json,4.976493466252097
case_036,2,1,931510,0,931510,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_036_multicore_res.json,1.0
case_036,2,2,466068,1152,931510,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_036_multicore_res.json,1.998656848356892
case_036,2,3,311345,2304,931510,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_036_multicore_res.json,2.991890025534375
case_036,2,4,233584,3456,931510,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_036_multicore_res.json,3.987901568600589
case_036,2,5,187182,4608,931510,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_036_multicore_res.json,4.976493466252097
case_036,3,1,931510,0,931510,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_036_multicore_res.json,1.0
case_036,3,2,466068,1152,931510,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_036_multicore_res.json,1.998656848356892
case_036,3,3,311345,2304,931510,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_036_multicore_res.json,2.991890025534375
case_036,3,4,233584,3456,931510,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_036_multicore_res.json,3.987901568600589
case_036,3,5,187182,4608,931510,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_036_multicore_res.json,4.976493466252097
case_037,1,1,210001,0,210001,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_037_multicore_res.json,1.0
case_037,1,2,105374,204800,210001,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_037_multicore_res.json,1.992910964754114
case_037,1,3,74038,1064960,210001,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_037_multicore_res.json,2.836394824279424
case_037,1,4,53320,614400,210001,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_037_multicore_res.json,3.938503375843961
case_037,1,5,43013,778240,210001,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_037_multicore_res.json,4.882268151489085
case_037,2,1,210001,0,210001,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_037_multicore_res.json,1.0
