case,problem,cores,makespan,added_copy,original_singlecore,source,plan,speedup
case_016,1,4,3667614,119557776,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_016_multicore_res.json,2.1036900284490136
case_016,1,5,3223183,119555952,7715523,previous_joint_delivery,A题研究/直接迭代/联合推进成果_20260925/方案/case_016_p1_n5.json,2.3937589023024755
case_016,2,1,7715523,0,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_016_multicore_res.json,1.0
case_016,2,2,4027025,404196,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_016_multicore_res.json,1.9159362060081573
case_016,2,3,2877801,275564,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_016_multicore_res.json,2.68104813362703
case_016,2,4,2240038,212460,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_016_multicore_res.json,3.444371479412403
case_016,2,5,1971422,40388464,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_016_multicore_res.json,3.913684132570297
case_016,3,1,7715523,0,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_016_multicore_res.json,1.0
case_016,3,2,4026193,404196,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_016_multicore_res.json,1.9163321281418948
case_016,3,3,2877208,275564,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_016_multicore_res.json,2.6816007045719323
case_016,3,4,2239547,212460,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_016_multicore_res.json,3.4451266260542868
case_016,3,5,1969193,40388464,7715523,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_016_multicore_res.json,3.9181141716429013
case_017,1,1,162946,22528,162810,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_017_multicore_res.json,0.9991653676678164
case_017,1,2,83047,87552,162810,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_017_multicore_res.json,1.9604561272532421
case_017,1,3,56882,176256,162810,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_017_multicore_res.json,2.862241130761928
case_017,1,4,42384,259200,162810,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_017_multicore_res.json,3.841308040770102
case_017,1,5,35340,329472,162810,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_017_multicore_res.json,4.606960950764007
case_017,2,1,162810,22528,162810,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_017_multicore_res.json,1.0
case_017,2,2,71999,87552,162810,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_017_multicore_res.json,2.261281406686204
case_017,2,3,49831,175104,162810,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_017_multicore_res.json,3.2672432822941544
case_017,2,4,37645,259200,162810,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_017_multicore_res.json,4.324877141718687
case_017,2,5,32681,340992,162810,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_017_multicore_res.json,4.981793702763073
case_017,3,1,162810,22528,162810,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_017_multicore_res.json,1.0
case_017,3,2,71999,87552,162810,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_017_multicore_res.json,2.261281406686204
case_017,3,3,49831,175104,162810,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_017_multicore_res.json,3.2672432822941544
case_017,3,4,37645,259200,162810,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_017_multicore_res.json,4.324877141718687
case_017,3,5,32681,340992,162810,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_017_multicore_res.json,4.981793702763073
case_018,1,1,1000826,2535424,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_018_multicore_res.json,1.0035380775479454
case_018,1,2,504468,3253248,1004367,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_018_multicore_res.json,1.9909429339422917
