problem,cores,count,round6_mean_speedup,cumulative_mean_speedup
1,1,100,1.0012193240160676,1.0012193240160676
1,2,100,1.7845240217708962,1.784572255948752
1,3,100,2.4258366812151126,2.426171940678605
1,4,100,3.031382274785021,3.0346948887133767
1,5,100,3.576101091454332,3.5952495949082697
2,1,100,1.0015105678032634,1.0015105678032634
2,2,100,2.0420107113779897,2.0420107113779897
2,3,100,2.897896084195691,2.897896084195691
2,4,100,3.606766851120958,3.606766851120958
2,5,100,4.334517565184253,4.334517565184253
3,1,100,1.010132283469584,1.010132283469584
3,2,100,2.0483501485922906,2.0483501485922906
3,3,100,2.9147717447600945,2.9147717447600945
3,4,100,3.641775579313945,3.641775579313945
3,5,100,4.42846590611176,4.42846590611176
