case,component,adaptive,hybrid,hybrid_vs_component_reduction_pct,hybrid_vs_adaptive_reduction_pct
case_002,261945,114925,114539,56.27364523086907,0.33587122036110584
case_015,43411,43411,43411,0.0,0.0
case_037,43013,43013,43013,0.0,0.0
case_038,282242,282242,276281,2.112017346815853,2.112017346815853
case_066,247923,205062,199671,19.462494403504316,2.6289609971618333
case_071,18919,13396,13396,29.192874887679054,0.0
case_081,30943,30943,30943,0.0,0.0
case_086,118403,95806,95481,19.359306774321595,0.33922718827630316
