id,kind,case,problem,cores,method,status,makespan,added_copy,calls,failed_calls,generation_errors,seconds
case_006_p1_n5_joint_tonight,cold,case_006,1,5,joint_tonight,success,24392,491636,24,0,0,38.5319510440022
case_005_p1_n2_joint_tonight,cold,case_005,1,2,joint_tonight,success,86679,259630,24,0,0,130.26443126099184
case_005_p1_n2_integrated,cold,case_005,1,2,integrated,success,82206,629612,24,0,0,134.84169239699258
case_005_p1_n4_integrated,cold,case_005,1,4,integrated,success,48777,2086306,24,0,0,123.7794789049949
case_005_p1_n3_integrated,cold,case_005,1,3,integrated,success,69681,2543130,24,0,0,131.48792427100125
case_005_p1_n4_joint_tonight,cold,case_005,1,4,joint_tonight,success,48118,2095522,24,0,0,130.791747973999
case_006_p1_n4_joint_tonight,cold,case_006,1,4,joint_tonight,success,26142,587402,24,0,0,75.29193231499812
case_005_p1_n5_integrated,cold,case_005,1,5,integrated,success,61202,2092876,24,0,0,126.44123366499844
case_007_p1_n2_integrated,cold,case_007,1,2,integrated,success,507494,27648,5,0,0,42.07418635299837
case_007_p1_n2_joint_tonight,cold,case_007,1,2,joint_tonight,success,507494,27648,6,0,0,50.09435562499857
case_007_p1_n4_joint_tonight,cold,case_007,1,4,joint_tonight,success,254398,82944,5,0,0,40.70756187500956
case_005_p1_n3_joint_tonight,cold,case_005,1,3,joint_tonight,success,69750,2356974,24,0,0,169.76983353799733
case_005_p1_n5_joint_tonight,cold,case_005,1,5,joint_tonight,success,61202,2092876,24,0,0,146.23939760299982
case_007_p1_n4_integrated,cold,case_007,1,4,integrated,success,254398,82944,5,0,0,39.16532778299006
case_008_p1_n1_joint_tonight,cold,case_008,1,1,joint_tonight,success,273527,3981312,7,0,0,11.940942458008067
case_007_p1_n3_integrated,cold,case_007,1,3,integrated,success,338094,55296,8,0,0,53.106619772996055
case_008_p1_n1_integrated,cold,case_008,1,1,integrated,success,273527,3981312,6,0,0,10.050005854995106
case_007_p1_n3_joint_tonight,cold,case_007,1,3,joint_tonight,success,338094,55296,9,0,0,60.65140381200763
case_007_p1_n1_integrated,cold,case_007,1,1,integrated,success,1012562,0,8,0,0,84.57184737500211
case_008_p1_n2_integrated,cold,case_008,1,2,integrated,success,244266,0,17,0,0,22.77595519598981
case_007_p1_n5_integrated,cold,case_007,1,5,integrated,success,203834,110592,8,0,0,47.366048786003375
case_008_p1_n2_joint_tonight,cold,case_008,1,2,joint_tonight,success,244266,0,18,0,0,24.884832452997216
case_008_p1_n4_integrated,cold,case_008,1,4,integrated,success,123060,0,23,0,0,25.150077504004003
case_007_p1_n5_joint_tonight,cold,case_007,1,5,joint_tonight,success,203834,110592,8,0,0,49.5199422089936
case_007_p1_n1_joint_tonight,cold,case_007,1,1,joint_tonight,success,1012562,0,9,0,0,88.93004186800681
case_008_p1_n3_integrated,cold,case_008,1,3,integrated,success,163359,0,24,0,0,27.619976652000332
case_008_p1_n3_joint_tonight,cold,case_008,1,3,joint_tonight,success,163359,0,24,0,0,28.643568723011413
case_008_p1_n4_joint_tonight,cold,case_008,1,4,joint_tonight,success,123060,0,24,0,0,27.206899147000513
case_008_p1_n5_joint_tonight,cold,case_008,1,5,joint_tonight,success,100603,0,24,0,0,30.367131430990412
case_008_p1_n5_integrated,cold,case_008,1,5,integrated,success,100603,0,23,0,0,24.793482199995196
case_010_p1_n1_joint_tonight,cold,case_010,1,1,joint_tonight,success,83274,618628,15,0,0,11.87909496499924
case_010_p1_n1_integrated,cold,case_010,1,1,integrated,success,83274,618628,14,0,0,10.451029976000427
case_010_p1_n2_integrated,cold,case_010,1,2,integrated,success,45452,48384,20,0,0,18.032533017001697
case_010_p1_n2_joint_tonight,cold,case_010,1,2,joint_tonight,success,45452,48384,21,0,0,18.329686907003634
case_010_p1_n3_joint_tonight,cold,case_010,1,3,joint_tonight,success,30316,10368,14,0,0,13.699944285006495
case_010_p1_n3_integrated,cold,case_010,1,3,integrated,success,30316,10368,13,0,0,12.236738835999859
case_010_p1_n4_integrated,cold,case_010,1,4,integrated,success,26299,510344,18,0,0,14.948117154010106
case_010_p1_n4_joint_tonight,cold,case_010,1,4,joint_tonight,success,26299,510344,21,0,0,36.13893005500722
case_010_p1_n5_joint_tonight,cold,case_010,1,5,joint_tonight,success,24879,690046,24,0,0,38.26776260499901
case_010_p1_n5_integrated,cold,case_010,1,5,integrated,success,25730,690046,24,0,0,20.132254847005242
case_011_p1_n1_integrated,cold,case_011,1,1,integrated,success,184697,0,6,0,0,6.58752096099488
case_011_p1_n1_joint_tonight,cold,case_011,1,1,joint_tonight,success,184697,0,6,0,0,7.410745472006965
case_011_p1_n2_joint_tonight,cold,case_011,1,2,joint_tonight,success,92646,180224,8,0,0,10.550839023999288
case_011_p1_n2_integrated,cold,case_011,1,2,integrated,success,92646,180224,8,0,0,8.393372955993982
case_011_p1_n3_integrated,cold,case_011,1,3,integrated,success,69625,1081344,12,0,0,12.809968239991576
case_011_p1_n3_joint_tonight,cold,case_011,1,3,joint_tonight,success,66464,1597440,9,0,0,17.43483888800256
case_011_p1_n4_joint_tonight,cold,case_011,1,4,joint_tonight,success,46880,540672,10,0,0,11.816102757002227
case_011_p1_n4_integrated,cold,case_011,1,4,integrated,success,46880,540672,10,0,0,10.650486629005172
case_011_p1_n5_integrated,cold,case_011,1,5,integrated,success,46208,1785856,24,0,0,24.725080741001875
case_012_p1_n1_joint_tonight,cold,case_012,1,1,joint_tonight,success,57268,390744,10,0,0,13.86515780199261
case_011_p1_n5_joint_tonight,cold,case_011,1,5,joint_tonight,success,46359,1785856,24,0,0,37.709753617004026
case_012_p1_n1_integrated,cold,case_012,1,1,integrated,success,57268,390744,10,0,0,12.692830451996997
case_012_p1_n2_integrated,cold,case_012,1,2,integrated,success,28993,38016,24,0,0,25.529061588997138
case_009_p1_n1_integrated,cold,case_009,1,1,integrated,success,153261,0,21,1,0,240.335269246003
case_009_p1_n1_joint_tonight,cold,case_009,1,1,joint_tonight,success,153261,0,21,1,0,240.34809862499242
case_009_p1_n2_joint_tonight,cold,case_009,1,2,joint_tonight,success,89453,410754,23,1,0,240.38763849600218
case_012_p1_n2_joint_tonight,cold,case_012,1,2,joint_tonight,success,28957,38016,24,0,0,33.680754740998964
case_009_p1_n2_integrated,cold,case_009,1,2,integrated,success,89285,400018,24,0,0,239.7151273870113
case_009_p1_n4_integrated,cold,case_009,1,4,integrated,success,84913,235116,24,0,0,238.45696971099824
case_009_p1_n3_joint_tonight,cold,case_009,1,3,joint_tonight,success,86295,234618,23,1,0,240.36735036301252
case_009_p1_n5_integrated,cold,case_009,1,5,integrated,success,81206,532516,24,1,0,240.3519549969933
case_009_p1_n4_joint_tonight,cold,case_009,1,4,joint_tonight,success,85495,234652,22,0,0,241.29274391700164
case_009_p1_n3_integrated,cold,case_009,1,3,integrated,success,80166,603674,22,0,0,245.23210932599613
case_009_p1_n5_joint_tonight,cold,case_009,1,5,joint_tonight,success,80621,532516,24,0,0,239.45925366399752
case_012_p1_n3_joint_tonight,cold,case_012,1,3,joint_tonight,success,19914,32832,24,0,0,28.767998130002525
case_012_p1_n3_integrated,cold,case_012,1,3,integrated,success,19914,32832,24,0,0,28.161514530002023
case_012_p1_n4_integrated,cold,case_012,1,4,integrated,success,17253,39168,24,0,0,27.93713440099964
case_013_p1_n1_integrated,cold,case_013,1,1,integrated,success,263949,0,4,0,0,25.718074951990275
case_012_p1_n4_joint_tonight,cold,case_012,1,4,joint_tonight,success,14884,9216,24,0,0,30.073924739990616
case_012_p1_n5_integrated,cold,case_012,1,5,integrated,success,12786,27648,24,0,0,29.917180144999293
case_013_p1_n1_joint_tonight,cold,case_013,1,1,joint_tonight,success,263949,0,4,0,0,26.548446806002175
case_013_p1_n2_integrated,cold,case_013,1,2,integrated,success,132198,8192,7,0,0,27.438366417991347
case_013_p1_n2_joint_tonight,cold,case_013,1,2,joint_tonight,success,132198,8192,7,0,0,29.035634979998576
case_012_p1_n5_joint_tonight,cold,case_012,1,5,joint_tonight,success,12786,27648,24,0,0,36.083818036990124
case_013_p1_n3_integrated,cold,case_013,1,3,integrated,success,88351,16384,8,0,0,27.723213506003958
case_013_p1_n4_joint_tonight,cold,case_013,1,4,joint_tonight,success,66982,24576,4,0,0,22.510610440003802
case_013_p1_n3_joint_tonight,cold,case_013,1,3,joint_tonight,success,88351,16384,8,0,0,29.32862225199642
case_013_p1_n4_integrated,cold,case_013,1,4,integrated,success,66982,24576,4,0,0,20.65312921500299
case_013_p1_n5_integrated,cold,case_013,1,5,integrated,success,54363,32768,5,0,0,23.274837838995154
case_013_p1_n5_joint_tonight,cold,case_013,1,5,joint_tonight,success,54363,32768,5,0,0,25.16982181800995
case_015_p1_n1_integrated,cold,case_015,1,1,integrated,success,172989,158984,24,0,0,22.34322368100402
case_015_p1_n1_joint_tonight,cold,case_015,1,1,joint_tonight,success,172989,158984,24,0,0,23.935310354994726
case_015_p1_n2_integrated,cold,case_015,1,2,integrated,success,85515,528384,24,0,0,25.09175275200687
case_015_p1_n2_joint_tonight,cold,case_015,1,2,joint_tonight,success,85515,528384,24,0,0,34.95811019898974
case_015_p1_n3_integrated,cold,case_015,1,3,integrated,success,60827,281864,24,0,0,27.19763999400311
case_015_p1_n3_joint_tonight,cold,case_015,1,3,joint_tonight,success,60827,281864,24,0,0,47.69081786600873
case_015_p1_n4_joint_tonight,cold,case_015,1,4,joint_tonight,success,45588,631296,24,0,0,29.270971801000996
case_015_p1_n4_integrated,cold,case_015,1,4,integrated,success,45588,631296,24,0,0,28.038922367006307
case_015_p1_n5_integrated,cold,case_015,1,5,integrated,success,43411,321536,24,0,0,28.528258082005777
case_015_p1_n5_joint_tonight,cold,case_015,1,5,joint_tonight,success,43411,321536,24,0,0,29.447038009006064
case_014_p1_n1_joint_tonight,cold,case_014,1,1,joint_tonight,no_valid_plan,,,4,4,0,240.5217329510051
case_014_p1_n1_integrated,cold,case_014,1,1,integrated,no_valid_plan,,,4,4,0,240.53510533600638
case_014_p1_n2_integrated,cold,case_014,1,2,integrated,no_valid_plan,,,4,4,0,240.5739838499867
case_014_p1_n2_joint_tonight,cold,case_014,1,2,joint_tonight,no_valid_plan,,,4,4,0,240.55520260300545
case_014_p1_n3_joint_tonight,cold,case_014,1,3,joint_tonight,no_valid_plan,,,4,4,0,240.5646561540052
case_014_p1_n3_integrated,cold,case_014,1,3,integrated,no_valid_plan,,,4,4,0,240.5459601610055
case_014_p1_n4_integrated,cold,case_014,1,4,integrated,no_valid_plan,,,4,4,0,240.54588501800026
case_014_p1_n4_joint_tonight,cold,case_014,1,4,joint_tonight,no_valid_plan,,,4,4,0,240.5561798710114
case_014_p1_n5_joint_tonight,cold,case_014,1,5,joint_tonight,no_valid_plan,,,4,4,0,240.53134933899855
case_014_p1_n5_integrated,cold,case_014,1,5,integrated,no_valid_plan,,,4,4,0,240.52454935500282
case_017_p1_n1_integrated,cold,case_017,1,1,integrated,success,147373,78336,24,0,0,32.86984499701066
case_017_p1_n1_joint_tonight,cold,case_017,1,1,joint_tonight,success,147373,78336,24,0,0,33.65082718299527
case_017_p1_n2_integrated,cold,case_017,1,2,integrated,success,73090,241920,24,0,0,37.49429689499084
case_017_p1_n2_joint_tonight,cold,case_017,1,2,joint_tonight,success,73090,241920,24,0,0,61.452146188006736
case_017_p1_n3_integrated,cold,case_017,1,3,integrated,success,50095,330624,24,0,0,36.632774628000334
