case,cores,method,logical_call,generation,candidate,parent_time,status,time,best_time_so_far,added_copy,accepted,lower_bound,cache_hit
case_043,4,iterative,5,1,observed_duration,266766,success,266766,266766,2819424,False,208116,False
case_043,4,iterative,6,1,merge1024,266766,success,266768,266766,1160544,False,208116,False
case_043,4,iterative,7,1,split1024,266766,success,266793,266766,2972686,False,208116,False
case_043,4,iterative,8,1,merge2048,266766,success,268356,266766,888662,False,207916,False
case_043,4,iterative,9,1,split512,266766,success,266954,266766,3607906,False,208532,False
case_025,3,single,2,1,split1024,1622164,success,1626688,1622164,552960,False,1568796,False
case_025,3,single,3,1,split512,1622164,success,1631212,1622164,1050624,False,1569396,False
case_025,3,iterative,2,1,split1024,1622164,success,1626688,1622164,552960,False,1568796,False
case_025,3,iterative,3,1,split512,1622164,success,1631212,1622164,1050624,False,1569396,False
case_025,5,single,2,1,local_duration,975282,success,975282,975282,110592,False,941976,False
case_025,5,single,3,1,split1024,975282,success,979692,975282,525312,False,942276,False
case_025,5,single,4,1,split512,975282,success,985572,975282,1078272,False,942676,False
case_025,5,iterative,2,1,local_duration,975282,success,975282,975282,110592,False,941976,False
case_025,5,iterative,3,1,split1024,975282,success,979692,975282,525312,False,942276,False
case_025,5,iterative,4,1,split512,975282,success,985572,975282,1078272,False,942676,False
