case,problem,cores,variant,group,makespan,added_copy,logical_calls,elapsed_seconds,failures,generation_failures,summary,B8,B16,B24
case_090,2,5,strong,development,260978,8593920,24,9.942972385004396,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_090_p2_n5/strong/summary.json,260978,260978,260978
case_071,3,2,strong,lowcore,11297,149190,24,4.884852835006313,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p3_n2/strong/summary.json,11832,11580,11297
case_046,3,5,wait_integrated,development,76275,2651936,24,13.132851250004023,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_046_p3_n5/wait_integrated/summary.json,88631,76420,76275
case_028,3,3,strong,lowcore,13647648,145554288,20,180.0357786270033,1,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p3_n3/strong/summary.json,14136334,13658474,13647648
case_080,2,5,strong,development,74408,1904640,24,7.8723909620021,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_080_p2_n5/strong/summary.json,86030,83650,74408
case_071,2,3,strong,lowcore,8818,281740,24,4.562883256003261,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p2_n3/strong/summary.json,11536,8818,8818
case_071,3,2,wait_integrated,lowcore,9732,149190,24,10.876055656990502,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_071_p3_n2/wait_integrated/summary.json,11769,9732,9732
case_028,3,5,strong,decision,8428330,141599064,24,180.02999595800065,1,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_028_p3_n5/strong/summary.json,9447245,8523550,8428330
case_053,2,5,strong,development,405585,3269876,24,95.63842887300416,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_053_p2_n5/strong/summary.json,418489,405585,405585
case_092,3,5,wait_integrated,decision,1062672,36131392,7,68.53264165399014,0,1,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_092_p3_n5/wait_integrated/summary.json,1062672,1062672,1062672
case_017,3,5,wait_integrated,development,27885,340992,24,27.411271680000937,0,0,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/三指标联合推进_20260926/从头对照/slots/case_017_p3_n5/wait_integrated/summary.json,30452,27885,27885
