config_id,case,problem,cores,group,variant,completed,valid,attempt_count,recovered,first_attempt_valid,calls,failures,cache_hits,seconds,deadline_overrun_seconds,logged_generation_seconds,generation_errors,generation_timeouts,total_recorded_calls_including_recovery,total_recorded_failures_including_recovery,recorded_evaluation_seconds_including_recovery,unresolved_evaluation_attempts,summary,original_singlecore,makespan,added_copy,raw_speedup,statement_speedup,hit_bytes,miss_bytes,byte_hit_rate,plan_sha256,max_reported_depth,evaluated_branch_count
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,True,True,1,False,True,24,0,0,113.26471866801148,0.0,60.833145242970204,0,0,24,0,51.59192274603993,0,configurations/case_060_p2_n5/legacy/attempt_001/summary.json,888789.0,162261,3554692,5.477526947325605,5.477526947325605,0,0,,69b6aa548d471449814fcd031b653883572869877a26f6da7dee12dd7a3ad4e3,0,0
case_060_p2_n5,case_060,2,5,frozen_regression,persistent,True,True,1,False,True,24,0,0,77.31242774700513,0.0,26.63028199406108,0,0,24,0,50.003808856068645,0,configurations/case_060_p2_n5/persistent/attempt_001/summary.json,888789.0,164455,3644800,5.404451065641057,5.404451065641057,0,0,,c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece,3,5
case_060_p2_n5,case_060,2,5,frozen_regression,mature,True,True,1,False,True,24,0,0,48.33651985100005,0.0,5.115580320998561,0,0,24,0,41.73702255185344,0,configurations/case_060_p2_n5/mature/attempt_001/summary.json,888789.0,163289,3740032,5.443042703427665,5.443042703427665,0,0,,79276bc069933aecd9feb1e3d223f5d8e3bdea621b99ec064eb4654bd68b0cf5,0,0
case_047_p3_n4,case_047,3,4,core_regression,legacy,True,True,1,False,True,8,0,0,240.02410141099244,0.02410141099244356,188.03178197404486,0,15,8,0,50.02535585404257,0,configurations/case_047_p3_n4/legacy/attempt_001/summary.json,326508.0,90017,2114418,3.6271815323772176,3.6271815323772176,661648,1066200,0.3829318319667008,c98f373c52aefafcedd0ce4c29cd66f7f0d7cd4fe65f0918771b8b9bf1b03d60,0,0
case_047_p3_n4,case_047,3,4,core_regression,persistent,True,True,1,False,True,24,0,0,160.97464296099497,0.0,53.444321520015365,0,0,24,0,105.7515444639721,0,configurations/case_047_p3_n4/persistent/attempt_001/summary.json,326508.0,90017,2114418,3.6271815323772176,3.6271815323772176,661648,1066200,0.3829318319667008,40cdea136e03e8a5ea1d82d4c9aa87c426eea3a271b5911e3b0cceaa00a1157a,2,4
case_047_p3_n4,case_047,3,4,core_regression,mature,True,True,1,False,True,24,0,0,150.1862770470034,0.0,3.1984169560309965,0,0,24,0,142.85156586195808,0,configurations/case_047_p3_n4/mature/attempt_001/summary.json,326508.0,91015,2152850,3.5874086689007307,3.5874086689007307,714642,1031654,0.4092330280777142,205c697a7cd5b255a45e15701764696801d4ff5643b5dca89ba177facfec4b43,0,0
case_025_p3_n5,case_025,3,5,existing_regression,legacy,True,True,1,False,True,11,1,0,240.01780441598385,0.01780441598384641,108.88548108906252,0,6,11,1,129.7688322570757,0,configurations/case_025_p3_n5/legacy/attempt_001/summary.json,4863026.0,942350,118272,5.160530588422561,5.160530588422561,46080,4191744,0.010873504893077202,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4,0,0
case_025_p3_n5,case_025,3,5,existing_regression,persistent,True,True,1,False,True,18,0,0,240.08733214301174,0.08733214301173575,91.18321222107625,0,3,18,0,147.15383201590157,0,configurations/case_025_p3_n5/persistent/attempt_001/summary.json,4863026.0,942938,110592,5.157312569861433,5.157312569861433,0,4233216,0.0,c7b7c79a1105825d864864a1f45a3ee16960f02f7e4cc0821f4a283ede83cff8,2,3
case_025_p3_n5,case_025,3,5,existing_regression,mature,True,True,1,False,True,23,1,0,240.8091000310087,0.8091000310087111,15.69405108501087,0,0,23,1,218.33815252000932,0,configurations/case_025_p3_n5/mature/attempt_001/summary.json,4863026.0,942350,118272,5.160530588422561,5.160530588422561,46080,4191744,0.010873504893077202,9c60bb2359e412cc005ccb9ca6d0e61767371262575c1dc8c0ee8a15224c23d4,0,0
case_047_p3_n1,case_047,3,1,core_regression,legacy,True,True,1,False,True,6,0,0,95.55559362602071,0.0,56.44442864894518,0,4,6,0,38.529962428990984,0,configurations/case_047_p3_n1/legacy/attempt_001/summary.json,326508.0,277066,0,1.178448456324486,1.0,0,457286,0.0,400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d,0,0
case_047_p3_n1,case_047,3,1,core_regression,persistent,True,True,1,False,True,8,0,0,58.012863774987636,0.0,24.138133723958163,0,0,8,0,33.32859685001313,0,configurations/case_047_p3_n1/persistent/attempt_001/summary.json,326508.0,277066,0,1.178448456324486,1.0,0,457286,0.0,400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d,1,1
case_047_p3_n1,case_047,3,1,core_regression,mature,True,True,1,False,True,10,0,0,65.21428776200628,0.0,2.144377805001568,0,0,10,0,61.52351378102321,0,configurations/case_047_p3_n1/mature/attempt_001/summary.json,326508.0,277066,0,1.178448456324486,1.0,0,457286,0.0,400a057303f1a07af8b4726b5b91c234660c58109ea02ec870ca7e7934ab204d,0,0
case_053_p3_n5,case_053,3,5,existing_regression,legacy,True,True,1,False,True,12,0,0,240.04167719298857,0.04167719298857264,164.07060755998828,0,11,12,0,73.76327467593364,0,configurations/case_053_p3_n5/legacy/attempt_001/summary.json,1472686.0,325708,10044262,4.521491642821177,4.521491642821177,4259634,5960322,0.4167957278876739,1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36,0,0
case_053_p3_n5,case_053,3,5,existing_regression,persistent,True,True,1,False,True,24,0,0,162.67605401700712,0.0,60.562932203989476,0,0,24,0,100.76635962809087,0,configurations/case_053_p3_n5/persistent/attempt_001/summary.json,1472686.0,325708,10044262,4.521491642821177,4.521491642821177,4259634,5960322,0.4167957278876739,1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36,3,5
case_053_p3_n5,case_053,3,5,existing_regression,mature,True,True,1,False,True,24,0,0,115.83366296198801,0.0,13.99276606895728,0,0,24,0,100.34733770307503,0,configurations/case_053_p3_n5/mature/attempt_001/summary.json,1472686.0,374457,3247692,3.932857444245935,3.932857444245935,124616,5948282,0.020520021907168538,f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805,0,0
case_095_p2_n5,case_095,2,5,existing_regression,legacy,True,True,1,False,True,24,0,0,93.79000224999618,0.0,53.87678577401675,0,0,24,0,38.82163686098647,0,configurations/case_095_p2_n5/legacy/attempt_001/summary.json,2084853.0,217302,0,9.594265124112985,9.594265124112985,0,0,,1470210382f2c188b1f6aebfc4e2e8e5387a8b3d9762e65b0c09a7618e0f5e59,0,0
case_095_p2_n5,case_095,2,5,existing_regression,persistent,True,True,1,False,True,24,0,0,56.27486912201857,0.0,15.581031200097641,0,0,24,0,40.07927380691399,0,configurations/case_095_p2_n5/persistent/attempt_001/summary.json,2084853.0,220188,0,9.468513270477954,9.468513270477954,0,0,,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982,1,3
case_095_p2_n5,case_095,2,5,existing_regression,mature,True,True,1,False,True,24,0,0,47.77061532699736,0.0,3.2453877739899326,0,0,24,0,43.77125216406421,0,configurations/case_095_p2_n5/mature/attempt_001/summary.json,2084853.0,220188,0,9.468513270477954,9.468513270477954,0,0,,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982,0,0
case_047_p3_n3,case_047,3,3,core_regression,legacy,True,True,1,False,True,12,0,0,240.07363979998627,0.07363979998626746,168.012884862168,0,11,12,0,71.04459639193374,0,configurations/case_047_p3_n3/legacy/attempt_001/summary.json,326508.0,108619,1560748,3.0059934265644133,3.0059934265644133,447628,941142,0.3223197505706488,1edd1b4919434ee4b3196ae46eb30a8d82c2bc4670e9ec820e3367d72df2bd3e,0,0
case_047_p3_n3,case_047,3,3,core_regression,persistent,True,True,1,False,True,24,0,0,189.8328265240125,0.0,79.57208703295328,0,0,24,0,108.74478606801131,0,configurations/case_047_p3_n3/persistent/attempt_001/summary.json,326508.0,104462,1709964,3.1256150561926823,3.1256150561926823,381452,1084486,0.2602101862425287,885fc12c73f41c52715b2571b3b6cba145001f201f07cd8f69105f7134e210f9,3,5
