case,cores,variant,p2_makespan,p3_makespan,same_core_p2_over_p3,identical_plan_hash,interpretation
case_071,5,persistent,9296,7982,1.1646203958907542,False,separately optimized plans; includes scheduling differences
case_071,5,mature,9399,7982,1.1775244299674268,False,separately optimized plans; includes scheduling differences
case_060,4,legacy,194109,188051,1.0322146651706186,False,separately optimized plans; includes scheduling differences
case_060,4,persistent,194770,191705,1.0159881067264809,True,separately optimized plans; includes scheduling differences
case_060,4,mature,194395,191705,1.0140319762134529,False,separately optimized plans; includes scheduling differences
case_060,3,legacy,318020,316050,1.0062331909507989,False,separately optimized plans; includes scheduling differences
case_060,3,persistent,319994,316734,1.0102925483213043,False,separately optimized plans; includes scheduling differences
case_060,3,mature,244858,244808,1.000204241691448,True,separately optimized plans; includes scheduling differences
case_060,2,legacy,365154,364450,1.001931677870764,False,separately optimized plans; includes scheduling differences
case_060,2,persistent,365154,364504,1.0017832451770077,False,separately optimized plans; includes scheduling differences
case_060,2,mature,364591,364106,1.0013320296836636,False,separately optimized plans; includes scheduling differences
case_046,5,legacy,88914,88781,1.0014980682803754,False,separately optimized plans; includes scheduling differences
case_046,5,persistent,86943,62003,1.4022386013579988,False,separately optimized plans; includes scheduling differences
case_046,5,mature,77846,77846,1.0,True,separately optimized plans; includes scheduling differences
case_012,5,legacy,13127,12144,1.080945322793149,False,separately optimized plans; includes scheduling differences
case_012,5,persistent,12954,12906,1.00371920037192,False,separately optimized plans; includes scheduling differences
case_012,5,mature,12279,12272,1.000570404172099,True,separately optimized plans; includes scheduling differences
