variant,problem,cores,count,statement_mean_speedup,raw_optimized_mean_ratio,graph_set,interpretation
legacy,1,1,2,1.0,1.0152877705744288,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,1,2,2,1.6969756444605155,1.6969756444605155,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,1,3,2,2.319510707278017,2.319510707278017,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,1,4,2,2.9210492862687945,2.9210492862687945,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,1,5,13,3.1894783029768727,3.1894783029768727,case_003;case_012;case_016;case_042;case_043;case_047;case_054;case_058;case_060;case_062;case_075;case_085;case_087,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,1,2,1.0,1.203224779636933,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,2,2,2.304053996761236,2.304053996761236,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,3,2,2.8898369970311375,2.8898369970311375,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,4,2,4.070469812013224,4.070469812013224,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,2,5,19,4.654339451546919,4.654339451546919,case_001;case_009;case_012;case_019;case_023;case_025;case_028;case_035;case_037;case_042;case_046;case_047;case_049;case_050;case_053;case_060;case_066;case_071;case_095,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,1,2,1.0,1.1965943540386625,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,2,2,2.3108163103642383,2.3108163103642383,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,3,2,2.9090859396704363,2.9090859396704363,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,4,2,4.176750228249433,4.176750228249433,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
legacy,3,5,19,4.85072582049109,4.85072582049109,case_001;case_009;case_012;case_019;case_023;case_025;case_028;case_035;case_037;case_042;case_046;case_047;case_049;case_050;case_053;case_060;case_066;case_071;case_095,panel only; graph sets may differ by core count; not full-pool curve
persistent,1,1,2,1.0,1.0140205247113814,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,1,2,2,1.5181935522798808,1.5181935522798808,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,1,3,2,2.013891107787899,2.013891107787899,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,1,4,2,2.496400827411049,2.496400827411049,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,1,5,13,2.9854702167720357,2.9854702167720357,case_003;case_012;case_016;case_042;case_043;case_047;case_054;case_058;case_060;case_062;case_075;case_085;case_087,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,1,2,1.0,1.196572771819718,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,2,2,2.301728265373766,2.301728265373766,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,3,2,2.9432035500831315,2.9432035500831315,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,4,2,4.062467003939028,4.062467003939028,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,2,5,19,4.671480896932789,4.671480896932789,case_001;case_009;case_012;case_019;case_023;case_025;case_028;case_035;case_037;case_042;case_046;case_047;case_049;case_050;case_053;case_060;case_066;case_071;case_095,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,1,2,1.0,1.1965943540386625,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,2,2,2.3056743872135455,2.3056743872135455,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,3,2,2.9658602474128655,2.9658602474128655,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,4,2,4.131707142913264,4.131707142913264,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
persistent,3,5,19,4.923855062403507,4.923855062403507,case_001;case_009;case_012;case_019;case_023;case_025;case_028;case_035;case_037;case_042;case_046;case_047;case_049;case_050;case_053;case_060;case_066;case_071;case_095,panel only; graph sets may differ by core count; not full-pool curve
mature,1,1,2,1.0,1.0157369600259565,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
mature,1,2,2,1.7179891461038959,1.7179891461038959,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
mature,1,3,2,2.3647874004892326,2.3647874004892326,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
mature,1,4,2,2.970038815449218,2.970038815449218,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
mature,1,5,12,3.27123551270829,3.27123551270829,case_003;case_012;case_016;case_042;case_043;case_047;case_054;case_058;case_060;case_062;case_075;case_085,panel only; graph sets may differ by core count; not full-pool curve
mature,2,1,2,1.0,1.2001983892997359,case_047;case_060,panel only; graph sets may differ by core count; not full-pool curve
