config_id,case,problem,cores,group,baseline,baseline_makespan,persistent_makespan,baseline_speedup,persistent_speedup,outcome,time_reduction,copy_delta,baseline_calls,persistent_calls,baseline_seconds,persistent_seconds
case_060_p2_n5,case_060,2,5,frozen_regression,legacy,162261,164455,5.477526947325605,5.404451065641057,loss,-0.01352142535791101,90108,24,24,113.26471866801148,77.31242774700513
case_060_p2_n5,case_060,2,5,frozen_regression,mature,163289,164455,5.443042703427665,5.404451065641057,loss,-0.007140713703923662,-95232,24,24,48.33651985100005,77.31242774700513
case_047_p3_n4,case_047,3,4,core_regression,legacy,90017,90017,3.6271815323772176,3.6271815323772176,tie,0.0,0,8,24,240.02410141099244,160.97464296099497
case_047_p3_n4,case_047,3,4,core_regression,mature,91015,90017,3.5874086689007307,3.6271815323772176,win,0.010965225512278187,-38432,24,24,150.1862770470034,160.97464296099497
case_025_p3_n5,case_025,3,5,existing_regression,legacy,942350,942938,5.160530588422561,5.157312569861433,loss,-0.0006239719849312486,-7680,11,18,240.01780441598385,240.08733214301174
case_025_p3_n5,case_025,3,5,existing_regression,mature,942350,942938,5.160530588422561,5.157312569861433,loss,-0.0006239719849312486,-7680,23,18,240.8091000310087,240.08733214301174
case_047_p3_n1,case_047,3,1,core_regression,legacy,277066,277066,1.0,1.0,tie,0.0,0,6,8,95.55559362602071,58.012863774987636
case_047_p3_n1,case_047,3,1,core_regression,mature,277066,277066,1.0,1.0,tie,0.0,0,10,8,65.21428776200628,58.012863774987636
case_053_p3_n5,case_053,3,5,existing_regression,legacy,325708,325708,4.521491642821177,4.521491642821177,tie,0.0,0,12,24,240.04167719298857,162.67605401700712
case_053_p3_n5,case_053,3,5,existing_regression,mature,374457,325708,3.932857444245935,4.521491642821177,win,0.13018584243317655,6796570,24,24,115.83366296198801,162.67605401700712
case_095_p2_n5,case_095,2,5,existing_regression,legacy,217302,220188,9.594265124112985,9.468513270477954,loss,-0.013281055857746304,0,24,24,93.79000224999618,56.27486912201857
case_095_p2_n5,case_095,2,5,existing_regression,mature,220188,220188,9.468513270477954,9.468513270477954,tie,0.0,0,24,24,47.77061532699736,56.27486912201857
case_047_p3_n3,case_047,3,3,core_regression,legacy,108619,104462,3.0059934265644133,3.1256150561926823,win,0.03827138898351112,149216,12,24,240.07363979998627,189.8328265240125
case_047_p3_n3,case_047,3,3,core_regression,mature,108690,104462,3.004029809550097,3.1256150561926823,win,0.03889962278038461,149216,24,24,144.8789275510062,189.8328265240125
case_054_p1_n5,case_054,1,5,development,legacy,329736,461210,2.4718289783341825,1.76720149172828,loss,-0.3987250406385714,726646,15,12,240.01415262802038,240.0323591020133
case_054_p1_n5,case_054,1,5,development,mature,517986,461210,1.573500055986069,1.76720149172828,win,0.10960914001536726,5712362,5,12,240.17292675899807,240.0323591020133
case_085_p1_n5,case_085,1,5,development,legacy,2218649,2081783,1.4368649570076204,1.5313310753330198,win,0.06168889265494448,2765294,14,10,240.032392410998,240.0383589020057
case_085_p1_n5,case_085,1,5,development,mature,2760933,2081783,1.1546455491676184,1.5313310753330198,win,0.24598568672256804,25241666,6,10,246.34888332997798,240.0383589020057
case_060_p2_n4,case_060,2,4,core_regression,legacy,194109,194770,4.578813965349365,4.563274631616779,loss,-0.0034053032059306876,26624,24,24,113.21648469302454,69.18483765999554
case_060_p2_n4,case_060,2,4,core_regression,mature,194395,194770,4.572077471128373,4.563274631616779,loss,-0.0019290619614702464,174080,24,24,45.01116213100613,69.18483765999554
case_025_p2_n5,case_025,2,5,existing_regression,legacy,942179,942350,5.161467194662586,5.160530588422561,loss,-0.00018149417467383522,-7680,16,20,240.01648258100613,240.03898031500285
case_025_p2_n5,case_025,2,5,existing_regression,mature,942350,942350,5.160530588422561,5.160530588422561,tie,0.0,0,24,20,154.18980512200505,240.03898031500285
case_060_p2_n1,case_060,2,1,core_regression,legacy,731696,731696,1.0,1.0,tie,0.0,0,24,7,94.96500131802168,18.693347433989402
case_060_p2_n1,case_060,2,1,core_regression,mature,727354,731696,1.0,1.0,loss,-0.005969582899111092,-194560,24,7,61.67478783399565,18.693347433989402
case_060_p1_n2,case_060,1,2,core_regression,legacy,434183,439467,2.047037769788315,2.022424891971411,loss,-0.012169983624416458,364664,24,24,90.10560161300236,170.35703612299403
case_060_p1_n2,case_060,1,2,core_regression,mature,437641,439467,2.0308631960899457,2.022424891971411,loss,-0.004172369590600411,2511996,24,24,80.09123062898288,170.35703612299403
case_003_p1_n5,case_003,1,5,development,legacy,332321,375962,1.8121394675629887,1.6017895425601523,loss,-0.131321824380644,-2547462,21,17,240.0511828440067,240.03449868399184
case_003_p1_n5,case_003,1,5,development,mature,221109,375962,2.723597863497189,1.6017895425601523,loss,-0.7003468877341039,308758,17,17,242.01905887201428,240.03449868399184
case_047_p3_n2,case_047,3,2,core_regression,legacy,149574,150257,2.1829194913554493,2.1729969319233047,loss,-0.00456630162996241,-576,24,24,199.0321198849997,168.02514490199974
case_047_p3_n2,case_047,3,2,core_regression,mature,155794,150257,2.0957674878365022,2.1729969319233047,win,0.035540521457822494,139904,24,24,95.65448569800355,168.02514490199974
case_035_p2_n5,case_035,2,5,development,legacy,41448,41934,4.091174483690407,4.043759240711594,loss,-0.011725535610885851,4104,24,24,40.647629647981375,32.654893336002715
case_035_p2_n5,case_035,2,5,development,mature,80677,41934,2.10185058938731,4.043759240711594,win,0.4802236077196723,1130528,24,24,18.186851252015913,32.654893336002715
case_037_p3_n5,case_037,3,5,existing_regression,legacy,43013,43013,4.882268151489085,4.882268151489085,tie,0.0,163840,24,24,9.64071422201232,9.314579402998788
case_037_p3_n5,case_037,3,5,existing_regression,mature,43013,43013,4.882268151489085,4.882268151489085,tie,0.0,1146880,24,24,6.128262171987444,9.314579402998788
case_028_p3_n5,case_028,3,5,existing_regression,legacy,7900566,7911691,5.548468299612964,5.540666337954806,loss,-0.0014081269620429548,0,11,16,240.04653468498145,240.04448453200166
case_028_p3_n5,case_028,3,5,existing_regression,mature,7970583,7911691,5.499728188013348,5.540666337954806,win,0.007388669059716246,91729920,24,16,140.8974304739968,240.04448453200166
case_049_p2_n5,case_049,2,5,development,legacy,53502,54069,3.6685731374528054,3.630102276720487,loss,-0.010597734664124614,-7164,24,24,40.573018919996684,37.77988276700489
case_049_p2_n5,case_049,2,5,development,mature,102732,54069,1.9105634077015925,3.630102276720487,win,0.4736888213993692,-3519528,24,24,30.128168553987052,37.77988276700489
case_060_p1_n1,case_060,1,1,core_regression,legacy,877445,879646,1.0,1.0,loss,-0.0025084193311262215,-1234168,24,24,61.05289091201848,99.72348750699894
case_060_p1_n1,case_060,1,1,core_regression,mature,870161,879646,1.0,1.0,loss,-0.010900281672012513,-1350772,24,24,57.11777910601813,99.72348750699894
case_060_p1_n3,case_060,1,3,core_regression,legacy,291536,294664,3.0486423632072883,3.0162795590910325,loss,-0.010729378190000638,1691776,24,24,106.89110415999312,178.9923312299943
case_060_p1_n3,case_060,1,3,core_regression,mature,291413,294664,3.049929138370629,3.0162795590910325,loss,-0.011155988236626335,-438272,24,24,69.32237744898885,178.9923312299943
case_028_p2_n5,case_028,2,5,existing_regression,legacy,7913518,8029486,5.539387160046897,5.4593830788172495,loss,-0.01465441792133415,-91668480,11,19,240.02617528199335,240.04709513200214
case_028_p2_n5,case_028,2,5,existing_regression,mature,8032082,8029486,5.457618585069226,5.4593830788172495,win,0.0003232038716736163,61440,24,19,130.29873949900502,240.04709513200214
case_016_p1_n5,case_016,1,5,development,legacy,3304638,3304638,2.3347558794639536,2.3347558794639536,tie,0.0,0,14,13,240.02493931597564,240.03738143798546
case_016_p1_n5,case_016,1,5,development,mature,3303634,3304638,2.335465429887209,2.3347558794639536,loss,-0.00030390775733635245,-65536,9,13,240.0974573160056,240.03738143798546
case_023_p3_n5,case_023,3,5,existing_regression,legacy,17376,16725,7.0565147329650095,7.33118086696562,win,0.037465469613259694,0,24,24,9.713984564004932,9.047857208002824
case_023_p3_n5,case_023,3,5,existing_regression,mature,16725,16725,7.33118086696562,7.33118086696562,tie,0.0,0,24,24,5.08826141199097,9.047857208002824
case_095_p3_n5,case_095,3,5,existing_regression,legacy,217302,220188,9.594265124112985,9.468513270477954,loss,-0.013281055857746304,0,24,24,49.645837569987634,59.117344956001034
case_095_p3_n5,case_095,3,5,existing_regression,mature,220188,220188,9.468513270477954,9.468513270477954,tie,0.0,0,24,24,29.476135261997115,59.117344956001034
case_058_p1_n5,case_058,1,5,development,legacy,1004819,1004819,4.517945022934478,4.517945022934478,tie,0.0,0,17,13,240.0319542939833,240.03021714399802
case_058_p1_n5,case_058,1,5,development,mature,937334,1004819,4.843222373241555,4.517945022934478,loss,-0.07199674822421898,-4567040,8,13,240.09347403500578,240.03021714399802
case_012_p1_n5,case_012,1,5,frozen_regression,legacy,14006,14006,4.218763387119806,4.218763387119806,tie,0.0,0,24,24,9.096245909982827,13.286967983993236
case_012_p1_n5,case_012,1,5,frozen_regression,mature,12786,14006,4.62130455185359,4.218763387119806,loss,-0.09541686219302359,31680,24,24,8.096334618981928,13.286967983993236
case_071_p2_n5,case_071,2,5,existing_regression,legacy,8779,9296,2.15502904658845,2.0351764199655764,loss,-0.05889053422941104,44288,24,24,6.249715789977927,5.6609896199952345
case_071_p2_n5,case_071,2,5,existing_regression,mature,9399,9296,2.0128737099691456,2.0351764199655764,win,0.010958612618363617,-16064,24,24,4.307859941996867,5.6609896199952345
case_042_p3_n5,case_042,3,5,frozen_regression,legacy,343838,344200,4.905624160214985,4.900464846019756,loss,-0.0010528213868159497,-8064,24,24,78.60477815099875,50.25784640701022
case_042_p3_n5,case_042,3,5,frozen_regression,mature,347203,344200,4.858080143316734,4.900464846019756,win,0.008649118815217571,5678612,24,24,27.30410549498629,50.25784640701022
case_047_p1_n4,case_047,1,4,core_regression,legacy,177160,311363,1.843011966583879,1.048640975324621,loss,-0.7575242718446602,-263326,24,24,185.23802366200835,190.68710457900306
case_047_p1_n4,case_047,1,4,core_regression,mature,162413,311363,2.0103563138418723,1.048640975324621,loss,-0.9171063892668689,-470438,22,24,240.13916876900475,190.68710457900306
case_087_p1_n5,case_087,1,5,development,legacy,879581,835614,4.518141023964819,4.755869336799049,win,0.049986300295254193,1681920,12,10,240.03479113499634,240.03929154301295
case_037_p2_n5,case_037,2,5,existing_regression,legacy,43662,43013,4.809697219550181,4.882268151489085,win,0.014864183958591015,0,24,24,9.038087654014817,7.841200622991892
case_037_p2_n5,case_037,2,5,existing_regression,mature,43013,43013,4.882268151489085,4.882268151489085,tie,0.0,983040,24,24,5.761161981004989,7.841200622991892
case_012_p2_n5,case_012,2,5,frozen_regression,legacy,13127,12954,4.501256951321704,4.561371005094951,win,0.013178944160889716,16384,24,24,9.042185290978523,8.784244255017256
case_012_p2_n5,case_012,2,5,frozen_regression,mature,12279,12954,4.812118250671879,4.561371005094951,loss,-0.05497190324945023,16384,24,24,5.402679174003424,8.784244255017256
case_009_p2_n5,case_009,2,5,existing_regression,legacy,44455,42596,3.4475537059948262,3.598013898018593,win,0.04181756832752226,-98984,24,24,55.530840747989714,44.868217784998706
case_009_p2_n5,case_009,2,5,existing_regression,mature,42596,42596,3.598013898018593,3.598013898018593,tie,0.0,0,24,24,28.544770245003747,44.868217784998706
case_060_p1_n5,case_060,1,5,frozen_regression,legacy,183430,179213,4.845385160551709,4.9594002667217225,win,0.022989696341928822,1961216,24,24,116.96633221601951,195.2614139399957
case_060_p1_n5,case_060,1,5,frozen_regression,mature,183430,179213,4.845385160551709,4.9594002667217225,win,0.022989696341928822,1961216,24,24,109.74607485099114,195.2614139399957
case_060_p2_n3,case_060,2,3,core_regression,legacy,318020,319994,2.794758191308723,2.77751770345694,loss,-0.006207156782592316,414724,24,24,74.00275797399809,69.60169238800881
case_060_p2_n3,case_060,2,3,core_regression,mature,244858,319994,3.629814014653391,2.77751770345694,loss,-0.30685540190641114,1552512,24,24,29.251340396993328,69.60169238800881
case_049_p3_n5,case_049,3,5,development,legacy,52472,52489,3.740585455099863,3.739373964068662,loss,-0.0003239823143772469,3136,24,24,45.186051863012835,39.36613695000415
case_049_p3_n5,case_049,3,5,development,mature,95813,52489,2.0485320363624977,3.739373964068662,win,0.45217246093953845,-3502824,24,24,30.8586329970276,39.36613695000415
case_023_p2_n5,case_023,2,5,existing_regression,legacy,18864,17694,6.499893977947413,6.929693681473946,win,0.06202290076335881,3072,24,24,9.576619704981567,8.185035615984816
case_023_p2_n5,case_023,2,5,existing_regression,mature,17694,17694,6.929693681473946,6.929693681473946,tie,0.0,0,24,24,5.045614133996423,8.185035615984816
case_060_p1_n4,case_060,1,4,core_regression,legacy,222248,225343,3.9990866059537096,3.944160679497477,loss,-0.01392588459738664,1372288,24,24,117.97245525702601,189.38901979499497
case_060_p1_n4,case_060,1,4,core_regression,mature,226171,225343,3.9297213170565635,3.944160679497477,win,0.0036609468057354766,2128000,24,24,89.69281260299613,189.38901979499497
case_001_p3_n5,case_001,3,5,existing_regression,legacy,47502,47502,4.9073723211654245,4.9073723211654245,tie,0.0,0,24,24,5.7422457310021855,4.856374520983081
case_001_p3_n5,case_001,3,5,existing_regression,mature,47502,47502,4.9073723211654245,4.9073723211654245,tie,0.0,0,24,24,4.5819207610038575,4.856374520983081
case_019_p3_n5,case_019,3,5,development,legacy,15394,15463,5.271144601792907,5.247623358985966,loss,-0.004482265817851161,9988,24,24,7.187446793017443,5.615455377992475
case_019_p3_n5,case_019,3,5,development,mature,22206,15463,3.6541475276952173,5.247623358985966,win,0.3036566693686391,719628,24,24,3.648174819012638,5.615455377992475
