case,p,method,call,name,cycles,accepted,m,v,overlap,overlap_room,outside_mv,copy,cache_hits
case_009,2,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,87425,False,34080,79808,26700,0.0844,0.0027,49152,0
case_009,2,staged,6,op_stable_id_w100,77300,True,14826,26804,5576,0.1197,0.5336,1332918,0
case_009,2,staged,7,trace_r00_00_producer_single,77150,True,14826,26804,5576,0.1199,0.5327,1322678,0
case_009,2,staged,8,trace_r00_01_hot_pipe_single_move,77091,True,14046,26804,5576,0.1099,0.5424,1327286,0
case_009,2,staged,12,trace_r00_05_cross_release_dependency_tail,52200,True,12412,24700,5123,0.1396,0.3872,1332918,0
case_009,2,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,92225,True,34080,79808,21709,0.1341,0.0005,49152,0
case_009,2,component_wcc,2,whole_graph_single_active,153261,False,65160,119992,31901,0.217,0.0001,0,0
case_009,2,component_wcc,3,wcc_protected_interleave_v2_reencode_control,87425,True,34080,79808,26700,0.0844,0.0027,49152,0
case_009,2,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,87425,False,34080,79808,26700,0.0844,0.0027,49152,0
case_009,2,component_wcc,6,wcc_unrestricted_interleave_w2_base_earliest_start,82135,True,34080,79808,32973,0.0135,0.0149,49152,0
case_009,2,component_wcc,10,wcc_unrestricted_interleave_w2_complement_earliest_start,82126,True,34080,79808,32973,0.0135,0.0147,49152,0
case_009,3,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,92225,True,34080,79808,21709,0.1341,0.0005,49152,0.04514775528799697
case_009,3,staged,2,whole_graph_single_active,153261,False,65160,119992,31901,0.217,0.0001,0,0.0
case_009,3,staged,3,wcc_protected_interleave_v2_reencode_control,87425,True,34080,79808,26700,0.0844,0.0027,49152,0.04514775528799697
case_009,3,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,87425,False,34080,79808,26700,0.0844,0.0027,49152,0.07524625881332829
case_009,3,staged,6,op_stable_id_w100,74767,True,14826,26804,5576,0.1237,0.5178,1332918,0.3859483859454605
case_009,3,staged,7,trace_r00_00_producer_single,74732,True,14826,26804,5576,0.1238,0.5176,1322678,0.3846812787347244
case_009,3,staged,8,trace_r00_01_hot_pipe_single_move,74700,True,14046,26804,5576,0.1134,0.5278,1327286,0.39216735608788916
case_009,3,staged,9,cache_reencode_control,73001,True,14046,26804,5576,0.116,0.5168,1327286,0.38842123271146517
case_009,3,staged,12,cache_r00_t000_colocate_readers,72876,True,14046,26728,5576,0.1162,0.517,1323190,0.386584323151854
case_009,3,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,92225,True,34080,79808,21709,0.1341,0.0005,49152,0.04514775528799697
case_009,3,component_wcc,2,whole_graph_single_active,153261,False,65160,119992,31901,0.217,0.0001,0,0.0
case_009,3,component_wcc,3,wcc_protected_interleave_v2_reencode_control,87425,True,34080,79808,26700,0.0844,0.0027,49152,0.04514775528799697
case_009,3,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,87425,False,34080,79808,26700,0.0844,0.0027,49152,0.07524625881332829
case_009,3,component_wcc,6,wcc_unrestricted_interleave_w2_base_earliest_start,82135,True,34080,79808,32973,0.0135,0.0149,49152,0.07524625881332829
case_009,3,component_wcc,10,wcc_unrestricted_interleave_w2_complement_earliest_start,82126,True,34080,79808,32973,0.0135,0.0147,49152,0.04514775528799697
case_046,2,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,131039,True,52312,4600,0,0.0351,0.5657,5013664,0
case_046,2,staged,2,wcc_start0_simple_a1_per_core_lpt_mv,276455,False,209248,18400,280,0.0655,0.1776,3176288,0
case_046,2,staged,3,wcc_protected_interleave_v2_reencode_control,131039,False,52312,4600,0,0.0351,0.5657,5013664,0
case_046,2,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,93013,True,52312,4600,4170,0.0046,0.433,3721600,0
case_046,2,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,131039,True,52312,4600,0,0.0351,0.5657,5013664,0
case_046,2,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,276455,False,209248,18400,280,0.0655,0.1776,3176288,0
case_046,2,component_wcc,3,wcc_protected_interleave_v2_reencode_control,131039,False,52312,4600,0,0.0351,0.5657,5013664,0
case_046,2,component_wcc,4,wcc_protected_interleave_v2_w2_base_earliest_start,93013,True,52312,4600,4170,0.0046,0.433,3721600,0
case_046,2,component_wcc,10,wcc_protected_interleave_v2_w2_base_earliest_start,77846,True,52312,4600,4260,0.0044,0.3236,2791200,0
case_046,3,staged,1,wcc_start0_simple_a5_per_core_lpt_mv,108388,True,52312,4600,0,0.0424,0.4749,5013664,0.3023482428115016
case_046,3,staged,2,wcc_start0_simple_a1_per_core_lpt_mv,244994,False,209248,18400,280,0.074,0.0719,3176288,0.7530304668077024
case_046,3,staged,3,wcc_protected_interleave_v2_reencode_control,108388,False,52312,4600,0,0.0424,0.4749,5013664,0.3023482428115016
case_046,3,staged,4,wcc_protected_interleave_v2_w2_base_earliest_start,92391,True,52312,4600,4170,0.0047,0.4291,3721600,0.008506135406279888
case_046,3,staged,11,cache_r00_t000_colocate_readers,90550,True,52312,4600,4180,0.0046,0.4176,3651968,0.0150499714153861
case_046,3,component_wcc,1,wcc_start0_simple_a5_per_core_lpt_mv,108388,True,52312,4600,0,0.0424,0.4749,5013664,0.3023482428115016
case_046,3,component_wcc,2,wcc_start0_simple_a1_per_core_lpt_mv,244994,False,209248,18400,280,0.074,0.0719,3176288,0.7530304668077024
case_046,3,component_wcc,3,wcc_protected_interleave_v2_reencode_control,108388,False,52312,4600,0,0.0424,0.4749,5013664,0.3023482428115016
