group,case,problem,staged_makespan,staged_status,staged_logical_calls,staged_new_calls,staged_elapsed_seconds,staged_stop_reason,staged_failed_calls,staged_timeout_calls,staged_generation_errors,routed_makespan,routed_status,routed_logical_calls,routed_new_calls,routed_elapsed_seconds,routed_stop_reason,routed_failed_calls,routed_timeout_calls,routed_generation_errors,trace_routed_makespan,trace_routed_status,trace_routed_logical_calls,trace_routed_new_calls,trace_routed_elapsed_seconds,trace_routed_stop_reason,trace_routed_failed_calls,trace_routed_timeout_calls,trace_routed_generation_errors,route,reason,headroom,probe_name,decision_after_calls
development,case_094,3,21130,success,12,0,0.27053141698706895,call_budget,0,0,0,16819,success,12,0,0.35529995802789927,call_budget,0,0,0,16819,success,12,0,0.27221137494780123,call_budget,0,0,0,component_wcc,remaining_schedule_headroom,0.3288069835111542,,4
development,case_095,2,220188,success,12,0,1.0151045829989016,call_budget,0,0,0,220188,success,12,0,0.6888528330018744,call_budget,0,0,0,220188,success,12,0,1.1851307500619441,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.022358996704703316,wcc_protected_interleave_v2_w4_base_earliest_start,4
development,case_095,3,220314,success,12,0,1.2863116660155356,call_budget,0,0,0,220188,success,12,0,0.8619640420656651,call_budget,0,0,0,220188,success,12,0,1.335869833943434,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.022358996704703316,wcc_protected_interleave_v2_w4_base_earliest_start,4
validation,case_003,2,269541,success,12,0,2.844718209002167,call_budget,0,0,0,269541,success,12,0,2.9838379160501063,call_budget,0,0,0,269541,success,12,0,3.2147067920304835,call_budget,0,0,0,staged,large_component,,,4
validation,case_003,3,253659,success,12,0,4.428313375101425,call_budget,0,0,0,253659,success,12,5,21.884099249960855,call_budget,0,0,0,253659,success,12,8,31.57974283292424,call_budget,0,0,0,staged,large_component,,,4
validation,case_016,2,2243300,success,12,9,29.452663999982178,call_budget,0,0,0,2243300,success,12,0,1.9183674169471487,call_budget,0,0,0,2243300,success,12,0,2.470130999921821,call_budget,0,0,0,staged,large_component,,,1
validation,case_016,3,2241735,success,12,0,2.9230943339644,call_budget,0,0,0,2241735,success,12,0,2.7197395829716697,call_budget,0,0,0,2241735,success,12,9,31.48483829095494,call_budget,0,0,0,staged,large_component,,,1
validation,case_025,2,942350,success,12,4,22.76414345903322,call_budget,0,0,0,942938,success,12,6,25.99717912496999,call_budget,0,0,0,942350,success,12,0,7.716725333011709,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.0010202155390915957,wcc_unrestricted_interleave_w2_complement_earliest_start,4
validation,case_025,3,942350,success,12,1,12.46757733298,call_budget,0,0,0,942938,success,12,5,24.788346374989487,call_budget,0,0,0,942350,success,12,0,6.976046166964807,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.0010202155390915957,wcc_unrestricted_interleave_w2_complement_earliest_start,4
validation,case_035,2,87389,success,12,8,4.321315750014037,call_budget,0,0,0,87389,success,12,0,0.8728706669062376,call_budget,0,0,0,87389,success,12,0,1.1625941669335589,call_budget,0,0,0,staged,large_component,,,4
validation,case_035,3,83046,success,12,0,0.9422415419248864,call_budget,0,0,0,83046,success,12,0,1.2189202919835225,call_budget,0,0,0,83046,success,12,0,0.9054243749706075,call_budget,0,0,0,staged,large_component,,,4
validation,case_074,2,340460,success,12,4,4.046639584004879,call_budget,0,0,0,338235,success,12,6,5.425397874903865,call_budget,0,0,0,333090,success,12,6,5.291688584024087,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.06361980849438997,wcc_protected_interleave_v2_w2_complement_memory_tie,4
validation,case_074,3,337615,success,12,6,4.95161350001581,call_budget,0,0,0,328133,success,12,0,1.7472606250084937,call_budget,0,0,0,326680,success,12,5,3.7256769170053303,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.059306755109929554,wcc_protected_interleave_v2_w2_complement_memory_tie,4
validation,case_075,2,396278,success,12,0,0.9990826670546085,call_budget,0,0,0,396278,success,12,9,13.933536792057566,call_budget,0,0,0,396278,success,12,0,1.0757869590306655,call_budget,0,0,0,staged,large_component,,,1
validation,case_075,3,409283,success,12,9,14.948639667010866,call_budget,0,0,0,409283,success,12,0,1.4116427500266582,call_budget,0,0,0,409283,success,12,0,1.7454150419216603,call_budget,0,0,0,staged,large_component,,,1
validation,case_076,2,1232360,success,12,8,83.94307220797054,call_budget,0,0,0,1231756,success,12,4,48.69392195797991,call_budget,0,0,0,1232360,success,12,1,24.698888333979994,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.01595313057872705,wcc_protected_interleave_v2_w2_complement_memory_tie,4
validation,case_076,3,1226811,success,12,8,86.769891624921,call_budget,0,0,0,1225408,success,12,6,77.90327762498055,call_budget,0,0,0,1226811,success,12,1,23.047951125074178,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.011525545303381013,wcc_protected_interleave_v2_w2_complement_memory_tie,4
validation,case_083,2,298946,success,12,6,5.531843667034991,call_budget,0,0,0,184594,success,12,0,0.916704332921654,call_budget,0,0,0,184594,success,12,6,2.8207527499180287,call_budget,0,0,0,component_wcc,remaining_schedule_headroom,0.4078199642283049,,4
validation,case_083,3,185285,success,12,6,3.824298958061263,call_budget,0,0,0,184594,success,12,0,0.9279153329553083,call_budget,0,0,0,184594,success,12,6,3.734732582932338,call_budget,0,0,0,component_wcc,remaining_schedule_headroom,0.2851152221276463,,4
validation,case_088,2,93536,success,12,0,0.9578563329996541,call_budget,0,0,0,93536,success,12,0,0.7479327919427305,call_budget,0,0,0,93536,success,12,8,4.682145333033986,call_budget,0,0,0,staged,large_component,,,4
validation,case_088,3,94593,success,12,8,5.552902208059095,call_budget,0,0,0,94593,success,12,0,1.0941199579974636,call_budget,0,0,0,94593,success,12,0,0.9520344579359517,call_budget,0,0,0,staged,large_component,,,4
validation,case_090,2,296021,success,12,2,0.8107589579885826,call_budget,0,0,0,260978,success,12,0,0.4163616659352556,call_budget,0,0,0,260978,success,12,4,1.183441499946639,call_budget,0,0,0,component_wcc,remaining_schedule_headroom,0.4681072187564269,,4
validation,case_090,3,278094,success,12,8,2.9811716249678284,call_budget,0,0,0,194679,success,12,6,1.4622920830734074,call_budget,0,0,0,194679,success,12,0,0.32692920800764114,call_budget,0,0,0,component_wcc,remaining_schedule_headroom,0.34858478526618397,,4
validation,case_091,2,1861618,success,12,1,18.049147499958053,call_budget,0,0,0,1860293,success,12,6,62.20442191592883,call_budget,0,0,0,1861618,success,12,6,63.12130229198374,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.0351017233395895,wcc_protected_interleave_v2_w2_complement_memory_tie,4
validation,case_091,3,1818751,success,12,6,85.86828791594598,call_budget,0,0,0,1820358,success,12,1,22.872805499937385,call_budget,0,0,0,1818751,success,12,5,75.30973804101814,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.013231463261622167,wcc_protected_interleave_v2_w2_complement_memory_tie,4
validation,case_096,2,27053,success,12,0,0.3652550410479307,call_budget,0,0,0,27053,success,12,0,0.3400270000565797,call_budget,0,0,0,27053,success,12,0,0.4108918330166489,call_budget,0,0,0,staged,large_component,,,4
validation,case_096,3,24763,success,12,0,0.3640293339267373,call_budget,0,0,0,24763,success,12,0,0.4437569170258939,call_budget,0,0,0,24763,success,12,8,1.7392322500236332,call_budget,0,0,0,staged,large_component,,,4
prior_validation_regression,case_008,2,55981,success,12,0,0.2638256660429761,call_budget,0,0,0,55855,success,12,0,0.18174349993932992,call_budget,0,0,0,55855,success,12,0,0.2751707499846816,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.08983405083867746,wcc_protected_interleave_v2_w4_base_earliest_start,4
prior_validation_regression,case_008,3,55981,success,12,0,0.2698136249091476,call_budget,0,0,0,55855,success,12,0,0.19396045897156,call_budget,0,0,0,55855,success,12,0,0.2878286250634119,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.08983405083867746,wcc_protected_interleave_v2_w4_base_earliest_start,4
prior_validation_regression,case_053,2,461695,success,12,0,2.4189057500334457,call_budget,0,0,0,418489,success,12,0,3.303224958013743,call_budget,0,0,0,418489,success,12,0,3.7335115420864895,call_budget,0,0,0,component_wcc,remaining_schedule_headroom,0.26718335199607457,,4
prior_validation_regression,case_053,3,461695,success,12,0,3.0136735420674086,call_budget,0,0,0,418489,success,12,0,3.516933083999902,call_budget,0,0,0,418489,success,12,0,3.727706042001955,call_budget,0,0,0,component_wcc,remaining_schedule_headroom,0.26718335199607457,,4
prior_validation_regression,case_087,2,801582,success,12,0,7.2682821250054985,call_budget,0,0,0,800842,success,12,0,12.529003000003286,call_budget,0,0,0,797842,success,12,4,29.881857667001896,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.09840789838095165,wcc_protected_interleave_v2_w2_complement_memory_tie,4
prior_validation_regression,case_087,3,794933,success,12,0,7.924241500091739,call_budget,0,0,0,794423,success,12,0,12.464060333091766,call_budget,0,0,0,790623,success,12,5,36.733588207978755,call_budget,0,0,0,staged,little_fixed_assignment_headroom,0.09086677745168459,wcc_protected_interleave_v2_w2_complement_memory_tie,4
