round,case,problem,cores,frozen_before,round_before,after,cumulative_reduction,round_reduction,selected_name,new_calls,failures,selected_plan_sha256,source_summary
2,case_064,3,5,8516,8516,8510,0.0007045561296383784,0.0007045561296383784,trace_bulk_2,8,0,c4448c0f313436e62ee76537a2dda10024dd66e856616d2dbf4c9f97a07cb16b,运行结果/统一V2_冒进第二轮_20260925/slots/case_064/p3_n5/attack/summary.json
2,case_068,1,5,210185,210185,210185,0.0,0.0,incumbent,8,0,1bb1177e81360bd857a609a932fd76da9e841f1c06abad548d41e8e500effbf6,运行结果/统一V2_冒进第二轮_20260925/slots/case_068/p1_n5/attack/summary.json
2,case_068,2,5,134477,134477,133097,0.010261977884694073,0.010261977884694073,trace_bulk_3,6,0,3f8c44ca97280f4ca6bd890c8ac33d3b7f8aa71d3e7f9bb908d03459afbb1f11,运行结果/统一V2_冒进第二轮_20260925/slots/case_068/p2_n5/attack/summary.json
2,case_068,3,5,123937,123937,121619,0.018703050743522964,0.018703050743522964,trace_bulk_3,6,0,0e8993b80f8e2f3297c4fc39d35bfbdfd0b95bcb35210245c642bcba24964367,运行结果/统一V2_冒进第二轮_20260925/slots/case_068/p3_n5/attack/summary.json
2,case_071,1,5,11491,11491,11491,0.0,0.0,incumbent,9,0,82fbc1bba321d6ba3d3a0b5e1ae0de8702afef1ff945a3afc7f76881e3ab1548,运行结果/统一V2_冒进第二轮_20260925/slots/case_071/p1_n5/attack/summary.json
2,case_071,2,5,8852,8852,8708,0.016267510167193855,0.016267510167193855,trace_bulk_1,8,0,11b25800295bc194a61b0f69278f643bfdd8f15e8900438ffff2f9c8e8151b30,运行结果/统一V2_冒进第二轮_20260925/slots/case_071/p2_n5/attack/summary.json
2,case_071,3,5,7494,7494,7473,0.002802241793434801,0.002802241793434801,trace_tensor_cone_1,9,0,97644ccb61745a5ccd2e97936c70ef06329fae17d6c78e47d91a0d21905abddd,运行结果/统一V2_冒进第二轮_20260925/slots/case_071/p3_n5/attack/summary.json
2,case_075,1,5,720755,720755,720755,0.0,0.0,incumbent,6,3,7b70b4cbd92a27ca5e17d6b207ab33a2b20d5775017da5fb3fb646675f478cdf,运行结果/统一V2_冒进第二轮_20260925/slots/case_075/p1_n5/attack/summary.json
2,case_075,2,5,392249,392249,392249,0.0,0.0,incumbent,6,0,d6eb9edd3a82d3ecd7a7ea152ab7d9879d5f9bc3c554ab7af8233faeefba20e2,运行结果/统一V2_冒进第二轮_20260925/slots/case_075/p2_n5/attack/summary.json
2,case_075,3,5,379091,379091,379091,0.0,0.0,incumbent,6,0,d6eb9edd3a82d3ecd7a7ea152ab7d9879d5f9bc3c554ab7af8233faeefba20e2,运行结果/统一V2_冒进第二轮_20260925/slots/case_075/p3_n5/attack/summary.json
2,case_085,1,5,2568855,2568855,2568855,0.0,0.0,incumbent,7,0,99672b1bd76c253cfd86cb88f63d06ea41ace9a4577a0cadc2224db1434736cd,运行结果/统一V2_冒进第二轮_20260925/slots/case_085/p1_n5/attack/summary.json
2,case_085,2,5,869620,869620,869620,0.0,0.0,incumbent,6,0,30df831607b64b3760e4df20189947f7f020c046deea03b71c391f42d6c8d282,运行结果/统一V2_冒进第二轮_20260925/slots/case_085/p2_n5/attack/summary.json
2,case_085,3,5,816858,816858,816858,0.0,0.0,incumbent,6,0,30df831607b64b3760e4df20189947f7f020c046deea03b71c391f42d6c8d282,运行结果/统一V2_冒进第二轮_20260925/slots/case_085/p3_n5/attack/summary.json
