case,problem,cores,makespan,added_copy,original_singlecore,source,plan,speedup,verification,plan_base
case_001,1,1,233110,0,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_001_multicore_res.json,1.0,historical_ledger,repository
case_001,1,2,116868,1152,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_001_multicore_res.json,1.9946435294520313,historical_ledger,repository
case_001,1,3,78545,2304,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_001_multicore_res.json,2.9678528232223567,historical_ledger,repository
case_001,1,4,58984,3456,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_001_multicore_res.json,3.952088702020887,historical_ledger,repository
case_001,1,5,47502,4608,233110,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_001_multicore_res.json,4.9073723211654245,historical_ledger,repository
case_001,2,1,233110,0,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_001_multicore_res.json,1.0,historical_ledger,repository
case_001,2,2,116868,1152,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_001_multicore_res.json,1.9946435294520313,historical_ledger,repository
case_001,2,3,78545,2304,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_001_multicore_res.json,2.9678528232223567,historical_ledger,repository
case_001,2,4,58984,3456,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_001_multicore_res.json,3.952088702020887,historical_ledger,repository
case_001,2,5,47502,4608,233110,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_001_multicore_res.json,4.9073723211654245,historical_ledger,repository
case_001,3,1,233110,0,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_001_multicore_res.json,1.0,historical_ledger,repository
case_001,3,2,116868,1152,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_001_multicore_res.json,1.9946435294520313,historical_ledger,repository
case_001,3,3,78545,2304,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_001_multicore_res.json,2.9678528232223567,historical_ledger,repository
case_001,3,4,58984,3456,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_001_multicore_res.json,3.952088702020887,historical_ledger,repository
case_001,3,5,47502,4608,233110,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_001_multicore_res.json,4.9073723211654245,historical_ledger,repository
case_002,1,1,266518,390144,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_002_multicore_res.json,0.9828416842389632,historical_ledger,repository
case_002,1,2,136619,56832,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_002_multicore_res.json,1.9173394623002658,historical_ledger,repository
case_002,1,3,124560,565248,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_002_multicore_res.json,2.102962427745665,historical_ledger,repository
case_002,1,4,88895,1594368,261945,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_002_multicore_res.json,2.9466786658417234,historical_ledger,repository
case_002,1,5,64296,2165760,261945,my_runs/iterative_holdout_b8_v1/case_002/n5/iterative/summary.json,A题研究/直接迭代/闭环验证_20260925/精选方案/case_002_p1_n5.json,4.074048152295632,historical_ledger,repository
case_002,2,1,261945,0,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_002_multicore_res.json,1.0,historical_ledger,repository
case_002,2,2,125561,3975168,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_002_multicore_res.json,2.086197147203351,historical_ledger,repository
case_002,2,3,82013,632832,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_002_multicore_res.json,3.1939448623998636,historical_ledger,repository
case_002,2,4,63304,595968,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_002_multicore_res.json,4.137890180715279,historical_ledger,repository
case_002,2,5,51207,642048,261945,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_002_multicore_res.json,5.115413908254731,historical_ledger,repository
case_002,3,1,261945,0,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_002_multicore_res.json,1.0,historical_ledger,repository
case_002,3,2,125561,3975168,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_002_multicore_res.json,2.086197147203351,historical_ledger,repository
case_002,3,3,82013,632832,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_002_multicore_res.json,3.1939448623998636,historical_ledger,repository
case_002,3,4,63304,595968,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_002_multicore_res.json,4.137890180715279,historical_ledger,repository
case_002,3,5,51207,642048,261945,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_002_multicore_res.json,5.115413908254731,historical_ledger,repository
case_003,1,1,592320,1314672,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_003_multicore_res.json,1.0167004321988113,historical_ledger,repository
case_003,1,2,538381,98304,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_003_multicore_res.json,1.1185610190552786,historical_ledger,repository
case_003,1,3,538381,98304,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_003_multicore_res.json,1.1185610190552786,historical_ledger,repository
case_003,1,4,538381,98304,602212,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_003_multicore_res.json,1.1185610190552786,historical_ledger,repository
case_003,1,5,347627,9733646,602212,unified_v2_best_known_replayed,新增精选方案/p1/n5/case_003_multicore_res.json,1.7323510544347822,independent_official_replay,delivery
case_003,2,1,602212,0,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_003_multicore_res.json,1.0,historical_ledger,repository
case_003,2,2,321883,6032838,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_003_multicore_res.json,1.8709034027892122,historical_ledger,repository
case_003,2,3,201189,3430748,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_003_multicore_res.json,2.993265039341117,historical_ledger,repository
case_003,2,4,173817,4750638,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n4/case_003_multicore_res.json,3.4646323432115387,historical_ledger,repository
case_003,2,5,157029,5783280,602212,round6,A题研究/直接迭代/第六轮成果/方案/p2/n5/case_003_multicore_res.json,3.8350368403288564,historical_ledger,repository
case_003,3,1,602212,0,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n1/case_003_multicore_res.json,1.0,historical_ledger,repository
case_003,3,2,321549,6032838,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n2/case_003_multicore_res.json,1.8728467511949967,historical_ledger,repository
case_003,3,3,200944,3430748,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n3/case_003_multicore_res.json,2.9969145632614063,historical_ledger,repository
case_003,3,4,168221,4750638,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n4/case_003_multicore_res.json,3.5798859833195618,historical_ledger,repository
case_003,3,5,145137,5783280,602212,round6,A题研究/直接迭代/第六轮成果/方案/p3/n5/case_003_multicore_res.json,4.149265866043807,historical_ledger,repository
case_004,1,1,392357,0,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n1/case_004_multicore_res.json,1.0,historical_ledger,repository
case_004,1,2,199074,110592,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n2/case_004_multicore_res.json,1.9709103147573264,historical_ledger,repository
case_004,1,3,134043,221184,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n3/case_004_multicore_res.json,2.927098020784375,historical_ledger,repository
case_004,1,4,104188,331776,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n4/case_004_multicore_res.json,3.765855952700887,historical_ledger,repository
case_004,1,5,88341,442368,392357,round6,A题研究/直接迭代/第六轮成果/方案/p1/n5/case_004_multicore_res.json,4.441391879195391,historical_ledger,repository
case_004,2,1,392357,0,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n1/case_004_multicore_res.json,1.0,historical_ledger,repository
case_004,2,2,197916,125952,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n2/case_004_multicore_res.json,1.9824420461205765,historical_ledger,repository
case_004,2,3,130725,1474560,392357,round6,A题研究/直接迭代/第六轮成果/方案/p2/n3/case_004_multicore_res.json,3.001392235609103,historical_ledger,repository
