case,problem,cores,before,after,reduction,before_added_copy,after_added_copy,source_summary,plan,plan_sha256,replay_record,replay_reused,cache_byte_hit_rate
case_014,1,4,4514249,4513468,0.00017300773617046072,130589592,101075352,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v2/slots/case_014/p1_n4/v2/summary.json,新增精选方案/p1/n4/case_014_multicore_res.json,10bc7c1d397a0c95be500c249bb6859b5be691ba1cc0acb2449f81951bf6943d,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_014_1_4_10bc7c1d397a0c95/attempts/20260925T225541-ff745e2fc50a4d7e9e21d7262bc33eae/record.json,True,
case_014,2,1,17698626,17662956,0.0020154106878127465,71010720,56372640,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v1/slots/case_014/p2_n1/v2/summary.json,新增精选方案/p2/n1/case_014_multicore_res.json,21edf3881abf25b2946cb188db5049bc39d0249c05adde81227271b2f961dcb1,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_014_2_1_21edf3881abf25b2/attempts/20260925T225952-045b5111814e4bd2bda744dac57a2bde/record.json,True,
case_014,2,5,3703529,3674889,0.007733164773382373,84373512,91061544,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_014/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_014_multicore_res.json,12b57187a24fa2cfa35be1ced605146871675fd50639ff743c74d659c11a01a6,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_014_2_5_12b57187a24fa2cf/attempts/20260925T214948-91fc40a4a4c74657a757223e7d826279/record.json,True,
case_014,3,1,17689602,17589991,0.005631048115158244,71010720,58536768,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v1/slots/case_014/p3_n1/v2/summary.json,新增精选方案/p3/n1/case_014_multicore_res.json,917f0ee5619856e991ca69ecb47f1c4a37641f8288856a47ff49da77fbc97153,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_014_3_1_917f0ee5619856e9/attempts/20260925T225938-ab7fe777b1134a4d850aeadeac116fd7/record.json,True,0.17724724866972985
case_014,3,5,3686924,3646327,0.01101107589958461,84373512,57797928,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v2/slots/case_014/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_014_multicore_res.json,84f0d90940f9b13a0f9f9aeea21292f07a7ba73fb8a8cffe87798eb1af4f8416,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_014_3_5_84f0d90940f9b13a/attempts/20260925T225503-98b942f796c84bd0bd5a7bad917899da/record.json,True,0.31438923395445134
case_019,2,5,17473,16220,0.0717106392720197,801900,379948,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_019/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_019_multicore_res.json,50f36456b6787f96befb5a443ea2388151650d6b7609adf005504514ced32a42,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_019_2_5_50f36456b6787f96/attempts/20260925T225506-435f0be7f8ad4957b112c52efb0e9041/record.json,True,
case_019,3,5,15833,15396,0.027600581064864516,801900,272468,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_019/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_019_multicore_res.json,d07ae9ae54b934692207eadd7e4357fef7a581a92fa71886bc08dcfbbfd86d43,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_019_3_5_d07ae9ae54b93469/attempts/20260925T225505-903cb7d1f93846af97c1c32664a81f02/record.json,True,0.16104219615235724
case_021,2,5,1250168,1244571,0.004476998291429668,11431936,6553600,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_021/p2_n5/v2/summary.json,新增精选方案/p2/n5/case_021_multicore_res.json,f0fd458053ebe09768836545020b838d6e5a5f95a9ca7ba707859444a7031ee0,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_021_2_5_f0fd458053ebe097/attempts/20260925T215013-e6815be15abe40a98386c5ee81e2180d/record.json,True,
case_021,3,5,1249311,1244853,0.003568366883826335,11431936,7360512,/home/konglingrui/.mathmodel/questionA/统一算法迭代/A题研究/直接迭代/运行结果/统一V2_C批_100图宽筛_20260925_v1/slots/case_021/p3_n5/v2/summary.json,新增精选方案/p3/n5/case_021_multicore_res.json,e0bebd4d5a5827b652b570df3f48856c73fb743bacb4cb0e660b4114db65c6d7,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_021_3_5_e0bebd4d5a5827b6/attempts/20260925T215013-d318383894324b759523f8ad4f5cb78d/record.json,True,0.5997048903878583
case_025,1,1,4869182,4863368,0.0011940403952861445,497664,27648,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_C批_最终1500_20260925_v2/slots/case_025/p1_n1/v2/summary.json,新增精选方案/p1/n1/case_025_multicore_res.json,d4020c4f2c59be1af5db570b5c418ea5aebd7d1b64028f2421f29c0ab1f8b654,/home/konglingrui/.mathmodel/questionA/统一V2最终工作区/A题研究/直接迭代/运行结果/统一V2_累计精选_20260925/复评运行/case_025_1_1_d4020c4f2c59be1a/attempts/20260925T225905-d51217d60ac34a418321e18d1e2dfdec/record.json,True,
