panel,problem,method,control,pairs,successful_pairs,method_failures,control_failures,wins,ties,losses,mean_paired_reduction_pct,median_paired_reduction_pct
开发v1,1,integrated,baseline,4,4,0,0,3,0,1,14.816345157924628,10.663923726306813
开发v1,1,integrated,local_legacy,4,4,0,0,3,0,1,16.21492734831305,12.599368570369851
开发v1,1,local_legacy,baseline,4,4,0,0,2,1,1,-1.4138157261429918,0.5329867072895844
开发v1,2,integrated,baseline,4,4,0,0,2,0,2,-18.431311713805766,-9.73357920323767
开发v1,2,integrated,local_legacy,4,4,0,0,2,1,1,-14.044737854760458,0.008090246701958348
开发v1,2,local_legacy,baseline,4,4,0,0,1,1,2,-4.322065485435935,-0.04794305340368732
开发v1,3,integrated,baseline,4,4,0,0,1,1,2,-11.261582606989332,-9.3421627315469
开发v1,3,integrated,local_legacy,4,4,0,0,1,2,1,-6.708208285857785,0.0
开发v1,3,local_legacy,baseline,4,4,0,0,1,1,2,-4.523492100722307,-0.06744531241535956
开发v2,2,integrated,baseline,4,4,0,0,2,1,1,-13.560476988835953,0.008090246701958348
开发v2,2,integrated,local_legacy,4,4,0,0,2,1,1,-14.044737854760458,0.008090246701958348
开发v2,2,local_legacy,baseline,4,4,0,0,1,2,1,0.5487692395338778,0.0
开发v2,3,integrated,baseline,4,4,0,0,1,2,1,-6.5905012412158825,0.0
开发v2,3,integrated,local_legacy,4,4,0,0,1,2,1,-6.708208285857785,0.0
开发v2,3,local_legacy,baseline,4,4,0,0,1,2,1,0.1475892650511429,0.0
开发v3,2,integrated,baseline,4,4,0,0,3,1,0,2.7660287480785724,0.20798840157156273
开发v3,2,integrated,local_legacy,4,4,0,0,3,1,0,2.2422752099883705,0.20798840157156273
开发v3,2,local_legacy,baseline,4,4,0,0,1,3,0,0.5727407662357215,0.0
开发v3,3,integrated,baseline,4,4,0,0,2,2,0,2.6951472630692,0.2185878197557889
开发v3,3,integrated,local_legacy,4,4,0,0,2,2,0,2.5314016219210314,0.2185878197557889
开发v3,3,local_legacy,baseline,4,4,0,0,1,3,0,0.18131192125882267,0.0
验证v3,1,integrated,baseline,4,4,0,0,3,1,0,16.5671309877465,14.435400932989868
验证v3,1,integrated,local_legacy,4,4,0,0,3,1,0,17.646419936755883,12.225388269055953
验证v3,1,local_legacy,baseline,4,4,0,0,1,2,1,-2.937619742816122,0.0
验证v3,2,integrated,baseline,6,6,0,0,4,1,1,0.24993339119368332,0.14139937858138607
验证v3,2,integrated,local_legacy,6,6,0,0,3,3,0,0.061536231200011914,0.002759629105847372
验证v3,2,local_legacy,baseline,6,6,0,0,2,3,1,0.18853985490051386,0.0
验证v3,3,integrated,baseline,6,6,0,0,3,2,1,0.38018212986773064,0.00015305497734763307
验证v3,3,integrated,local_legacy,6,6,0,0,0,6,0,0.0,0.0
验证v3,3,local_legacy,baseline,6,6,0,0,3,2,1,0.38018212986773064,0.00015305497734763307
预算24v3,1,integrated,baseline,1,1,0,0,1,0,0,5.1434609933340365,5.1434609933340365
预算24v3,2,integrated,baseline,1,1,0,0,0,1,0,0.0,0.0
预算24v3,3,integrated,baseline,1,1,0,0,1,0,0,11.255555841019449,11.255555841019449
