problem,cores,cases,before_mean_speedup,after_mean_speedup,mean_paired_time_reduction_pct,strict_time_improved
1,2,100,1.7954762975176894,1.7954762975176894,0.0,0
1,3,100,2.4654248638113017,2.4654248638113017,0.0,0
1,4,100,3.0854932019622985,3.0854932019622985,0.0,0
1,5,100,3.7140380550528125,3.7140380550528125,0.0,0
2,2,100,2.0420107113779897,2.0420107113779897,0.0,0
2,3,100,2.9163900322222465,2.9163900322222465,0.0,0
2,4,100,3.6116032219566105,3.6116032219566105,0.0,0
2,5,100,4.499248995402575,4.505904948994485,0.12814468515936983,4
3,2,100,2.0483501485922906,2.0483501485922906,0.0,0
3,3,100,2.9334950683087406,2.9334950683087406,0.0,0
3,4,100,3.656322758511865,3.656322758511865,0.0,0
3,5,100,4.613657188403289,4.621353380071978,0.14445517408067432,3
