size,elements,mode,repeats,sample,device_envelope_us,host_us,correct
512,1048576,vector_only,16,24,181.72000348567963,257.121,True
512,1048576,serial,16,24,276.16000175476074,348.151,True
512,1048576,parallel,16,24,325.7800042629242,420.662,True
512,1048576,matrix_only,16,25,204.5000046491623,280.891,True
512,1048576,serial,16,25,277.72000432014465,353.291,True
512,1048576,vector_only,16,25,181.04000389575958,252.201,True
512,1048576,parallel,16,25,331.53998851776123,431.282,True
512,1048576,vector_only,16,26,176.69999599456787,250.621,True
512,1048576,matrix_only,16,26,198.5200047492981,276.841,True
512,1048576,serial,16,26,279.8599898815155,355.152,True
512,1048576,parallel,16,26,326.00000500679016,422.162,True
512,1048576,serial,16,27,275.2799987792969,352.592,True
512,1048576,matrix_only,16,27,203.58000695705414,282.361,True
512,1048576,parallel,16,27,327.3400068283081,433.082,True
512,1048576,vector_only,16,27,182.30000138282776,256.261,True
512,1048576,serial,16,28,272.7400064468384,346.791,True
512,1048576,vector_only,16,28,214.5799994468689,302.491,True
512,1048576,matrix_only,16,28,202.58000493049622,277.682,True
512,1048576,parallel,16,28,331.279993057251,424.252,True
512,1048576,serial,16,29,275.9999930858612,348.661,True
512,1048576,vector_only,16,29,183.42000246047974,259.342,True
512,1048576,parallel,16,29,343.6799943447113,426.002,True
512,1048576,matrix_only,16,29,199.61999356746674,273.652,True
512,16777216,vector_only,16,0,879.4999718666077,981.154,True
512,16777216,parallel,16,0,1031.8599939346313,1147.685,True
512,16777216,serial,16,0,978.4600138664246,1081.095,True
512,16777216,matrix_only,16,0,181.87999725341797,290.252,True
512,16777216,serial,16,1,967.6200151443481,1064.265,True
512,16777216,parallel,16,1,1036.579966545105,1144.685,True
512,16777216,vector_only,16,1,875.3399848937988,974.235,True
512,16777216,matrix_only,16,1,196.14000618457794,286.172,True
512,16777216,serial,16,2,974.839985370636,1075.035,True
512,16777216,matrix_only,16,2,192.9199993610382,282.272,True
512,16777216,vector_only,16,2,876.9800066947937,975.325,True
512,16777216,parallel,16,2,1030.7799577713013,1140.576,True
512,16777216,matrix_only,16,3,194.26000118255615,285.751,True
512,16777216,parallel,16,3,1029.3400287628174,1139.865,True
512,16777216,vector_only,16,3,871.0799813270569,968.055,True
512,16777216,serial,16,3,979.4800281524658,1073.004,True
512,16777216,matrix_only,16,4,194.58000361919403,276.591,True
512,16777216,vector_only,16,4,894.6400284767151,967.444,True
512,16777216,serial,16,4,982.1799993515015,1074.565,True
512,16777216,parallel,16,4,1022.3400592803955,1128.705,True
512,16777216,serial,16,5,977.5800108909607,1071.455,True
512,16777216,matrix_only,16,5,192.35999882221222,285.311,True
512,16777216,parallel,16,5,1019.0800428390503,1163.685,True
512,16777216,vector_only,16,5,882.0000290870667,973.605,True
512,16777216,matrix_only,16,6,193.17999482154846,279.942,True
512,16777216,serial,16,6,971.9799757003784,1076.925,True
512,16777216,parallel,16,6,1029.6599864959717,1145.315,True
512,16777216,vector_only,16,6,886.2400054931641,978.865,True
512,16777216,vector_only,16,7,879.3399930000305,976.015,True
512,16777216,matrix_only,16,7,194.02000308036804,281.171,True
512,16777216,serial,16,7,970.0800180435181,1061.705,True
512,16777216,parallel,16,7,1038.699984550476,1152.936,True
512,16777216,vector_only,16,8,873.6799955368042,972.065,True
512,16777216,parallel,16,8,1041.21994972229,1144.395,True
512,16777216,serial,16,8,981.1599850654602,1075.905,True
512,16777216,matrix_only,16,8,195.16000151634216,294.651,True
512,16777216,matrix_only,16,9,187.94000148773193,272.971,True
512,16777216,serial,16,9,989.0599846839905,1081.905,True
512,16777216,parallel,16,9,1087.280035018921,1186.185,True
512,16777216,vector_only,16,9,876.9400119781494,975.944,True
512,16777216,matrix_only,16,10,197.54000008106232,302.411,True
512,16777216,vector_only,16,10,881.4399838447571,981.234,True
512,16777216,parallel,16,10,1024.1400003433228,1146.265,True
512,16777216,serial,16,10,986.8999719619751,1086.495,True
512,16777216,serial,16,11,987.820029258728,1078.425,True
512,16777216,matrix_only,16,11,176.71999335289001,283.202,True
512,16777216,parallel,16,11,1038.6600494384766,1142.915,True
512,16777216,vector_only,16,11,864.9399876594543,976.344,True
512,16777216,parallel,16,12,1040.2400493621826,1147.975,True
512,16777216,serial,16,12,976.7000079154968,1074.545,True
512,16777216,matrix_only,16,12,206.27999305725098,301.151,True
512,16777216,vector_only,16,12,873.9799857139587,965.314,True
512,16777216,serial,16,13,971.3199734687805,1071.315,True
512,16777216,vector_only,16,13,869.379997253418,970.114,True
512,16777216,parallel,16,13,1035.1799726486206,1142.785,True
512,16777216,matrix_only,16,13,182.82000720500946,271.431,True
512,16777216,serial,16,14,990.0599718093872,1077.535,True
512,16777216,parallel,16,14,1040.0999784469604,1143.075,True
512,16777216,vector_only,16,14,882.2399973869324,982.325,True
512,16777216,matrix_only,16,14,181.7999929189682,277.891,True
512,16777216,vector_only,16,15,876.3399720191956,968.664,True
512,16777216,matrix_only,16,15,190.0400072336197,276.961,True
512,16777216,serial,16,15,955.1399946212769,1068.465,True
512,16777216,parallel,16,15,1014.1400098800659,1123.165,True
512,16777216,matrix_only,16,16,180.38000166416168,272.321,True
512,16777216,vector_only,16,16,876.7399787902832,969.995,True
512,16777216,parallel,16,16,1029.1800498962402,1132.376,True
512,16777216,serial,16,16,972.4599719047546,1067.235,True
512,16777216,serial,16,17,970.5600142478943,1068.395,True
512,16777216,parallel,16,17,1038.3800268173218,1142.355,True
512,16777216,vector_only,16,17,857.9999804496765,984.325,True
512,16777216,matrix_only,16,17,186.49999797344208,278.602,True
512,16777216,vector_only,16,18,877.7599930763245,971.015,True
512,16777216,matrix_only,16,18,184.4400018453598,279.311,True
512,16777216,serial,16,18,973.5999703407288,1065.925,True
512,16777216,parallel,16,18,1021.1600065231323,1124.825,True
512,16777216,parallel,16,19,1020.5399990081787,1134.665,True
512,16777216,serial,16,19,972.4599719047546,1076.535,True
512,16777216,matrix_only,16,19,187.04000115394592,274.711,True
512,16777216,vector_only,16,19,881.3999891281128,985.624,True
512,16777216,matrix_only,16,20,186.58000230789185,278.511,True
512,16777216,parallel,16,20,1044.6200370788574,1150.246,True
512,16777216,vector_only,16,20,881.7999958992004,977.104,True
512,16777216,serial,16,20,976.4800071716309,1089.545,True
512,16777216,matrix_only,16,21,190.33999741077423,280.812,True
512,16777216,parallel,16,21,1013.5600566864014,1115.405,True
512,16777216,vector_only,16,21,880.4000020027161,971.064,True
512,16777216,serial,16,21,978.16002368927,1065.824,True
512,16777216,vector_only,16,22,877.7199983596802,972.744,True
512,16777216,parallel,16,22,1041.540026664734,1140.885,True
512,16777216,matrix_only,16,22,182.0800006389618,275.601,True
512,16777216,serial,16,22,975.1200079917908,1074.695,True
512,16777216,vector_only,16,23,858.0999970436096,989.714,True
512,16777216,matrix_only,16,23,184.7199946641922,274.121,True
512,16777216,serial,16,23,977.3799777030945,1067.295,True
512,16777216,parallel,16,23,1043.280005455017,1146.865,True
512,16777216,parallel,16,24,1025.7799625396729,1125.925,True
512,16777216,vector_only,16,24,875.6200075149536,967.194,True
512,16777216,matrix_only,16,24,159.0999960899353,276.621,True
512,16777216,serial,16,24,979.9799919128418,1086.614,True
512,16777216,matrix_only,16,25,190.35999476909637,280.171,True
512,16777216,vector_only,16,25,884.4599723815918,979.184,True
512,16777216,parallel,16,25,1053.820013999939,1159.185,True
512,16777216,serial,16,25,982.6200008392334,1065.445,True
512,16777216,matrix_only,16,26,186.88000738620758,273.921,True
512,16777216,parallel,16,26,1017.2799825668335,2197.3,True
512,16777216,serial,16,26,1002.7199983596802,1111.895,True
512,16777216,vector_only,16,26,886.139988899231,988.035,True
512,16777216,serial,16,27,981.1400175094604,1080.514,True
512,16777216,vector_only,16,27,886.1600160598755,985.364,True
512,16777216,matrix_only,16,27,175.13999342918396,305.591,True
512,16777216,parallel,16,27,1031.2999486923218,1135.055,True
512,16777216,serial,16,28,980.8200001716614,1073.085,True
512,16777216,parallel,16,28,1062.7199411392212,1152.925,True
512,16777216,vector_only,16,28,881.7200064659119,983.084,True
512,16777216,matrix_only,16,28,182.96000361442566,293.801,True
512,16777216,vector_only,16,29,877.2199749946594,973.034,True
512,16777216,parallel,16,29,1034.4799757003784,1139.705,True
512,16777216,matrix_only,16,29,193.36000084877014,287.602,True
512,16777216,serial,16,29,969.9400067329407,1063.105,True
