problem,baseline,group,count,old_mean_speedup,new_mean_speedup,geomean_speed_gain,wins,ties,losses,old_median_seconds,new_median_seconds
1,legacy,five_core_all,13,3.1894783029768727,2.9854702167720357,-0.10191515169080467,4,3,6,240.01415262802038,240.0323591020133
1,legacy,five_core_matched_initialization,11,3.133949448857335,2.956906027579428,-0.09201638016879232,4,2,5,232.0501973089995,240.03449868399184
1,legacy,frozen_regression,4,4.017903900086347,3.784077352627732,-0.15385018336647283,1,1,2,110.7485934960132,174.22808650549268
1,legacy,low_core_2_4,6,2.3125118793357755,2.009495162492943,-0.19975047364825071,0,0,6,147.94214535150968,190.038062186999
1,mature,five_core_all,12,3.27123551270829,2.8379369567697847,-0.15588690793951587,3,0,9,240.0954656755057,240.03128812300565
1,mature,frozen_regression,4,4.089947142432038,3.784077352627732,-0.15647960938969174,1,0,3,85.9171796534938,174.22808650549268
1,mature,low_core_2_4,6,2.3509384540141154,2.009495162492943,-0.2206547275057682,1,0,5,148.80312172749836,190.038062186999
2,legacy,five_core_all,19,4.654339451546919,4.671480896932789,0.0022071196416058037,7,4,8,47.36731279399828,37.77988276700489
2,legacy,five_core_matched_initialization,19,4.654339451546919,4.671480896932789,0.0022071196416058037,7,4,8,47.36731279399828,37.77988276700489
2,legacy,frozen_regression,4,4.641659042656103,4.647415241702282,0.0018164509718952004,2,1,1,87.33904839900788,62.75945710550877
2,legacy,low_core_2_4,6,3.0881202686018656,3.102466273131975,0.004817204388610108,1,1,4,142.94200120049936,114.37989961900166
2,mature,five_core_all,19,4.234685274059745,4.671480896932789,0.16298579651360767,10,6,3,25.697275188023923,37.77988276700489
2,mature,frozen_regression,4,4.708035452736022,4.647415241702282,-0.012547312852635106,2,0,2,37.016897519511986,62.75945710550877
2,mature,low_core_2_4,6,3.22930240460702,3.102466273131975,-0.03729306662942655,2,1,3,61.499503529499634,114.37989961900166
3,legacy,five_core_all,19,4.85072582049109,4.923855062403507,0.020167074019755482,4,3,12,49.645837569987634,39.36613695000415
3,legacy,five_core_matched_initialization,18,4.833514444494897,4.910885200878067,0.02133471023323774,4,3,11,49.541962705989135,39.22099065899965
3,legacy,frozen_regression,4,4.840712937759233,4.747492110123389,-0.0188906088201366,0,0,4,80.84403631050372,57.77139258799434
3,legacy,low_core_2_4,6,3.1322174927613693,3.134413925846558,0.002154401823611485,1,1,4,143.32924339450256,119.35475635049806
3,mature,five_core_all,19,4.455947365891052,4.923855062403507,0.1550977536824545,10,5,4,25.83696523902472,39.36613695000415
3,mature,frozen_regression,4,4.790638495013535,4.747492110123389,-0.008952741143744336,2,0,2,26.570535367005505,57.77139258799434
3,mature,low_core_2_4,6,3.2325018783434687,3.134413925846558,-0.028225809445886596,3,1,2,67.67278456549684,119.35475635049806
