case,problem,cores,calls,repeated_paid_parent_observations,seconds,failures,fallback_count
case_001,2,5,4,0,0.2743469149863813,0,0
case_001,3,5,3,0,0.2196534609538503,0,0
case_003,1,5,6,0,39.285655949031934,0,0
case_009,2,5,8,0,10.599913968035253,0,0
case_009,3,5,9,0,12.28705440898193,0,0
case_012,1,5,9,0,2.3711430480179843,0,0
case_012,2,5,9,0,1.4192859590111766,0,0
case_012,3,5,8,0,1.318084323022049,0,0
case_016,1,5,7,0,49.71414330098196,1,1
case_019,2,5,7,0,0.5645071260223631,0,0
case_019,3,5,10,0,0.7474019580404274,0,0
case_023,2,5,7,0,1.2321164210443385,0,0
case_023,3,5,7,0,1.5482266990002245,0,0
case_025,2,5,6,0,57.50925340197864,2,0
case_025,3,5,7,0,65.36014607505058,3,0
case_028,2,5,7,0,66.86271005694289,3,0
case_028,3,5,7,0,74.42894295998849,5,0
case_035,2,5,9,0,8.053159383009188,0,0
case_035,3,5,9,0,8.218065145920264,0,0
case_037,2,5,7,0,0.9826230879407376,0,0
case_037,3,5,8,0,1.378074832027778,0,0
case_042,1,5,10,0,30.70291437197011,0,0
case_042,2,5,7,0,10.433373505016789,0,0
case_042,3,5,6,0,10.187033574009547,0,0
case_043,1,5,10,0,30.565038667002227,0,0
case_046,2,5,6,0,0.8148846410040278,0,0
case_046,3,5,7,0,0.905637157993624,0,0
case_047,1,1,9,0,23.744832766009495,0,0
case_047,1,2,7,0,25.670826181973098,0,0
case_047,1,3,7,0,24.246202300011646,0,0
case_047,1,4,7,0,24.09745119998115,0,0
case_047,1,5,9,0,39.64265311099007,0,0
case_047,2,1,4,0,16.486122022994095,0,0
case_047,2,2,10,0,54.158086819021264,0,0
case_047,2,3,8,0,40.93537183487206,0,0
case_047,2,4,8,0,48.791727612988325,0,0
case_047,2,5,8,0,47.72180618302082,0,0
case_047,3,1,4,0,17.830818247020943,0,0
case_047,3,2,9,0,48.5951002050424,0,0
case_047,3,3,11,0,64.49589549505617,0,0
case_047,3,4,8,0,42.09767178600305,0,0
case_047,3,5,8,0,43.12419515501824,0,0
case_049,2,5,8,0,8.87093031796394,0,0
case_049,3,5,9,0,10.057239588990342,0,0
case_050,2,5,8,0,8.817556209047325,0,0
case_050,3,5,9,0,9.842368122015614,0,0
case_053,2,5,8,0,37.024642474978464,0,0
case_053,3,5,9,0,44.73142070995527,0,0
case_054,1,5,6,0,44.805890463030664,1,1
case_058,1,5,3,0,17.65563318200293,0,0
case_060,1,1,9,0,15.789665285963565,0,0
case_060,1,2,10,0,34.583247498987475,0,0
case_060,1,3,10,0,34.54026329299086,0,0
case_060,1,4,10,0,37.842551302019274,0,0
case_060,1,5,10,0,38.86293089299579,0,0
case_060,2,1,3,0,4.25906892598141,0,0
case_060,2,2,7,0,18.36516971301171,0,0
case_060,2,3,7,0,16.004522909031948,0,0
case_060,2,4,7,0,15.959671888966113,0,0
case_060,2,5,8,0,18.45505079202121,0,0
case_060,3,1,7,0,10.35572640702594,0,0
case_060,3,2,8,0,18.210311643022578,0,0
case_060,3,3,7,0,18.270838727941737,0,0
case_060,3,4,8,0,18.40815075696446,0,0
case_060,3,5,7,0,14.36377859901404,0,0
case_062,1,5,3,0,30.599823274998926,3,3
case_066,2,5,8,0,12.505453189980472,0,0
case_066,3,5,8,0,13.185068828955991,0,0
case_071,2,5,9,0,0.7296890419966076,0,0
case_071,3,5,7,0,0.621321317012189,0,0
case_075,1,5,11,0,70.25582218496129,0,0
case_085,1,5,5,0,45.00592084499658,2,2
case_087,1,5,3,0,33.642142757977126,1,1
case_095,2,5,6,0,10.845018327992875,0,0
case_095,3,5,7,0,13.513262719061458,0,0
