case,problem,cores,call,name,action,success,local_time_improved,global_accepted,global_time_improved,moved_ops,cross_old_task_blocks,partition_changed,parent_time,candidate_time,copy_delta
case_060,2,3,17,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,32,,,631758,626248,-118796
case_060,2,3,18,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,18,,,395634,382797,8196
case_060,2,3,23,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,20,,,631758,628597,-24576
case_060,2,3,24,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,2,,,395634,382695,-8196
case_060,2,4,10,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,40,,,194770,194897,10240
case_060,2,4,11,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,1,,,352348,352348,-12
case_060,2,4,12,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,2,,,438636,433737,-32772
case_060,2,4,13,persistent_p23_r1_1_related_chain_move,related_chain_move,True,False,False,False,1,,,358761,359541,16384
case_060,2,4,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,18,,,560034,557046,-40960
case_060,2,4,16,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,4,,,366909,355298,-16384
case_060,2,4,17,persistent_p23_r0_2_related_chain_exchange,related_chain_exchange,True,True,False,False,48,,,352348,352288,-8208
case_060,2,4,21,persistent_p23_r0_2_related_chain_exchange,related_chain_exchange,True,True,False,False,3,,,560034,558701,-32768
case_060,2,4,22,persistent_p23_r0_2_related_chain_exchange,related_chain_exchange,True,True,False,False,16,,,366909,354168,-57364
case_060,2,4,23,persistent_p23_r0_3_related_chain_move,related_chain_move,True,True,False,False,32,,,352348,351240,32756
case_060,2,4,24,persistent_p23_r2_1_related_chain_move,related_chain_move,True,False,False,False,1,,,433737,434540,0
case_060,2,5,10,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,48,,,164455,166443,68608
case_060,2,5,11,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,7,,,326268,327033,-49160
case_060,2,5,12,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,3,,,512276,511639,-40968
case_060,2,5,13,persistent_p23_r1_1_related_chain_move,related_chain_move,True,False,False,False,2,,,345624,347041,-49152
case_060,2,5,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,1,,,516194,516019,-8192
case_060,2,5,17,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,1,,,555925,554101,-32768
case_060,2,5,18,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,1,,,371717,344072,-16384
case_060,2,5,19,persistent_p23_r0_2_related_chain_move,related_chain_move,True,True,False,False,1,,,516194,516019,-8192
case_060,2,5,22,persistent_p23_r2_1_related_chain_move,related_chain_move,True,True,False,False,1,,,515774,515576,-8192
case_060,2,5,23,persistent_p23_r0_2_related_chain_exchange,related_chain_exchange,True,True,False,False,17,,,555925,553269,-90124
case_060,2,5,24,persistent_p23_r0_2_related_chain_exchange,related_chain_exchange,True,True,False,False,8,,,371717,343494,-65552
case_060,3,2,10,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,40,,,364556,366755,2048
case_060,3,2,11,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,19,,,525225,526711,-81928
case_060,3,2,12,persistent_p23_r1_1_related_chain_move,related_chain_move,True,True,False,False,2,,,505250,505015,-8196
case_060,3,2,13,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,32,,,461706,459630,98340
case_060,3,2,14,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,17,,,753778,752727,-149768
case_060,3,2,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,2,,,547972,540314,0
case_060,3,2,20,persistent_p23_r0_2_first_reader_and_late_consumer,first_reader_and_late_consumer,True,False,False,False,0,,,753778,755511,-24576
case_060,3,2,21,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,True,False,False,0,,,547972,539345,0
case_060,3,2,22,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,72,,,364504,371952,157700
case_060,3,2,24,persistent_p23_r2_1_related_chain_move,related_chain_move,True,False,False,False,22,,,505015,507036,-44036
case_060,3,3,10,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,True,True,32,,,317446,316734,-70640
case_060,3,3,11,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,19,,,476062,476488,-32790
case_060,3,3,12,persistent_p23_r1_1_related_chain_move,related_chain_move,True,False,False,False,3,,,382333,383155,-4096
case_060,3,3,13,persistent_p23_r0_2_first_reader_and_late_consumer,first_reader_and_late_consumer,True,False,False,False,0,,,317446,317875,-46080
case_060,3,3,14,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,13,,,614962,611536,-61452
case_060,3,3,15,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,True,False,False,18,,,391491,378692,24572
case_060,3,3,17,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,31,,,390077,390725,-45056
case_060,3,3,19,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,3,,,469290,469516,-8196
case_060,3,4,10,persistent_p23_r0_1_related_chain_exchange,related_chain_exchange,True,False,False,False,48,,,191705,196522,-2002
case_060,3,4,11,persistent_p23_r0_1_related_chain_move,related_chain_move,True,False,False,False,1,,,330867,331082,-12
case_060,3,4,12,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,True,False,False,2,,,424769,420064,-8196
case_060,3,4,13,persistent_p23_r1_1_related_chain_exchange,related_chain_exchange,True,False,False,False,38,,,337044,337447,-49152
case_060,3,4,15,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,18,,,544796,540020,-40960
case_060,3,4,16,persistent_p23_r0_1_related_chain_move,related_chain_move,True,True,False,False,1,,,349199,338730,-16384
case_060,3,4,20,persistent_p23_r1_1_related_chain_move,related_chain_move,True,False,False,False,1,,,330287,330878,-12
case_060,3,4,21,persistent_p23_r0_2_first_reader_and_late_consumer,first_reader_and_late_consumer,True,True,False,False,0,,,544796,543121,0
case_060,3,4,22,persistent_p23_r0_2_first_reader_and_independent_follower_work,first_reader_and_independent_follower_work,True,True,False,False,0,,,349199,338843,0
