case,problem,cores,mode,makespan,added_copy,byte_hit_rate,time_ratio,copy_saved_vs_fastest,plan,plan_sha256
case_049,2,5,min_copy_within_1pct_time,102732,5301640,,1.0,0,p2/case_049/min_copy_within_1pct_time.json,5d99ada9b6080d8cb46d6176146cb6fb77a7d8c61e1d4de9353a093b98dcea17
case_049,2,5,min_copy_within_3pct_time,102732,5301640,,1.0,0,p2/case_049/min_copy_within_3pct_time.json,5d99ada9b6080d8cb46d6176146cb6fb77a7d8c61e1d4de9353a093b98dcea17
case_049,2,5,time_first,102732,5301640,,1.0,0,p2/case_049/time_first.json,5d99ada9b6080d8cb46d6176146cb6fb77a7d8c61e1d4de9353a093b98dcea17
case_050,2,5,min_copy_within_1pct_time,96590,13824,,1.0,0,p2/case_050/min_copy_within_1pct_time.json,63f4d5ddc46694ecdf9d6988ade95dfbccee5a3d1d4a795475d8ca7c8662f7e0
case_050,2,5,min_copy_within_3pct_time,96590,13824,,1.0,0,p2/case_050/min_copy_within_3pct_time.json,63f4d5ddc46694ecdf9d6988ade95dfbccee5a3d1d4a795475d8ca7c8662f7e0
case_050,2,5,time_first,96590,13824,,1.0,0,p2/case_050/time_first.json,63f4d5ddc46694ecdf9d6988ade95dfbccee5a3d1d4a795475d8ca7c8662f7e0
case_051,2,5,min_copy_within_1pct_time,180878,230808,,1.0,0,p2/case_051/min_copy_within_1pct_time.json,6426425352b6b939b824c40b65bc71e0d8f2ccf39632e9a093e068b2f2cbd38e
case_051,2,5,min_copy_within_3pct_time,183148,230804,,1.0125498955096806,4,p2/case_051/min_copy_within_3pct_time.json,5b4d4b71e19d68ba826d61b74dcc47bdd31a8336e9bd0ea4ec821f61fd464e59
case_051,2,5,time_first,180878,230808,,1.0,0,p2/case_051/time_first.json,6426425352b6b939b824c40b65bc71e0d8f2ccf39632e9a093e068b2f2cbd38e
case_052,2,5,min_copy_within_1pct_time,33407,328704,,1.0,0,p2/case_052/min_copy_within_1pct_time.json,39db1943f515170d19d7c20608cf3e7d9d37a05279dc4573c17413ce1eed33bf
case_052,2,5,min_copy_within_3pct_time,33407,328704,,1.0,0,p2/case_052/min_copy_within_3pct_time.json,39db1943f515170d19d7c20608cf3e7d9d37a05279dc4573c17413ce1eed33bf
case_052,2,5,time_first,33407,328704,,1.0,0,p2/case_052/time_first.json,39db1943f515170d19d7c20608cf3e7d9d37a05279dc4573c17413ce1eed33bf
case_053,2,5,min_copy_within_1pct_time,374457,3247692,,1.0,0,p2/case_053/min_copy_within_1pct_time.json,f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805
case_053,2,5,min_copy_within_3pct_time,374457,3247692,,1.0,0,p2/case_053/min_copy_within_3pct_time.json,f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805
case_053,2,5,time_first,374457,3247692,,1.0,0,p2/case_053/time_first.json,f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805
case_054,2,5,min_copy_within_1pct_time,318908,15559744,,1.0,0,p2/case_054/min_copy_within_1pct_time.json,7033665e195ae92f072ecc54e165ec55da02e13ca309156d0206eb8e208d1dfc
case_054,2,5,min_copy_within_3pct_time,318908,15559744,,1.0,0,p2/case_054/min_copy_within_3pct_time.json,7033665e195ae92f072ecc54e165ec55da02e13ca309156d0206eb8e208d1dfc
case_054,2,5,time_first,318908,15559744,,1.0,0,p2/case_054/time_first.json,7033665e195ae92f072ecc54e165ec55da02e13ca309156d0206eb8e208d1dfc
case_055,2,5,min_copy_within_1pct_time,19824,198656,,1.0,0,p2/case_055/min_copy_within_1pct_time.json,39e1a006bcd6a3403c57a5ca54ded2acb550104405a550e4f0d2ff92f9ba4324
case_055,2,5,min_copy_within_3pct_time,19824,198656,,1.0,0,p2/case_055/min_copy_within_3pct_time.json,39e1a006bcd6a3403c57a5ca54ded2acb550104405a550e4f0d2ff92f9ba4324
case_055,2,5,time_first,19824,198656,,1.0,0,p2/case_055/time_first.json,39e1a006bcd6a3403c57a5ca54ded2acb550104405a550e4f0d2ff92f9ba4324
case_056,2,5,min_copy_within_1pct_time,131597,6688132,,1.0,0,p2/case_056/min_copy_within_1pct_time.json,6096401fc06c117ab1afc5391a7179e64a309aa3ce4d13b5ce139433797861fd
case_056,2,5,min_copy_within_3pct_time,131597,6688132,,1.0,0,p2/case_056/min_copy_within_3pct_time.json,6096401fc06c117ab1afc5391a7179e64a309aa3ce4d13b5ce139433797861fd
case_056,2,5,time_first,131597,6688132,,1.0,0,p2/case_056/time_first.json,6096401fc06c117ab1afc5391a7179e64a309aa3ce4d13b5ce139433797861fd
case_057,2,5,min_copy_within_1pct_time,14372,27936,,1.0,0,p2/case_057/min_copy_within_1pct_time.json,afc33452dd684bae402e33d66febb09a42f32b94990844b7a9c60be945049a1a
case_057,2,5,min_copy_within_3pct_time,14372,27936,,1.0,0,p2/case_057/min_copy_within_3pct_time.json,afc33452dd684bae402e33d66febb09a42f32b94990844b7a9c60be945049a1a
case_057,2,5,time_first,14372,27936,,1.0,0,p2/case_057/time_first.json,afc33452dd684bae402e33d66febb09a42f32b94990844b7a9c60be945049a1a
case_058,2,5,min_copy_within_1pct_time,920697,34725888,,1.0089830136986302,802816,p2/case_058/min_copy_within_1pct_time.json,33b326f31fb18dc4a125b5f2bd550276e79d32ff50ab4c40ee5fba7f312fe106
case_058,2,5,min_copy_within_3pct_time,933280,34562048,,1.022772602739726,966656,p2/case_058/min_copy_within_3pct_time.json,a1c3fbb7cc7b6397115e848a785f6b0460a87948229ef637f82b62bb144e3314
case_058,2,5,time_first,912500,35528704,,1.0,0,p2/case_058/time_first.json,02609869003f37d62581ef4f97591bd6a1e12e5f02c484630cff8931a2a4168e
case_059,2,5,min_copy_within_1pct_time,150736,1757184,,1.0,0,p2/case_059/min_copy_within_1pct_time.json,a2210f8cade4cd42c3282ca8aea6c0080fae556095d1dc2451c00987c5390ead
case_059,2,5,min_copy_within_3pct_time,150736,1757184,,1.0,0,p2/case_059/min_copy_within_3pct_time.json,a2210f8cade4cd42c3282ca8aea6c0080fae556095d1dc2451c00987c5390ead
case_059,2,5,time_first,150736,1757184,,1.0,0,p2/case_059/time_first.json,a2210f8cade4cd42c3282ca8aea6c0080fae556095d1dc2451c00987c5390ead
case_060,2,5,min_copy_within_1pct_time,164455,3644800,,1.0071407137039237,95232,p2/case_060/min_copy_within_1pct_time.json,c94610c6820f26b2b2dd11bc0d73edc1e5d8ceadc706087c198802b84200aece
case_060,2,5,min_copy_within_3pct_time,165264,3588480,,1.0120951196957542,151552,p2/case_060/min_copy_within_3pct_time.json,76f298c5aa192d3974f66f85f95a096dc32ee6f1fd2959ad52f4b36a7c755262
case_060,2,5,time_first,163289,3740032,,1.0,0,p2/case_060/time_first.json,79276bc069933aecd9feb1e3d223f5d8e3bdea621b99ec064eb4654bd68b0cf5
case_061,2,5,min_copy_within_1pct_time,21711,83712,,1.0,0,p2/case_061/min_copy_within_1pct_time.json,e2c2aec889dd9ff4031d048d1d53536923cdffa5c268b3a2431df1cb3b9765ac
case_061,2,5,min_copy_within_3pct_time,21711,83712,,1.0,0,p2/case_061/min_copy_within_3pct_time.json,e2c2aec889dd9ff4031d048d1d53536923cdffa5c268b3a2431df1cb3b9765ac
case_061,2,5,time_first,21711,83712,,1.0,0,p2/case_061/time_first.json,e2c2aec889dd9ff4031d048d1d53536923cdffa5c268b3a2431df1cb3b9765ac
case_062,2,5,min_copy_within_1pct_time,691832,9781248,,1.0001532398666524,3072,p2/case_062/min_copy_within_1pct_time.json,f6cc8b49d5617fca4f9bffd53d7236c5a229192eaef1a53de8452acca941a926
case_062,2,5,min_copy_within_3pct_time,691832,9781248,,1.0001532398666524,3072,p2/case_062/min_copy_within_3pct_time.json,f6cc8b49d5617fca4f9bffd53d7236c5a229192eaef1a53de8452acca941a926
case_062,2,5,time_first,691726,9784320,,1.0,0,p2/case_062/time_first.json,1b34c0aed6572c5c287e9f88aa31702dcba689744123172c21543db081398c29
case_063,2,5,min_copy_within_1pct_time,208430,3350016,,1.0,0,p2/case_063/min_copy_within_1pct_time.json,22d020873595325ed6dd46d6a7448c81eb4620957100073786169fc4d7a90967
case_063,2,5,min_copy_within_3pct_time,208430,3350016,,1.0,0,p2/case_063/min_copy_within_3pct_time.json,22d020873595325ed6dd46d6a7448c81eb4620957100073786169fc4d7a90967
case_063,2,5,time_first,208430,3350016,,1.0,0,p2/case_063/time_first.json,22d020873595325ed6dd46d6a7448c81eb4620957100073786169fc4d7a90967
case_064,2,5,min_copy_within_1pct_time,8559,130674,,1.0,0,p2/case_064/min_copy_within_1pct_time.json,79150deb07d9d17f9a7fc316f8ac95f4ac3ff1fdb059f62c55caf491ae4832f5
case_064,2,5,min_copy_within_3pct_time,8559,130674,,1.0,0,p2/case_064/min_copy_within_3pct_time.json,79150deb07d9d17f9a7fc316f8ac95f4ac3ff1fdb059f62c55caf491ae4832f5
case_064,2,5,time_first,8559,130674,,1.0,0,p2/case_064/time_first.json,79150deb07d9d17f9a7fc316f8ac95f4ac3ff1fdb059f62c55caf491ae4832f5
case_065,2,5,min_copy_within_1pct_time,8456,55584,,1.0,0,p2/case_065/min_copy_within_1pct_time.json,eccdadeaca8b9b69a3828cd6f488ecbb509c382ba1c9057677544ea5c5247f67
case_065,2,5,min_copy_within_3pct_time,8456,55584,,1.0,0,p2/case_065/min_copy_within_3pct_time.json,eccdadeaca8b9b69a3828cd6f488ecbb509c382ba1c9057677544ea5c5247f67
case_065,2,5,time_first,8456,55584,,1.0,0,p2/case_065/time_first.json,eccdadeaca8b9b69a3828cd6f488ecbb509c382ba1c9057677544ea5c5247f67
case_066,2,5,min_copy_within_1pct_time,143083,6000546,,1.0,0,p2/case_066/min_copy_within_1pct_time.json,83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc
case_066,2,5,min_copy_within_3pct_time,143083,6000546,,1.0,0,p2/case_066/min_copy_within_3pct_time.json,83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc
case_066,2,5,time_first,143083,6000546,,1.0,0,p2/case_066/time_first.json,83c3bc55b9f5dfab4e0c202480b98971f326edca50c810313ff2494621a04abc
case_067,2,5,min_copy_within_1pct_time,12508969,17327616,,1.0,0,p2/case_067/min_copy_within_1pct_time.json,f4421a283a197303927b4cb774b3b7139f5290994efaa632da66ffd1d5e45797
case_067,2,5,min_copy_within_3pct_time,12508969,17327616,,1.0,0,p2/case_067/min_copy_within_3pct_time.json,f4421a283a197303927b4cb774b3b7139f5290994efaa632da66ffd1d5e45797
case_067,2,5,time_first,12508969,17327616,,1.0,0,p2/case_067/time_first.json,f4421a283a197303927b4cb774b3b7139f5290994efaa632da66ffd1d5e45797
case_068,2,5,min_copy_within_1pct_time,132141,4188824,,1.0,0,p2/case_068/min_copy_within_1pct_time.json,9e43ab6b5ddeecc9d32006e7004bdc6ed86a854ec1a7a701e167cbe0b2c5884e
case_068,2,5,min_copy_within_3pct_time,132141,4188824,,1.0,0,p2/case_068/min_copy_within_3pct_time.json,9e43ab6b5ddeecc9d32006e7004bdc6ed86a854ec1a7a701e167cbe0b2c5884e
case_068,2,5,time_first,132141,4188824,,1.0,0,p2/case_068/time_first.json,9e43ab6b5ddeecc9d32006e7004bdc6ed86a854ec1a7a701e167cbe0b2c5884e
case_069,2,5,min_copy_within_1pct_time,11517,494258,,1.0,0,p2/case_069/min_copy_within_1pct_time.json,1f16e925ee6137aafab622c54081d06496a5cbd868e4bafd49721f096c8c9e4c
case_069,2,5,min_copy_within_3pct_time,11517,494258,,1.0,0,p2/case_069/min_copy_within_3pct_time.json,1f16e925ee6137aafab622c54081d06496a5cbd868e4bafd49721f096c8c9e4c
case_069,2,5,time_first,11517,494258,,1.0,0,p2/case_069/time_first.json,1f16e925ee6137aafab622c54081d06496a5cbd868e4bafd49721f096c8c9e4c
case_070,2,5,min_copy_within_1pct_time,22310,462848,,1.0,0,p2/case_070/min_copy_within_1pct_time.json,94fa50702b6833464dc89d67268e2694a0b0421e4f9fa4bbb19fe441cbef7ec3
case_070,2,5,min_copy_within_3pct_time,22310,462848,,1.0,0,p2/case_070/min_copy_within_3pct_time.json,94fa50702b6833464dc89d67268e2694a0b0421e4f9fa4bbb19fe441cbef7ec3
case_070,2,5,time_first,22310,462848,,1.0,0,p2/case_070/time_first.json,94fa50702b6833464dc89d67268e2694a0b0421e4f9fa4bbb19fe441cbef7ec3
case_071,2,5,min_copy_within_1pct_time,9399,377650,,1.0,0,p2/case_071/min_copy_within_1pct_time.json,2d990d886c16c21f1a4b046c64af4bbd722f560d2b2c02d5c5ea977be922c071
case_071,2,5,min_copy_within_3pct_time,9399,377650,,1.0,0,p2/case_071/min_copy_within_3pct_time.json,2d990d886c16c21f1a4b046c64af4bbd722f560d2b2c02d5c5ea977be922c071
case_071,2,5,time_first,9399,377650,,1.0,0,p2/case_071/time_first.json,2d990d886c16c21f1a4b046c64af4bbd722f560d2b2c02d5c5ea977be922c071
case_072,2,5,min_copy_within_1pct_time,4750689,129737392,,1.0026645904318725,10821632,p2/case_072/min_copy_within_1pct_time.json,5d2c8700d09050e00a6ca4dc87c3cdb518c6e8a6b3ed0112bb1a0afbe7cfd6be
case_072,2,5,min_copy_within_3pct_time,4750689,129737392,,1.0026645904318725,10821632,p2/case_072/min_copy_within_3pct_time.json,5d2c8700d09050e00a6ca4dc87c3cdb518c6e8a6b3ed0112bb1a0afbe7cfd6be
case_072,2,5,time_first,4738064,140559024,,1.0,0,p2/case_072/time_first.json,b5b6460f9ec2b2241dcd70a02b61e724062de42edaf392f88ae666fcfc279d3d
case_073,2,5,min_copy_within_1pct_time,1846409,14886400,,1.0,0,p2/case_073/min_copy_within_1pct_time.json,fc39c08331b76962c9875509fb180fe532ea458b7ed12dc738e95f2715fb4df2
case_073,2,5,min_copy_within_3pct_time,1846409,14886400,,1.0,0,p2/case_073/min_copy_within_3pct_time.json,fc39c08331b76962c9875509fb180fe532ea458b7ed12dc738e95f2715fb4df2
case_073,2,5,time_first,1846409,14886400,,1.0,0,p2/case_073/time_first.json,fc39c08331b76962c9875509fb180fe532ea458b7ed12dc738e95f2715fb4df2
case_074,2,5,min_copy_within_1pct_time,333090,7634944,,1.0051117092541852,507904,p2/case_074/min_copy_within_1pct_time.json,ccc303a3b0d75eaa55067d5b4bb45efbd7267b468747a1a82472139f1ba9d88f
case_074,2,5,min_copy_within_3pct_time,333090,7634944,,1.0051117092541852,507904,p2/case_074/min_copy_within_3pct_time.json,ccc303a3b0d75eaa55067d5b4bb45efbd7267b468747a1a82472139f1ba9d88f
case_074,2,5,time_first,331396,8142848,,1.0,0,p2/case_074/time_first.json,835116fcdf907adb0b7a4ce88e1c8a08e99b48ba3959ec41e6c7c592cf26b829
case_075,2,5,min_copy_within_1pct_time,396278,13510296,,1.0,0,p2/case_075/min_copy_within_1pct_time.json,e565670e027b3d67d280ee9ae71e6a70c1727772745d914b2754d2921196d009
case_075,2,5,min_copy_within_3pct_time,396278,13510296,,1.0,0,p2/case_075/min_copy_within_3pct_time.json,e565670e027b3d67d280ee9ae71e6a70c1727772745d914b2754d2921196d009
case_075,2,5,time_first,396278,13510296,,1.0,0,p2/case_075/time_first.json,e565670e027b3d67d280ee9ae71e6a70c1727772745d914b2754d2921196d009
case_076,2,5,min_copy_within_1pct_time,1237337,34928640,,1.0040385926190398,3185664,p2/case_076/min_copy_within_1pct_time.json,f871dd05956631a8189f552b96e204b2e4493a4f5cfd53d3630cacfe699c9029
case_076,2,5,min_copy_within_3pct_time,1237337,34928640,,1.0040385926190398,3185664,p2/case_076/min_copy_within_3pct_time.json,f871dd05956631a8189f552b96e204b2e4493a4f5cfd53d3630cacfe699c9029
case_076,2,5,time_first,1232360,38114304,,1.0,0,p2/case_076/time_first.json,cf8189e2dfe8754cab637d49c0521afdf1b89e2c47391ae4bd9db132174568a9
case_077,2,5,min_copy_within_1pct_time,102246,1165830,,1.0,0,p2/case_077/min_copy_within_1pct_time.json,32195a94f1fdbf37eb5b51f49461a8f31dc943d0e4375d0361996505526be65a
case_077,2,5,min_copy_within_3pct_time,102246,1165830,,1.0,0,p2/case_077/min_copy_within_3pct_time.json,32195a94f1fdbf37eb5b51f49461a8f31dc943d0e4375d0361996505526be65a
case_077,2,5,time_first,102246,1165830,,1.0,0,p2/case_077/time_first.json,32195a94f1fdbf37eb5b51f49461a8f31dc943d0e4375d0361996505526be65a
case_078,2,5,min_copy_within_1pct_time,483929,13886976,,1.0,0,p2/case_078/min_copy_within_1pct_time.json,e7d10623d18c2e3fd5844c4efa8ca590993d0ceeb871be905c27b45f9aea2b6f
case_078,2,5,min_copy_within_3pct_time,491068,13883904,,1.014752164057124,3072,p2/case_078/min_copy_within_3pct_time.json,148ea518905969043aacdf187f4a5d34ac9b58ce18c2625e17114fcb8a1dd23b
case_078,2,5,time_first,483929,13886976,,1.0,0,p2/case_078/time_first.json,e7d10623d18c2e3fd5844c4efa8ca590993d0ceeb871be905c27b45f9aea2b6f
case_079,2,5,min_copy_within_1pct_time,6082915,35659776,,1.0097817227452237,14204928,p2/case_079/min_copy_within_1pct_time.json,61bcac44cc022b66fb29474e18ab42a30b62e41b607ef245963e7bb0bf742953
case_079,2,5,min_copy_within_3pct_time,6082915,35659776,,1.0097817227452237,14204928,p2/case_079/min_copy_within_3pct_time.json,61bcac44cc022b66fb29474e18ab42a30b62e41b607ef245963e7bb0bf742953
case_079,2,5,time_first,6023990,49864704,,1.0,0,p2/case_079/time_first.json,cb8665fe4c0bf291395d04d2aaad169d841f6ccc8ed321e84bacc8d4bc134877
case_080,2,5,min_copy_within_1pct_time,75882,1904640,,1.0,0,p2/case_080/min_copy_within_1pct_time.json,d8d290a3218153cfdda90e3835603a3372cc316617d955dca8411856c55c594a
case_080,2,5,min_copy_within_3pct_time,75882,1904640,,1.0,0,p2/case_080/min_copy_within_3pct_time.json,d8d290a3218153cfdda90e3835603a3372cc316617d955dca8411856c55c594a
case_080,2,5,time_first,75882,1904640,,1.0,0,p2/case_080/time_first.json,d8d290a3218153cfdda90e3835603a3372cc316617d955dca8411856c55c594a
case_081,2,5,min_copy_within_1pct_time,30943,0,,1.0,0,p2/case_081/min_copy_within_1pct_time.json,eb6a279de1dc36e4d189241e1acc4e92b9c4ea1e18d7da5caf86ae8609ae4a93
case_081,2,5,min_copy_within_3pct_time,30943,0,,1.0,0,p2/case_081/min_copy_within_3pct_time.json,eb6a279de1dc36e4d189241e1acc4e92b9c4ea1e18d7da5caf86ae8609ae4a93
case_081,2,5,time_first,30943,0,,1.0,0,p2/case_081/time_first.json,eb6a279de1dc36e4d189241e1acc4e92b9c4ea1e18d7da5caf86ae8609ae4a93
case_082,2,5,min_copy_within_1pct_time,210560,8635512,,1.0,0,p2/case_082/min_copy_within_1pct_time.json,0468fe3e487d4e3aeb02ae40fd28897487bdbd0c3397345592db0c99c972d902
case_082,2,5,min_copy_within_3pct_time,210560,8635512,,1.0,0,p2/case_082/min_copy_within_3pct_time.json,0468fe3e487d4e3aeb02ae40fd28897487bdbd0c3397345592db0c99c972d902
case_082,2,5,time_first,210560,8635512,,1.0,0,p2/case_082/time_first.json,0468fe3e487d4e3aeb02ae40fd28897487bdbd0c3397345592db0c99c972d902
case_083,2,5,min_copy_within_1pct_time,184594,3721600,,1.0,0,p2/case_083/min_copy_within_1pct_time.json,b222e3129289cd55fecc88d68ba89068e382a573082f7b7dd550c9561ea87d67
case_083,2,5,min_copy_within_3pct_time,184594,3721600,,1.0,0,p2/case_083/min_copy_within_3pct_time.json,b222e3129289cd55fecc88d68ba89068e382a573082f7b7dd550c9561ea87d67
case_083,2,5,time_first,184594,3721600,,1.0,0,p2/case_083/time_first.json,b222e3129289cd55fecc88d68ba89068e382a573082f7b7dd550c9561ea87d67
case_084,2,5,min_copy_within_1pct_time,256584,0,,1.0,0,p2/case_084/min_copy_within_1pct_time.json,20b8a41e57591aece22c71debec2d53f52e018da8b07af1e2f53a94107d4bd93
case_084,2,5,min_copy_within_3pct_time,256584,0,,1.0,0,p2/case_084/min_copy_within_3pct_time.json,20b8a41e57591aece22c71debec2d53f52e018da8b07af1e2f53a94107d4bd93
case_084,2,5,time_first,256584,0,,1.0,0,p2/case_084/time_first.json,20b8a41e57591aece22c71debec2d53f52e018da8b07af1e2f53a94107d4bd93
case_085,2,5,min_copy_within_1pct_time,881711,38447480,,1.0,0,p2/case_085/min_copy_within_1pct_time.json,21f6af78e57a9a7b9c1e2b8643faab52ae7b4abe0ffcd6953a75e420cf0a12fd
case_085,2,5,min_copy_within_3pct_time,881711,38447480,,1.0,0,p2/case_085/min_copy_within_3pct_time.json,21f6af78e57a9a7b9c1e2b8643faab52ae7b4abe0ffcd6953a75e420cf0a12fd
case_085,2,5,time_first,881711,38447480,,1.0,0,p2/case_085/time_first.json,21f6af78e57a9a7b9c1e2b8643faab52ae7b4abe0ffcd6953a75e420cf0a12fd
case_086,2,5,min_copy_within_1pct_time,48477,2347960,,1.0,0,p2/case_086/min_copy_within_1pct_time.json,f5794fe012a0117203cee06baf348a873b4f4f437c50e12e1d2d3d7ac32d7b93
case_086,2,5,min_copy_within_3pct_time,48477,2347960,,1.0,0,p2/case_086/min_copy_within_3pct_time.json,f5794fe012a0117203cee06baf348a873b4f4f437c50e12e1d2d3d7ac32d7b93
case_086,2,5,time_first,48477,2347960,,1.0,0,p2/case_086/time_first.json,f5794fe012a0117203cee06baf348a873b4f4f437c50e12e1d2d3d7ac32d7b93
case_087,2,5,min_copy_within_1pct_time,797842,13390484,,1.0,0,p2/case_087/min_copy_within_1pct_time.json,15f5ce4f01882eb89ef819556157d5a3c95ada0bc5d191bc85b1463f50eb37ca
case_087,2,5,min_copy_within_3pct_time,797842,13390484,,1.0,0,p2/case_087/min_copy_within_3pct_time.json,15f5ce4f01882eb89ef819556157d5a3c95ada0bc5d191bc85b1463f50eb37ca
case_087,2,5,time_first,797842,13390484,,1.0,0,p2/case_087/time_first.json,15f5ce4f01882eb89ef819556157d5a3c95ada0bc5d191bc85b1463f50eb37ca
case_088,2,5,min_copy_within_1pct_time,87617,2844972,,1.0,0,p2/case_088/min_copy_within_1pct_time.json,451446e5cd4342ea820622c864048264b9a3c81c0edfd75b341ff3603554d776
case_088,2,5,min_copy_within_3pct_time,87617,2844972,,1.0,0,p2/case_088/min_copy_within_3pct_time.json,451446e5cd4342ea820622c864048264b9a3c81c0edfd75b341ff3603554d776
case_088,2,5,time_first,87617,2844972,,1.0,0,p2/case_088/time_first.json,451446e5cd4342ea820622c864048264b9a3c81c0edfd75b341ff3603554d776
case_089,2,5,min_copy_within_1pct_time,118946,954880,,1.0,0,p2/case_089/min_copy_within_1pct_time.json,5e6d237c04531687ff4b73f71fd5849d4e1bb5051bf39b16f56cabf45fbaa42e
case_089,2,5,min_copy_within_3pct_time,118946,954880,,1.0,0,p2/case_089/min_copy_within_3pct_time.json,5e6d237c04531687ff4b73f71fd5849d4e1bb5051bf39b16f56cabf45fbaa42e
case_089,2,5,time_first,118946,954880,,1.0,0,p2/case_089/time_first.json,5e6d237c04531687ff4b73f71fd5849d4e1bb5051bf39b16f56cabf45fbaa42e
case_090,2,5,min_copy_within_1pct_time,260978,8593920,,1.0,0,p2/case_090/min_copy_within_1pct_time.json,5d1432e1390265a1bbfddd0f0e445e5de368c09339ac387ea9c3930890054052
case_090,2,5,min_copy_within_3pct_time,260978,8593920,,1.0,0,p2/case_090/min_copy_within_3pct_time.json,5d1432e1390265a1bbfddd0f0e445e5de368c09339ac387ea9c3930890054052
case_090,2,5,time_first,260978,8593920,,1.0,0,p2/case_090/time_first.json,5d1432e1390265a1bbfddd0f0e445e5de368c09339ac387ea9c3930890054052
case_091,2,5,min_copy_within_1pct_time,1861618,74683904,,1.0,0,p2/case_091/min_copy_within_1pct_time.json,69d275bb6bfe69e30da6a1d15b5d5a5630d954cfd4d9b5e7572f5f870596cbde
case_091,2,5,min_copy_within_3pct_time,1882479,73417216,,1.0112058435189175,1266688,p2/case_091/min_copy_within_3pct_time.json,e919bcc976a07cda98747fb2c38d345a15f74103b7c056e8893c221226bc27dc
case_091,2,5,time_first,1861618,74683904,,1.0,0,p2/case_091/time_first.json,69d275bb6bfe69e30da6a1d15b5d5a5630d954cfd4d9b5e7572f5f870596cbde
case_092,2,5,min_copy_within_1pct_time,784691,3950976,,1.0,0,p2/case_092/min_copy_within_1pct_time.json,97453af7d55f3cc75980a63e308547735472f738245cb4b8361c8bb974c3260c
case_092,2,5,min_copy_within_3pct_time,784691,3950976,,1.0,0,p2/case_092/min_copy_within_3pct_time.json,97453af7d55f3cc75980a63e308547735472f738245cb4b8361c8bb974c3260c
case_092,2,5,time_first,784691,3950976,,1.0,0,p2/case_092/time_first.json,97453af7d55f3cc75980a63e308547735472f738245cb4b8361c8bb974c3260c
case_093,2,5,min_copy_within_1pct_time,15630,32768,,1.0,0,p2/case_093/min_copy_within_1pct_time.json,0c4cfb67aa1d454f8b52227073e9a4415f09b4f4745686100b7c04f43fd2dec5
case_093,2,5,min_copy_within_3pct_time,15630,32768,,1.0,0,p2/case_093/min_copy_within_3pct_time.json,0c4cfb67aa1d454f8b52227073e9a4415f09b4f4745686100b7c04f43fd2dec5
case_093,2,5,time_first,15630,32768,,1.0,0,p2/case_093/time_first.json,0c4cfb67aa1d454f8b52227073e9a4415f09b4f4745686100b7c04f43fd2dec5
case_094,2,5,min_copy_within_1pct_time,17170,304256,,1.0,0,p2/case_094/min_copy_within_1pct_time.json,46c68dd838ca0dd80b0150678a038037c02690e38cf978664d7a0ce5cddfeecb
case_094,2,5,min_copy_within_3pct_time,17465,259200,,1.0171811298776936,45056,p2/case_094/min_copy_within_3pct_time.json,79985c6dd1c1792cbc5d10e9823e97f7129cb8748881bdcc5ea862edc41ff6f5
case_094,2,5,time_first,17170,304256,,1.0,0,p2/case_094/time_first.json,46c68dd838ca0dd80b0150678a038037c02690e38cf978664d7a0ce5cddfeecb
case_095,2,5,min_copy_within_1pct_time,220188,0,,1.0,0,p2/case_095/min_copy_within_1pct_time.json,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982
case_095,2,5,min_copy_within_3pct_time,220188,0,,1.0,0,p2/case_095/min_copy_within_3pct_time.json,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982
case_095,2,5,time_first,220188,0,,1.0,0,p2/case_095/time_first.json,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982
case_096,2,5,min_copy_within_1pct_time,27053,134784,,1.001258373737,7168,p2/case_096/min_copy_within_1pct_time.json,09383e1162ac5fa2de53c01e12bcfbc1beb637f732c7301779d2316861228546
case_096,2,5,min_copy_within_3pct_time,27053,134784,,1.001258373737,7168,p2/case_096/min_copy_within_3pct_time.json,09383e1162ac5fa2de53c01e12bcfbc1beb637f732c7301779d2316861228546
case_096,2,5,time_first,27019,141952,,1.0,0,p2/case_096/time_first.json,b9081f486073359196dbedd41bc1d2eeed10c696794389c85fcae11312586a4a
case_097,2,5,min_copy_within_1pct_time,2094984,17039360,,1.0,0,p2/case_097/min_copy_within_1pct_time.json,8a42ce6572a9ce8e7b899de42512f9113409c36c4b7b1c5fa897077ffa2ea177
case_097,2,5,min_copy_within_3pct_time,2094984,17039360,,1.0,0,p2/case_097/min_copy_within_3pct_time.json,8a42ce6572a9ce8e7b899de42512f9113409c36c4b7b1c5fa897077ffa2ea177
case_097,2,5,time_first,2094984,17039360,,1.0,0,p2/case_097/time_first.json,8a42ce6572a9ce8e7b899de42512f9113409c36c4b7b1c5fa897077ffa2ea177
