case,cores,original,old,new,gain_vs_original,gain_vs_old,delta_speedup,errors
case_048,3,222220,222220,191033,0.14034290342903433,0.14034290342903433,0.16325451623541487,0
case_048,5,211661,211661,162167,0.23383618144107798,0.23383618144107798,0.32042941066823905,0
case_056,3,255706,255706,244205,0.04497743502303431,0.04497743502303431,0.051070076658389585,0
case_056,5,210746,210746,210746,0.0,0.0,0.0,0
case_068,3,301507,301507,290734,0.03573051371941616,0.03573051371941616,0.044500610060164814,0
case_068,5,268666,268666,268666,0.0,0.0,0.0,0
case_085,3,3181355,3181355,3181355,0.0,0.0,0.0,3
case_085,5,2760933,2760933,2760933,0.0,0.0,0.0,3
