case,cores,before,after,reduction,selected,calls,elapsed_seconds
case_043,4,243378,242835,0.002231097305426144,r1_affinity_s1_w4_merge,7,21.6207992950076
case_051,5,607628,293518,0.5169445779325508,r0_branch_s1_w4_merge,8,4.243764677012223
case_047,5,321049,321049,0.0,baseline,7,143.5072320409963
case_075,5,1322078,720755,0.4548317118959698,r0_branch_s1_w4_merge,7,114.41968752200773
case_064,5,16370,16370,0.0,baseline,8,2.711358635002398
