config_id,case,problem,cores,group,variant,completed,valid,attempt_count,recovered,first_attempt_valid,calls,failures,cache_hits,seconds,deadline_overrun_seconds,logged_generation_seconds,generation_errors,generation_timeouts,total_recorded_calls_including_recovery,total_recorded_failures_including_recovery,recorded_evaluation_seconds_including_recovery,unresolved_evaluation_attempts,summary,original_singlecore,makespan,added_copy,raw_speedup,statement_speedup,hit_bytes,miss_bytes,byte_hit_rate,plan_sha256,max_reported_depth,evaluated_branch_count
case_053_p3_n5,case_053,3,5,existing_regression,legacy,True,True,1,False,True,12,0,0,240.04167719298857,0.04167719298857264,164.07060755998828,0,11,12,0,73.76327467593364,0,configurations/case_053_p3_n5/legacy/attempt_001/summary.json,1472686.0,325708,10044262,4.521491642821177,4.521491642821177,4259634,5960322,0.4167957278876739,1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36,0,0
case_053_p3_n5,case_053,3,5,existing_regression,persistent,True,True,1,False,True,22,0,0,240.03023415099597,0.030234150995966047,85.88402451906586,0,1,22,0,152.12446335301502,0,configurations/case_053_p3_n5/persistent/attempt_001/summary.json,1472686.0,325708,10044262,4.521491642821177,4.521491642821177,4259634,5960322,0.4167957278876739,1a221f824a6412dc74ff29a0e9d5e5f9b7068f4e60fe4f386a26e5db4741ff36,3,5
case_053_p3_n5,case_053,3,5,existing_regression,mature,True,True,1,False,True,24,0,0,115.83366296198801,0.0,13.99276606895728,0,0,24,0,100.34733770307503,0,configurations/case_053_p3_n5/mature/attempt_001/summary.json,1472686.0,374457,3247692,3.932857444245935,3.932857444245935,124616,5948282,0.020520021907168538,f97ef2fe0e4f32ddbe897621aaa8b9306df0e35ded4fcfbd87dcf4ce7a479805,0,0
case_095_p2_n5,case_095,2,5,existing_regression,legacy,True,True,1,False,True,24,0,0,93.79000224999618,0.0,53.87678577401675,0,0,24,0,38.82163686098647,0,configurations/case_095_p2_n5/legacy/attempt_001/summary.json,2084853.0,217302,0,9.594265124112985,9.594265124112985,0,0,,1470210382f2c188b1f6aebfc4e2e8e5387a8b3d9762e65b0c09a7618e0f5e59,0,0
case_095_p2_n5,case_095,2,5,existing_regression,persistent,True,True,1,False,True,24,0,0,91.65540965599939,0.0,27.27310158495675,0,0,24,0,63.45676271789125,0,configurations/case_095_p2_n5/persistent/attempt_001/summary.json,2084853.0,220188,0,9.468513270477954,9.468513270477954,0,0,,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982,2,3
case_095_p2_n5,case_095,2,5,existing_regression,mature,True,True,1,False,True,24,0,0,47.77061532699736,0.0,3.2453877739899326,0,0,24,0,43.77125216406421,0,configurations/case_095_p2_n5/mature/attempt_001/summary.json,2084853.0,220188,0,9.468513270477954,9.468513270477954,0,0,,51f798d4c5e9bdad79964b2049ab3a8fb50a166ef79fc04747291d0797b1d982,0,0
case_047_p3_n3,case_047,3,3,core_regression,legacy,True,True,1,False,True,12,0,0,240.07363979998627,0.07363979998626746,168.012884862168,0,11,12,0,71.04459639193374,0,configurations/case_047_p3_n3/legacy/attempt_001/summary.json,326508.0,108619,1560748,3.0059934265644133,3.0059934265644133,447628,941142,0.3223197505706488,1edd1b4919434ee4b3196ae46eb30a8d82c2bc4670e9ec820e3367d72df2bd3e,0,0
case_047_p3_n3,case_047,3,3,core_regression,persistent,True,True,1,False,True,20,0,0,240.5666240840219,0.5666240840218961,93.98417937912745,0,1,20,0,144.64759551093448,0,configurations/case_047_p3_n3/persistent/attempt_001/summary.json,326508.0,104462,1709964,3.1256150561926823,3.1256150561926823,381452,1084486,0.2602101862425287,885fc12c73f41c52715b2571b3b6cba145001f201f07cd8f69105f7134e210f9,2,5
case_047_p3_n3,case_047,3,3,core_regression,mature,True,True,1,False,True,24,0,0,144.8789275510062,0.0,2.6767021650157403,0,0,24,0,137.15031349295168,0,configurations/case_047_p3_n3/mature/attempt_001/summary.json,326508.0,108690,1560748,3.004029809550097,3.004029809550097,447628,941142,0.3223197505706488,f55abb57a0dace50b82a6d3b8ae273fcbd287f214e14cfb5b30cca5a63b85f55,0,0
case_054_p1_n5,case_054,1,5,development,legacy,True,True,1,False,True,15,1,0,240.01415262802038,0.014152628020383418,68.05760655805352,0,1,15,1,171.2347702109837,0,configurations/case_054_p1_n5/legacy/attempt_001/summary.json,815051.0,329736,6116212,2.4718289783341825,2.4718289783341825,0,0,,d977cf17037f28f9fd00e6015f8e83c47e3f8948a80c23dcc956e42839ac0e37,0,0
