case,problem,cores,variant,makespan,copy,speedup,calls,failures,seconds,generation_seconds,B8_makespan,B12_makespan,B16_makespan,B24_makespan
case_071,2,4,frontier,9143,318862,2.0692332932297934,24,0,4.605159027996706,0.010572828003205359,10409,9143,9143,9143
case_023,3,4,mature,20617,281280,5.9472280157151864,24,0,6.049032058013836,0.0,24115,21167,21167,20617
case_046,2,4,mature,77846,2791200,3.5513064255067697,15,0,3.4165744109777734,0.0,77846,77846,77846,77846
case_071,3,4,mature,9427,318862,2.0068950885753685,24,0,4.8600758490210865,0.0,9573,9573,9427,9427
case_035,3,4,mature,82566,4608,2.053763050165928,24,0,19.699810619000345,0.0,88511,88511,82566,82566
case_071,2,4,mature,9143,318862,2.0692332932297934,24,0,4.4879111610061955,0.0,10409,9143,9143,9143
case_095,2,4,frontier,273250,0,7.62983714547118,24,0,30.72256504499819,0.09808256800170057,273250,273250,273250,273250
case_009,3,4,mature,80481,1340300,1.904312819174712,24,0,32.75680591800483,0.0,82513,80997,80801,80481
case_095,2,4,mature,273250,0,7.62983714547118,24,0,30.749316286004614,0.0,273250,273250,273250,273250
case_035,2,4,frontier,80381,4608,2.1095905748871,24,0,18.794991764007136,0.09011602698592469,88511,88026,88026,80381
case_066,3,4,mature,157959,5776218,2.2731848137807913,24,0,49.75116780801909,0.0,170735,158224,158217,157959
case_046,3,4,mature,77846,2791200,3.5513064255067697,15,0,3.771063429012429,0.0,77846,77846,77846,77846
case_035,2,4,mature,88026,4608,1.9263740258559972,24,0,21.03131223798846,0.0,88511,88026,88026,88026
case_066,2,4,frontier,149660,5776218,2.3992382734197513,24,0,53.991609402000904,0.10851999401347712,178955,149660,149660,149660
case_053,2,4,frontier,372834,2212940,3.9499777380818273,24,0,88.29692833198351,0.2948019400064368,413004,413004,398952,372834
case_046,2,4,frontier,77846,2791200,3.5513064255067697,16,0,4.481376392999664,0.02259817998856306,77846,77846,77846,77846
case_066,3,4,frontier,137522,5776218,2.6110004217507017,24,0,63.68435796198901,0.14396070298971608,170735,158224,158217,137522
case_095,3,4,frontier,273250,0,7.62983714547118,24,0,46.79449928199756,0.13138052300200798,273250,273250,273250,273250
case_071,3,4,frontier,8316,318862,2.275012025012025,24,0,6.705423494975548,0.012906973017379642,9573,9573,9427,8316
case_046,3,4,frontier,77846,2791200,3.5513064255067697,16,0,5.078477005008608,0.025822116003837436,77846,77846,77846,77846
case_035,3,4,frontier,80381,4608,2.1095905748871,24,0,30.020362408977235,0.11771701800171286,88511,88511,82566,80381
case_009,3,4,frontier,42444,1340300,3.610899067005937,24,0,56.9429741659842,0.14363282101112418,82513,80997,80801,42444
case_053,3,4,frontier,372834,2212940,3.9499777380818273,24,0,114.92533316099434,0.4173959859763272,413004,413004,398952,372834
case_095,3,4,mature,273250,0,7.62983714547118,24,0,46.00147400100832,0.0,273250,273250,273250,273250
case_023,2,4,frontier,19331,281280,6.342868966944287,24,0,8.0605867440172,0.02529168702312745,24384,21167,21167,19331
case_066,2,4,mature,149660,5776218,2.3992382734197513,24,0,62.46767627701047,0.0,178955,149660,149660,149660
case_023,3,4,frontier,19279,281280,6.359977177239483,24,0,8.105783552018693,0.02343673599534668,24115,21167,21167,19279
case_053,2,4,mature,398952,2235124,3.691386432453027,24,0,100.74986969100428,0.0,413004,413004,398952,398952
case_053,3,4,mature,398952,2235124,3.691386432453027,24,0,101.60815091599943,0.0,413004,413004,398952,398952
case_009,2,4,mature,62293,1352596,2.460324595058835,24,0,39.425125607987866,0.0,84037,62293,62293,62293
case_023,2,4,mature,20617,281280,5.9472280157151864,24,0,7.338973992009414,0.0,24384,21167,21167,20617
case_009,2,4,frontier,44749,1352596,3.4249033497955264,24,0,37.096851370006334,0.1205895229941234,84037,62293,62293,44749
