config,case,cores,method,call,stage,family,name,status,elapsed_seconds,makespan,added_copy,simulated_l1,simulated_ub,simulated_memory_by_core
case_004_p1_n5,case_004,5,integrated,1,prefix,component,wcc_start0_simple_a5_per_core_lpt_mv,success,,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,2,prefix,component,wcc_task_4_mv_complement_batch2,success,,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,3,prefix,task_refine,local_duration,success,,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,4,continuation,joint,p1_joint_r0_phase2_eft_merge8,success,0.8184919999912381,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,5,continuation,structure,wcc_task_4_mv_complement_batch4,success,1.0625743749551475,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,6,continuation,joint,p1_joint_r0_tensor_cap0.25_eft_raw,success,1.2008506669662893,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,7,continuation,legacy,local_duration,success,1.3883037499617785,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,8,continuation,joint,p1_joint_r0_phase2_eft_raw,success,1.5231294999830425,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,9,continuation,joint,p1_joint_r0_phase4_eft_raw,success,1.7336053329054266,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,10,continuation,joint,p1_joint_r0_phase4_balanced_raw,success,1.8717913329601288,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,11,continuation,joint,p1_joint_r0_phase16_eft_raw,success,2.0536029579816386,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
case_004_p1_n5,case_004,5,integrated,12,continuation,joint,p1_joint_r0_phase16_balanced_raw,success,2.2428957499796525,88341,442368,125952,12288,"{'0': {'L1': 125952, 'UB': 12288}, '1': {'L1': 125952, 'UB': 12288}, '2': {'L1': 125952, 'UB': 12288}, '3': {'L1': 125952, 'UB': 12288}, '4': {'L1': 125952, 'UB': 12288}}"
