case,component,full_v2,component_speedup,full_speedup
case_001,47502,47502,4.9073723211654245,4.9073723211654245
case_002,261945,51207,1.0,5.115413908254731
case_003,538381,161941,1.1185610190552786,3.7187123705547083
case_004,88341,84227,4.441391879195391,4.658328089567479
case_005,95618,39694,1.0,2.4088779160578424
case_006,31151,31444,2.6592083721228854,2.6344294619005217
case_007,203834,203834,4.967581463347626,4.967581463347626
case_008,100603,100603,4.846823653370178,4.846823653370178
case_009,92198,52200,1.66230286991041,2.936034482758621
case_010,29856,19138,2.9129488210075025,4.544309750235135
case_011,46880,46915,3.9397824232081913,3.9368432271128637
case_012,12452,12756,4.745261805332476,4.632173095014111
case_013,54363,54130,4.855305998565201,4.876205431368927
case_014,3703529,3709844,4.778854438563867,4.770719739158843
case_015,43242,43242,4.101614171407428,4.101614171407428
case_016,7715523,1972344,1.0,3.9118546257650797
case_017,34598,32681,4.705763338921325,4.981793702763073
case_018,205917,205917,4.8775331808447095,4.8775331808447095
case_019,24099,17853,3.3671106684924688,4.545118467484456
case_020,107187,107187,4.97024825771782,4.97024825771782
case_021,1250168,1250168,5.253643510312214,5.253643510312214
case_022,11713,11633,4.847605224963716,4.880942147339465
case_023,24058,20245,5.096599883614598,6.056507779698691
case_024,2555343,659808,1.0,3.87285846791794
case_025,975282,974747,4.986276789687495,4.98901355941593
case_026,41655,29992,2.3815388308726444,3.307648706321686
case_027,558753,449673,4.230763861670542,5.257046787332128
case_028,11491035,8458242,3.814803453300769,5.182641972173414
case_029,9383,9383,4.002451241607162,4.002451241607162
case_030,560451,561102,5.010311338546992,5.004498290863337
case_031,306213,304955,4.618905794332703,4.637959698971979
case_032,10285,10414,4.029460379193,3.9795467639715767
case_033,371720,371790,4.772936618960508,4.772037978428683
case_034,163827,167921,5.14564754283482,5.020194019806933
case_035,95406,52277,1.7773620107750037,3.2437018191556515
case_036,187182,187182,4.976493466252097,4.976493466252097
case_037,43013,43013,4.882268151489085,4.882268151489085
case_038,277456,277456,4.918095121388617,4.918095121388617
case_039,308167,308167,4.657416271047841,4.657416271047841
case_040,110105,68535,2.301929975932065,3.6981688188516815
case_041,1194924,1196379,5.02455135221989,5.018440644645217
case_042,358905,358905,4.699683760326549,4.699683760326549
case_043,268776,171710,2.5212667797720036,3.9465144720750103
case_044,123553,82308,1.2497227910289512,1.8759658842396851
case_045,25770,25770,4.874427629025999,4.874427629025999
case_046,124612,93267,2.218526305652746,2.9641245027716128
case_047,326508,95853,1.0,3.4063409595943788
case_048,222220,98926,1.0,2.2463255362594263
case_049,160206,59914,1.2251476224361135,3.2759622125045897
case_050,108121,48891,1.3844674022622803,3.0617086989425455
case_051,607628,164390,1.0,3.696258896526553
case_052,38778,34883,4.649569343442158,5.168735487200069
case_053,492232,461619,2.991853434965626,3.190262965779138
case_054,517960,219769,1.5735790408525754,3.7086713776738303
case_055,26309,26309,4.516895359002623,4.516895359002623
case_056,265710,93400,1.0435625305784502,2.9687901498929334
case_057,16538,16003,3.6114403192647235,3.732175217146785
case_058,922928,911208,4.918820319678241,4.982086417151737
case_059,150736,150782,5.502819498991615,5.501140719714555
case_060,183430,183430,4.845385160551709,4.845385160551709
case_061,22283,21803,3.46412063007674,3.540384350777416
case_062,2854809,690843,1.0,4.132355687182182
case_063,1070397,209511,1.0,5.109025301774131
case_064,19116,8559,1.0,2.2334384858044163
case_065,9869,10826,5.377241868477049,4.901902826528727
case_066,248146,114755,1.44701103382686,3.1290139863186788
case_067,15931687,12075441,4.006784341168641,5.286335629481358
case_068,302408,138366,1.1973724240099468,2.6169362415622337
case_069,25144,11635,1.0,2.1610657498925656
case_070,26669,26669,4.3983651430499835,4.3983651430499835
case_071,18919,9304,1.0,2.033426483233018
case_072,4806756,4806756,4.971716475727081,4.971716475727081
case_073,3517515,1792821,2.8661216796516857,5.623331052012443
case_074,331884,338235,5.068755950874402,4.973580498765651
case_075,1441809,392746,1.0,3.6710978596853945
case_076,1232527,1232186,5.018237328675153,5.01962609541092
case_077,116668,116605,4.245551479411664,4.247845289653102
case_078,663941,488618,3.458353980248245,4.699259953583372
case_079,6040492,6015906,5.14068241461126,5.161691522440677
case_080,86030,80646,3.3957689178193653,3.6224735262753267
case_081,30943,30943,4.905632937982743,4.905632937982743
case_082,721041,218027,1.0,3.307117925761488
case_083,442480,260068,2.3910527029470257,4.068139871110633
case_084,503472,503472,4.98024120507198,4.98024120507198
case_085,3187899,888887,1.0,3.5863939960872417
case_086,118403,49137,1.0,2.409650568817795
case_087,885306,865736,4.488923603816081,4.5903959174621365
case_088,202087,91172,1.205535239772969,2.6721252138814546
case_089,147432,143683,4.701096098540344,4.8237578558354155
case_090,542638,295713,2.171545302761694,3.9848197407621577
case_091,1868509,1868509,4.916630853798403,4.916630853798403
case_092,1649430,1142046,2.919526139332982,4.2166024836127445
case_093,15876,15876,4.674036281179139,4.674036281179139
case_094,23026,21758,4.121080517675671,4.361246438091737
case_095,420852,420852,4.953886401870491,4.953886401870491
case_096,26984,27053,3.120145271271865,3.112187188112224
case_097,2102348,2102348,5.466035594487687,5.466035594487687
case_098,89756,45597,1.9768037791345425,3.891264776191416
case_099,331480,330651,4.89621998310607,4.908495664613142
case_100,57811,58085,2.6158170590372074,2.603477662047
