case,problem,cores,makespan,original_singlecore,speedup,original_copy,added_copy,partition_copy,spill_copy,copy_ratio,active_cores,l1_peak_ratio,ub_peak_ratio,cache_hit_bytes,cache_miss_bytes,cache_byte_hit_rate,recovered_from_timeout,evaluator_seconds,record_path
case_064,1,5,15155,19116,1.2613658858462553,37414,148968,148968,0,4.981611161597263,5,0.00885009765625,0.0634765625,0,0,0,False,0.6766211880021729,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_064_p1_n5/evaluation/attempts/20260926T185753-54659773551743d9a92f79c1904305f0/record.json
case_069,1,5,15046,25144,1.6711418317160707,126054,554768,554768,0,5.401034477287512,5,0.0439453125,0.2230224609375,0,0,0,False,0.8808485970002948,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_069_p1_n5/evaluation/attempts/20260926T185830-3eeafb49e10d48c0894625966ccbddb8/record.json
case_048,1,5,119999,222220,1.8518487654063784,414790,1391956,1391956,0,4.355808963571928,4,0.023681640625,0.0786285400390625,0,0,0,False,1.7290947040019091,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_048_p1_n5/evaluation/attempts/20260926T185412-12b991a95d4e46b68b18e01acba3dc99/record.json
case_035,1,5,90079,169571,1.8824698320363236,410854,1379966,1379966,0,4.358774649875625,5,0.140625,0.193359375,0,0,0,False,3.184854165003344,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_035_p1_n5/evaluation/attempts/20260926T185214-74c16610efd74bc3a610b741bfc90097/record.json
case_009,1,5,81068,153261,1.890524004539399,495332,531874,531874,0,2.0737727423223213,5,0.0302734375,0.2187957763671875,0,0,0,False,4.041398201996344,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_009_p1_n5/evaluation/attempts/20260926T184657-0f4611d160ae4fd993659fc74ccdc418/record.json
case_005,1,5,49343,95618,1.9378229941430396,333414,2085056,2085056,0,7.253654615583029,5,0.03631591796875,0.1562652587890625,0,0,0,False,2.986972781000077,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_005_p1_n5/evaluation/attempts/20260926T184642-57e1db013e154abf959b8437ada111f2/record.json
case_071,1,5,9487,18919,1.9942025930220302,121446,288052,288052,0,3.371852510580834,5,0.0263671875,0.1575927734375,0,0,0,False,0.6254695219977293,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_071_p1_n5/evaluation/attempts/20260926T185834-24344b11439d4f9a830c0cf274aca393/record.json
case_056,1,5,136494,277285,2.0314812372705027,221600,4461966,4461966,0,21.135225631768954,5,0.03125,0.46881103515625,0,0,0,False,10.016899258000194,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_056_p1_n5/evaluation/attempts/20260926T185533-c0da2585114c42b0aad91facd8c1c7da/record.json
case_047,1,5,158234,326508,2.063450333051051,463942,3966906,3966906,0,9.55043518370831,5,0.0263671875,0.1897125244140625,0,0,0,False,23.79636222699628,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_047_p1_n5/evaluation/attempts/20260926T185352-078bfc776043403c8ec3440f53eef4ed/record.json
case_086,1,5,57278,118403,2.0671636579489507,338022,2613714,2613714,0,8.732378365905177,5,0.03826904296875,0.1787261962890625,0,0,0,False,3.992225848000089,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_086_p1_n5/evaluation/attempts/20260926T190314-93bc3c2d612a4aca80e7f098e5d5ab5a/record.json
case_064,2,5,8539,19116,2.2386696334465395,37414,127474,127474,0,4.407120329288501,5,0.005859375,0.021759033203125,0,0,0,False,0.6763516370047,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_064_p2_n5/evaluation/attempts/20260926T185754-7abe41df2b0d4ffca5c72ad74fc34351/record.json
case_071,2,5,8107,18919,2.333662267176514,121446,304174,304174,0,3.5046028687647186,5,0.034423828125,0.102935791015625,0,0,0,False,0.5256441149977036,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_071_p2_n5/evaluation/attempts/20260926T185834-a0f4168514b944ea90b5db34e53a3e1c/record.json
case_048,2,5,94648,222220,2.347857323979376,414790,880530,880530,0,3.1228332409170907,5,0.01953125,0.078643798828125,0,0,0,False,1.1797102729979088,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_048_p2_n5/evaluation/attempts/20260926T185414-a379927c3c4646878115235e3fd8383d/record.json
case_069,2,5,10453,25144,2.4054338467425618,126054,433744,433744,0,4.44093801069383,4,0.04119873046875,0.1507720947265625,0,0,0,False,0.7281695249985205,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_069_p2_n5/evaluation/attempts/20260926T185830-8c19e5ecf11d49c98020cc1f5f3bec5d/record.json
case_100,2,5,57811,151223,2.6158170590372074,454598,0,0,0,1.0,3,0.4375,0.625,0,0,0,False,0.7778555859986227,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_100_p2_n5/evaluation/attempts/20260926T190655-f5ae5adf72ed4731b419b45afc88fff6/record.json
case_005,2,5,35106,95618,2.723693955449211,333414,1546098,1546098,0,5.637171804423329,4,0.06005859375,0.316802978515625,0,0,0,False,2.634621376004361,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_005_p2_n5/evaluation/attempts/20260926T184645-c26b559e85ce41058690d978052c6cc9/record.json
case_086,2,5,42744,118403,2.770049597604342,338022,1797234,1797234,0,6.316914283685677,4,0.07171630859375,0.456329345703125,0,0,0,False,3.5384887580003124,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_086_p2_n5/evaluation/attempts/20260926T190318-e7501db2a6c94e19b4bc6cb3000b7151/record.json
case_068,2,5,130506,362095,2.77454676413345,2771250,4092568,4092568,0,2.476794948128101,5,0.1182861328125,0.671905517578125,0,0,0,False,4.444485636995523,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_068_p2_n5/evaluation/attempts/20260926T185826-32126e4843ab44099120d266f937f915/record.json
case_088,2,5,82028,243623,2.9699980494465303,1829798,2475026,2475026,0,2.352622529918603,5,0.135498046875,0.706085205078125,0,0,0,False,2.384514910998405,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_088_p2_n5/evaluation/attempts/20260926T190410-ed5412667fe84dbe8e38f5aace9889c9/record.json
case_056,2,5,82790,277285,3.3492571566614324,221600,2734524,2734524,0,13.339909747292419,5,0.05096435546875,0.3967742919921875,0,0,0,False,5.947642890001589,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_056_p2_n5/evaluation/attempts/20260926T185540-7342a803d4854ee68448895a67b18a7c/record.json
case_064,3,5,8510,19116,2.246298472385429,37414,127410,127410,0,4.4054097396696426,5,0.00592041015625,0.021759033203125,27186,85142,0.2420233601595328,False,0.6768258480005898,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_064_p3_n5/evaluation/attempts/20260926T185754-6eda2ea3a91f4f2b802636dd0a7b70d4/record.json
case_048,3,5,96737,222220,2.2971562070355707,414790,1236440,1236440,0,3.980881892041756,5,0.01953125,0.080108642578125,262184,842390,0.2373620961565273,False,1.530799494998064,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_048_p3_n5/evaluation/attempts/20260926T185416-dc5c7a1aadee450abd9b0054381d4433/record.json
case_071,3,5,7473,18919,2.531647263481868,121446,361106,361106,0,3.9733873491098923,5,0.03680419921875,0.088623046875,108306,236470,0.314134394505418,False,0.5803308769973228,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_071_p3_n5/evaluation/attempts/20260926T185834-a505b35e3cab4de495a91719d8ba8676/record.json
case_100,3,5,57811,151223,2.6158170590372074,454598,0,0,0,1.0,3,0.4375,0.625,0,436006,0.0,False,0.7769007319948287,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_100_p3_n5/evaluation/attempts/20260926T190655-bc0d3bd261054da798127b85d9b58b2a/record.json
case_069,3,5,9107,25144,2.760953112990008,126054,426832,426832,0,4.386104367969283,4,0.044677734375,0.1507720947265625,144784,252054,0.36484409255162054,False,0.7264199860001099,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_069_p3_n5/evaluation/attempts/20260926T185831-ba2a0c96007f42f5936a9b4771fa3869/record.json
case_005,3,5,31056,95618,3.078889747552808,333414,1546098,1546098,0,5.637171804423329,4,0.06005859375,0.316802978515625,533390,748330,0.4161517336079643,False,2.735935016993608,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_005_p3_n5/evaluation/attempts/20260926T184647-a58dda651b7a4e6ab81eadb6e8b3affc/record.json
case_086,3,5,37482,118403,3.1589296195507175,338022,2115702,2115702,0,7.259065977954098,5,0.065185546875,0.404327392578125,649936,940060,0.4087658082158697,False,3.7418222470005276,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_086_p3_n5/evaluation/attempts/20260926T190322-a06fcbd2f78d469c84d00af5201a50fc/record.json
case_068,3,5,114148,362095,3.172153695202719,2771250,4188824,4188824,0,2.5115287325214255,5,0.11865234375,0.852569580078125,1439608,4310252,0.2503727047267238,False,4.648799917005817,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_068_p3_n5/evaluation/attempts/20260926T185829-81bc0c0b62f24ab1ba5ef80998256d5e/record.json
case_088,3,5,71111,243623,3.4259537905527977,1829798,2468858,2468858,0,2.349251666030895,4,0.135498046875,0.706085205078125,999244,2685468,0.27118645907739874,False,2.5347424790015793,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_088_p3_n5/evaluation/attempts/20260926T190414-1ad8dfcb13ba4493a3ffe871a00b7eb8/record.json
case_056,3,5,79581,277285,3.484311581910255,221600,2734524,2734524,0,13.339909747292419,5,0.05096435546875,0.3967742919921875,501282,1212512,0.29249839829057633,False,6.249587170997984,/mnt/workspace/mathmodel_a_full_20260926/full_run/replay/jobs/case_056_p3_n5/evaluation/attempts/20260926T185547-026bac40ff7642eeb70e83eb055d2e0a/record.json
