case,problem,cores,previous_makespan,makespan,slowdown_percent,previous_copy,added_copy
case_082,1,3,398820,488459,22.47605436036306,4371054,11947636
case_009,1,4,81990,84913,3.5650689108427835,603674,235116
case_044,1,4,68578,96349,40.49549418180758,807872,222208
case_054,1,4,492148,517960,5.244763770247984,2283422,49152
case_071,1,4,11375,12884,13.26593406593406,364122,465378
case_005,1,5,48777,49343,1.1603829673821675,2086306,2085056
case_046,1,5,120451,123055,2.1618749533005133,5079200,5709984
case_064,1,5,15095,15155,0.3974826101358131,96914,148968
case_066,1,5,118972,125828,5.762700467336845,1958292,4268418
case_083,1,5,311694,412888,32.46581583219439,12305888,17453280
case_100,1,5,51023,51180,0.30770436861806694,786472,1307176
case_009,2,3,79930,80002,0.09007881896658798,493568,74240
case_035,2,3,80127,80191,0.07987320129294595,588832,102400
case_044,2,3,43839,44806,2.205798489929056,930400,1020512
case_005,2,4,34420,35287,2.5188843695525875,1262476,1555314
case_010,2,4,29582,29617,0.11831519167060378,48384,133632
case_019,2,4,22000,22103,0.46818181818182314,27168,51744
case_043,2,4,218258,219424,0.5342301313124853,1020724,1434420
case_071,2,4,8596,8852,2.978129362494175,281740,302060
case_086,2,4,40972,43989,7.3635653617104335,1419148,1946800
case_057,2,5,14026,14028,0.01425923285327535,288,14112
case_068,2,5,129343,130506,0.8991595988959489,4068370,4092568
case_009,3,3,79930,79991,0.07631677718002994,493568,95232
case_035,3,3,80127,80191,0.07987320129294595,588832,102400
case_044,3,3,43790,43843,0.12103219913222052,930400,1021024
case_010,3,4,29343,29582,0.8145043110793004,59904,133632
case_019,3,4,22000,22103,0.46818181818182314,27168,51744
case_026,3,4,41481,41655,0.4194691545526874,105264,95664
case_043,3,4,218258,219046,0.36104060332267096,1020724,1443636
case_071,3,4,7601,8316,9.406657018813313,257388,318862
case_057,3,5,14026,14028,0.01425923285327535,288,14112
