group,case,before,cores,seed,feedback_after,feedback_status,feedback_logical_calls,feedback_new_calls,feedback_elapsed_seconds,feedback_stop_reason,feedback_eval_failed_calls,feedback_eval_timeout_calls,feedback_error_type,interleave_after,interleave_status,interleave_logical_calls,interleave_new_calls,interleave_elapsed_seconds,interleave_stop_reason,interleave_eval_failed_calls,interleave_eval_timeout_calls,interleave_error_type,joint_after,joint_status,joint_logical_calls,joint_new_calls,joint_elapsed_seconds,joint_stop_reason,joint_eval_failed_calls,joint_eval_timeout_calls,joint_error_type,legacy_after,legacy_status,legacy_logical_calls,legacy_new_calls,legacy_elapsed_seconds,legacy_stop_reason,legacy_eval_failed_calls,legacy_eval_timeout_calls,legacy_error_type,read_order_after,read_order_status,read_order_logical_calls,read_order_new_calls,read_order_elapsed_seconds,read_order_stop_reason,read_order_eval_failed_calls,read_order_eval_timeout_calls,read_order_error_type
regression,case_001,47502,5,17,47502,success,6,0,0.047159292036667466,budget_or_candidates,0,0,,47502,success,6,0,0.04890812491066754,budget_or_candidates,0,0,,47502,success,5,0,0.04027345799840987,budget_or_candidates,0,0,,47502,success,6,0,0.03510779200587422,budget_or_candidates,0,0,,47502,success,1,0,0.018332208041101694,budget_or_candidates,0,0,
regression,case_003,145413,5,17,145413,success,12,0,2.1417185000609607,budget_or_candidates,0,0,,145413,success,12,0,2.147736749961041,budget_or_candidates,0,0,,145220,success,12,0,1.8016558339586481,budget_or_candidates,0,0,,145413,success,12,0,0.8768486250191927,budget_or_candidates,0,0,,145137,success,12,0,1.3764395420439541,budget_or_candidates,0,0,
regression,case_004,81107,5,17,81107,success,12,0,0.11861325008794665,budget_or_candidates,0,0,,81107,success,12,0,0.11383249994833022,budget_or_candidates,0,0,,81107,success,12,0,0.09681670798454434,budget_or_candidates,0,0,,81107,success,12,0,0.06915687501896173,budget_or_candidates,0,0,,81107,success,12,0,0.06901162501890212,budget_or_candidates,0,0,
regression,case_008,55855,5,17,55855,success,1,0,0.03598695807158947,budget_or_candidates,0,0,,55855,success,1,0,0.039176124962978065,budget_or_candidates,0,0,,55855,success,2,0,0.04594529198948294,budget_or_candidates,0,0,,55855,success,1,0,0.0225663750898093,budget_or_candidates,0,0,,55855,success,1,0,0.03059208393096924,budget_or_candidates,0,0,
regression,case_010,18758,5,17,18663,success,12,0,0.07587954099290073,budget_or_candidates,0,0,,18663,success,12,0,0.07274083304218948,budget_or_candidates,0,0,,18678,success,10,0,0.061002374975942075,budget_or_candidates,0,0,,18544,success,12,0,0.0529551669023931,budget_or_candidates,0,0,,18678,success,6,0,0.029519040952436626,budget_or_candidates,0,0,
regression,case_015,43242,5,17,43242,success,12,0,0.12282079202122986,budget_or_candidates,0,0,,42588,success,12,0,0.12471850006841123,budget_or_candidates,0,0,,42588,success,12,0,0.10704525001347065,budget_or_candidates,0,0,,43242,success,12,0,0.0685904580168426,budget_or_candidates,0,0,,42588,success,12,0,0.07767216698266566,budget_or_candidates,0,0,
regression,case_017,32681,5,17,32681,success,12,0,0.18102816701866686,budget_or_candidates,0,0,,32681,success,12,0,0.17693904205225408,budget_or_candidates,0,0,,32681,success,12,0,0.14209049998316914,budget_or_candidates,0,0,,32681,success,12,0,0.09360629203729331,budget_or_candidates,0,0,,32681,success,12,0,0.10288070898968726,budget_or_candidates,0,0,
regression,case_023,20229,5,17,20229,success,12,0,0.11087104200851172,budget_or_candidates,0,0,,20229,success,12,0,0.11971008300315589,budget_or_candidates,0,0,,20229,success,12,0,0.0980122919427231,budget_or_candidates,0,0,,20229,success,12,0,0.072453000000678,budget_or_candidates,0,0,,20159,success,12,0,0.06001120898872614,budget_or_candidates,0,0,
regression,case_026,26735,5,17,26036,success,12,0,0.09504599997308105,budget_or_candidates,0,0,,26583,success,12,0,0.07211508299224079,budget_or_candidates,0,0,,26583,success,12,0,0.061283999937586486,budget_or_candidates,0,0,,26036,success,12,0,0.06687458290252835,budget_or_candidates,0,0,,26343,success,11,0,0.03753754193894565,budget_or_candidates,0,0,
regression,case_044,43843,5,17,43210,success,12,0,0.13709341594949365,budget_or_candidates,0,0,,43210,success,12,0,0.13980429095681757,budget_or_candidates,0,0,,43210,success,12,0,0.11151179193984717,budget_or_candidates,0,0,,43210,success,12,0,0.08107991702854633,budget_or_candidates,0,0,,43843,success,12,0,0.08297516696620733,budget_or_candidates,0,0,
