case,method,status,before,after,makespan,logical_calls,new_calls,calls_complete,observed_logical_calls,observed_new_calls,elapsed_seconds,subprocess_wall_seconds,slot_wall_seconds,stop_reason,eval_failed_calls,eval_timeout_calls,observed_eval_failed_calls,observed_eval_timeout_calls,returncode,watchdog_timeout,input_plan,winner_plan,official_result_path,error_type,error,summary_path
case_046,legacy,success,76087,73405,73405,13,13,True,13,13,1.8081707089440897,1.8705672910436988,1.8731729170540348,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/legacy/solve/evaluations/attempts/20260925T152512-b057bc61dcbc402e97598dcb41d85615/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/legacy/solve/evaluations/attempts/20260925T152512-b057bc61dcbc402e97598dcb41d85615/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/legacy/summary.json
case_046,joint,success,76087,76087,76087,13,12,True,13,12,1.7036180830327794,1.7516379170119762,1.754155540955253,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/joint/solve/initial_evaluation/attempts/20260925T152509-f40e0fae76844fcea0cc712f4e74d8a0/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/joint/solve/initial_evaluation/attempts/20260925T152509-f40e0fae76844fcea0cc712f4e74d8a0/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/joint/summary.json
case_046,feedback,success,76087,73405,73405,13,13,True,13,13,1.9099613749422133,1.9718183329096064,1.9743304169969633,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_046_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/feedback/solve/evaluations/attempts/20260925T152518-4ebfcf900371415f8e43ee1b1d56e26a/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/feedback/solve/evaluations/attempts/20260925T152518-4ebfcf900371415f8e43ee1b1d56e26a/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_046/feedback/summary.json
case_052,legacy,success,34883,34613,34613,13,13,True,13,13,1.8226975840516388,1.8749548749765381,1.8775324580492452,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_052_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/legacy/solve/evaluations/attempts/20260925T152508-3a67807bac5e4c27b9718ebb92d6d885/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/legacy/solve/evaluations/attempts/20260925T152508-3a67807bac5e4c27b9718ebb92d6d885/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/legacy/summary.json
case_052,joint,success,34883,32948,32948,13,12,True,13,12,1.7153532919473946,1.76106545899529,1.7634707499528304,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_052_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/joint/solve/evaluations/attempts/20260925T152514-68a04d4b6ebb425998b49d1c07405f73/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/joint/solve/evaluations/attempts/20260925T152514-68a04d4b6ebb425998b49d1c07405f73/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/joint/summary.json
case_052,feedback,success,34883,32948,32948,13,13,True,13,13,1.928353957948275,1.9830341669730842,1.985380541998893,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_052_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/feedback/solve/evaluations/attempts/20260925T152516-975c9a5cd7874fdb978b8eae8424e4cd/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/feedback/solve/evaluations/attempts/20260925T152516-975c9a5cd7874fdb978b8eae8424e4cd/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_052/feedback/summary.json
case_090,legacy,success,243470,234641,234641,13,13,True,13,13,3.48417241696734,3.5632882500067353,3.566022959072143,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/legacy/solve/evaluations/attempts/20260925T152525-3643546bcaf649b288ab5712cc7b9943/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/legacy/solve/evaluations/attempts/20260925T152525-3643546bcaf649b288ab5712cc7b9943/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/legacy/summary.json
case_090,joint,success,243470,232265,232265,13,13,True,13,13,3.460378999938257,3.5085183340124786,3.511212582932785,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/joint/solve/evaluations/attempts/20260925T152521-bec713ba925847f7aedf8f0e7d4fe54a/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/joint/solve/evaluations/attempts/20260925T152521-bec713ba925847f7aedf8f0e7d4fe54a/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/joint/summary.json
case_090,feedback,success,243470,237205,237205,13,13,True,13,13,3.657276042038575,3.713950541918166,3.7165640000021085,budget_or_candidates,0,0,0,0,0,False,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/第五轮成果/方案/p3/n5/case_090_multicore_res.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/feedback/solve/evaluations/attempts/20260925T152529-b907e15975d1416a808e8bd9e2c37ccd/plan.json,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/feedback/solve/evaluations/attempts/20260925T152529-b907e15975d1416a808e8bd9e2c37ccd/official_result.json.gz,,,/Users/liyu/Desktop/中文题目/A题研究/直接迭代/运行结果/P3可移植复跑_v1/case_090/feedback/summary.json
