batch,configs,logical_calls,new_calls,wall_seconds
P3反馈回归_v2,90,981,6,9.032827833900228
P3反馈验证_v1,60,599,264,370.8412442089757
P3可移植复跑_v1,9,117,115,22.127764708013274
P23从头验证_v1,16,170,170,107.1339846670162
推广反馈P2_v1,7,7,7,11.080936124897562
反馈独立复评_v1,4,4,4,2.034238332998939
