case,problem,cores,method,control,method_status,control_status,method_time,control_time,reduction_pct
case_060,2,5,budget_beam,wide_legacy,success,success,164455,164455,0.0
case_009,2,5,budget_beam,wide_legacy,success,success,75349,77091,2.2596671466189266
case_040,2,5,budget_beam,wide_legacy,success,success,103922,103829,-0.08957035125061186
case_074,2,5,budget_beam,wide_legacy,success,success,329790,329790,0.0
case_021,2,5,budget_beam,wide_legacy,success,success,1250168,1250168,0.0
case_021,3,5,local_legacy,baseline,success,success,1249311,1249311,0.0
case_040,3,5,local_legacy,baseline,success,success,93494,93482,-0.012836695834494982
case_009,3,5,local_legacy,baseline,success,success,72906,72876,-0.04116581590647428
case_094,3,5,local_legacy,baseline,success,success,16243,16819,3.424698257922587
case_029,3,5,local_legacy,baseline,success,success,9383,9383,0.0
case_060,3,5,local_legacy,baseline,success,success,160246,160258,0.007487925719773525
case_074,3,5,local_legacy,baseline,success,success,326679,326680,0.00030610995469526614
case_058,3,5,local_legacy,baseline,success,success,898391,912018,1.4941591065088633
case_074,3,5,budget_greedy,baseline,success,success,326680,326680,0.0
case_029,3,5,budget_greedy,baseline,success,success,9383,9383,0.0
case_021,3,5,budget_greedy,baseline,success,success,1249311,1249311,0.0
case_058,3,5,budget_greedy,baseline,success,success,910680,912018,0.14670763077044846
case_060,3,5,budget_greedy,baseline,success,success,160246,160258,0.007487925719773525
case_009,3,5,budget_greedy,baseline,success,success,72912,72876,-0.04939897908775581
case_094,3,5,budget_greedy,baseline,success,success,16243,16819,3.424698257922587
case_040,3,5,budget_greedy,baseline,success,success,93494,93482,-0.012836695834494982
case_060,3,5,budget_beam,baseline,success,success,160246,160258,0.007487925719773525
case_029,3,5,budget_beam,baseline,success,success,9383,9383,0.0
case_040,3,5,budget_beam,baseline,success,success,93564,93482,-0.08771742153570461
case_094,3,5,budget_beam,baseline,success,success,16243,16819,3.424698257922587
case_021,3,5,budget_beam,baseline,success,success,1249380,1249311,-0.00552304430201378
case_009,3,5,budget_beam,baseline,success,success,72912,72876,-0.04939897908775581
case_074,3,5,budget_beam,baseline,success,success,326679,326680,0.00030610995469526614
case_058,3,5,budget_beam,baseline,success,success,910579,912018,0.15778197360140078
case_074,3,5,budget_greedy,local_legacy,success,success,326680,326679,-0.0003061108917234989
case_029,3,5,budget_greedy,local_legacy,success,success,9383,9383,0.0
case_021,3,5,budget_greedy,local_legacy,success,success,1249311,1249311,0.0
case_058,3,5,budget_greedy,local_legacy,success,success,910680,898391,-1.3678899276595713
case_060,3,5,budget_greedy,local_legacy,success,success,160246,160246,0.0
case_009,3,5,budget_greedy,local_legacy,success,success,72912,72906,-0.008229775327128763
case_094,3,5,budget_greedy,local_legacy,success,success,16243,16243,0.0
case_040,3,5,budget_greedy,local_legacy,success,success,93494,93494,0.0
case_060,3,5,budget_beam,local_legacy,success,success,160246,160246,0.0
case_029,3,5,budget_beam,local_legacy,success,success,9383,9383,0.0
case_040,3,5,budget_beam,local_legacy,success,success,93564,93494,-0.07487111472392893
case_094,3,5,budget_beam,local_legacy,success,success,16243,16243,0.0
case_021,3,5,budget_beam,local_legacy,success,success,1249380,1249311,-0.00552304430201378
case_009,3,5,budget_beam,local_legacy,success,success,72912,72906,-0.008229775327128763
case_074,3,5,budget_beam,local_legacy,success,success,326679,326679,0.0
case_058,3,5,budget_beam,local_legacy,success,success,910579,898391,-1.3566476066656952
case_060,3,5,budget_beam,budget_greedy,success,success,160246,160246,0.0
case_029,3,5,budget_beam,budget_greedy,success,success,9383,9383,0.0
case_040,3,5,budget_beam,budget_greedy,success,success,93564,93494,-0.07487111472392893
case_094,3,5,budget_beam,budget_greedy,success,success,16243,16243,0.0
case_021,3,5,budget_beam,budget_greedy,success,success,1249380,1249311,-0.00552304430201378
case_009,3,5,budget_beam,budget_greedy,success,success,72912,72912,0.0
case_074,3,5,budget_beam,budget_greedy,success,success,326679,326680,0.00030610995469526614
case_058,3,5,budget_beam,budget_greedy,success,success,910579,910680,0.011090613607411814
case_021,3,5,wide_legacy,baseline,success,success,1249311,1249311,0.0
case_060,3,5,wide_legacy,baseline,success,success,160246,160258,0.007487925719773525
case_058,3,5,wide_legacy,baseline,success,success,898391,912018,1.4941591065088633
case_094,3,5,wide_legacy,baseline,success,success,16243,16819,3.424698257922587
case_029,3,5,wide_legacy,baseline,success,success,9383,9383,0.0
case_074,3,5,wide_legacy,baseline,success,success,326680,326680,0.0
case_009,3,5,wide_legacy,baseline,success,success,72906,72876,-0.04116581590647428
case_040,3,5,wide_legacy,baseline,success,success,93494,93482,-0.012836695834494982
case_021,3,5,wide_legacy,local_legacy,success,success,1249311,1249311,0.0
case_060,3,5,wide_legacy,local_legacy,success,success,160246,160246,0.0
case_058,3,5,wide_legacy,local_legacy,success,success,898391,898391,0.0
case_094,3,5,wide_legacy,local_legacy,success,success,16243,16243,0.0
case_029,3,5,wide_legacy,local_legacy,success,success,9383,9383,0.0
case_074,3,5,wide_legacy,local_legacy,success,success,326680,326679,-0.0003061108917234989
case_009,3,5,wide_legacy,local_legacy,success,success,72906,72906,0.0
case_040,3,5,wide_legacy,local_legacy,success,success,93494,93494,0.0
case_074,3,5,budget_greedy,wide_legacy,success,success,326680,326680,0.0
case_029,3,5,budget_greedy,wide_legacy,success,success,9383,9383,0.0
case_021,3,5,budget_greedy,wide_legacy,success,success,1249311,1249311,0.0
case_058,3,5,budget_greedy,wide_legacy,success,success,910680,898391,-1.3678899276595713
case_060,3,5,budget_greedy,wide_legacy,success,success,160246,160246,0.0
case_009,3,5,budget_greedy,wide_legacy,success,success,72912,72906,-0.008229775327128763
case_094,3,5,budget_greedy,wide_legacy,success,success,16243,16243,0.0
case_040,3,5,budget_greedy,wide_legacy,success,success,93494,93494,0.0
case_060,3,5,budget_beam,wide_legacy,success,success,160246,160246,0.0
case_029,3,5,budget_beam,wide_legacy,success,success,9383,9383,0.0
case_040,3,5,budget_beam,wide_legacy,success,success,93564,93494,-0.07487111472392893
case_094,3,5,budget_beam,wide_legacy,success,success,16243,16243,0.0
case_021,3,5,budget_beam,wide_legacy,success,success,1249380,1249311,-0.00552304430201378
case_009,3,5,budget_beam,wide_legacy,success,success,72912,72906,-0.008229775327128763
case_074,3,5,budget_beam,wide_legacy,success,success,326679,326680,0.00030610995469526614
case_058,3,5,budget_beam,wide_legacy,success,success,910579,898391,-1.3566476066656952
