case,problem,cores,method,call,phase,status,best_makespan
case_021,3,5,wide_legacy,5,wcc_probe,success,1249380
case_021,3,5,wide_legacy,6,operation,success,1249380
case_021,3,5,wide_legacy,7,legacy,success,1249380
case_021,3,5,wide_legacy,8,legacy,success,1249311
case_021,3,5,wide_legacy,9,structure,success,1249311
case_021,3,5,wide_legacy,10,legacy,success,1249311
case_021,3,5,wide_legacy,11,legacy,success,1249311
case_021,3,5,wide_legacy,12,legacy,success,1249311
case_074,2,5,budget_greedy,1,component,success,345470
case_074,2,5,budget_greedy,2,component,success,345470
case_074,2,5,budget_greedy,3,wcc,success,340460
case_074,2,5,budget_greedy,4,wcc,success,340460
case_074,2,5,budget_greedy,5,wcc_probe,success,333090
case_074,2,5,budget_greedy,6,operation,success,333090
case_074,2,5,budget_greedy,7,structure,success,333090
case_074,2,5,budget_greedy,8,structure_pair,success,329790
case_074,2,5,budget_greedy,9,legacy,success,329790
case_074,2,5,budget_greedy,10,data,success,329505
case_074,2,5,budget_greedy,11,structure,success,329505
case_074,2,5,budget_greedy,12,region,success,329505
case_029,2,5,baseline,1,component,success,9383
case_029,2,5,baseline,2,component,success,9383
case_029,2,5,baseline,3,operation,success,9383
case_029,2,5,baseline,4,operation,success,9383
case_029,2,5,baseline,5,trace,success,9383
case_029,2,5,baseline,6,trace,success,9383
case_029,2,5,baseline,7,trace,success,9383
case_029,2,5,baseline,8,trace,success,9383
case_029,2,5,baseline,9,trace,success,9383
case_029,2,5,baseline,10,trace,success,9383
case_029,2,5,baseline,11,trace,success,9383
case_029,2,5,baseline,12,trace,success,9383
case_060,3,5,wide_legacy,1,component,success,182869
case_060,3,5,wide_legacy,2,component,success,182869
case_060,3,5,wide_legacy,3,wcc,success,182869
case_060,3,5,wide_legacy,4,wcc,success,178118
case_060,3,5,wide_legacy,5,component,success,178118
case_060,3,5,wide_legacy,6,wcc,success,160258
case_060,3,5,wide_legacy,7,legacy,success,160258
case_060,3,5,wide_legacy,8,legacy,success,160246
case_060,3,5,wide_legacy,9,structure,success,160246
case_060,3,5,wide_legacy,10,legacy,success,160246
case_060,3,5,wide_legacy,11,legacy,success,160246
case_060,3,5,wide_legacy,12,legacy,success,160246
case_060,3,5,budget_beam,1,component,success,182869
case_060,3,5,budget_beam,2,component,success,182869
case_060,3,5,budget_beam,3,wcc,success,182869
case_060,3,5,budget_beam,4,wcc,success,178118
case_060,3,5,budget_beam,5,component,success,178118
case_060,3,5,budget_beam,6,wcc,success,160258
case_060,3,5,budget_beam,7,structure,success,160258
case_060,3,5,budget_beam,8,legacy,success,160258
case_060,3,5,budget_beam,9,data,success,160246
case_060,3,5,budget_beam,10,structure,success,160246
case_060,3,5,budget_beam,11,region,success,160246
case_060,3,5,budget_beam,12,region,success,160246
case_058,2,5,budget_beam,1,component,success,1004819
case_058,2,5,budget_beam,2,component,success,1004819
case_058,2,5,budget_beam,3,wcc,success,1004819
case_058,2,5,budget_beam,4,wcc,success,1004819
case_058,2,5,budget_beam,5,component,success,933280
case_058,2,5,budget_beam,6,wcc,success,933280
case_058,2,5,budget_beam,7,structure,success,933280
case_058,2,5,budget_beam,8,legacy,success,933280
case_058,2,5,budget_beam,9,data,success,933205
case_058,2,5,budget_beam,10,structure,success,933205
