problem,method,runs,successes,calls,fresh,failed_calls,generation_errors,total_run_seconds,median_run_seconds
2,baseline,8,8,96,96,0,0,93.51360850012861,8.281648937554564
2,budget_beam,8,8,96,96,0,0,153.71572495799046,14.21807262499351
2,budget_greedy,8,8,96,96,0,0,150.33057829085737,13.47744133300148
2,local_legacy,8,8,96,96,0,0,115.98738412605599,10.54477781249443
2,wide_legacy,8,8,96,96,0,0,107.6772566678701,10.88508831296349
3,baseline,8,8,96,96,0,0,100.17443991603795,9.55737685400527
3,budget_beam,8,8,96,96,0,0,163.18989395780955,15.482112541445531
3,budget_greedy,8,8,96,96,0,0,160.59057154215407,14.037640875030775
3,local_legacy,8,8,96,96,0,0,127.60622316598892,11.272591749497224
3,wide_legacy,8,8,96,96,0,0,136.38078074995428,11.253175791469403
