problem,method,runs,successes,calls,fresh,failed_calls,generation_errors,total_run_seconds,median_run_seconds
1,baseline,1,1,24,24,0,0,35.40134420897812,35.40134420897812
1,integrated,1,1,24,24,0,0,58.556775207980536,58.556775207980536
2,baseline,1,1,20,20,0,0,3.1657797909574583,3.1657797909574583
2,integrated,1,1,24,24,0,0,4.579368915990926,4.579368915990926
3,baseline,1,1,20,20,0,0,3.201428166939877,3.201428166939877
3,integrated,1,1,24,24,0,0,4.926312500028871,4.926312500028871
