case,problem,cores,method,call,phase,status,best_makespan
case_067,1,5,integrated,1,component,success,15967384
case_067,1,5,integrated,2,component,success,15233731
case_067,1,5,integrated,3,component,success,15233731
case_067,1,5,integrated,4,partition,success,15233731
case_067,1,5,integrated,5,task_refine,success,15233731
case_067,1,5,integrated,6,task_refine,success,15233731
case_067,1,5,integrated,7,joint,success,15152310
case_067,1,5,integrated,8,structure,success,15152310
case_067,1,5,integrated,9,joint,success,14978053
case_067,1,5,integrated,10,legacy,success,14776231
case_067,1,5,integrated,11,joint,success,14756232
case_067,1,5,integrated,12,structure,success,14756232
case_032,1,5,baseline,1,component,success,10415
case_032,1,5,baseline,2,component,success,10415
case_032,1,5,baseline,3,partition,success,10415
case_032,1,5,baseline,4,partition,success,10415
case_032,1,5,baseline,5,task_refine,success,10415
case_032,1,5,baseline,6,task_refine,success,10415
case_019,1,5,integrated,1,component,success,24169
case_019,1,5,integrated,2,component,success,24169
case_019,1,5,integrated,3,component,success,24169
case_019,1,5,integrated,4,partition,success,24169
case_019,1,5,integrated,5,task_refine,success,24169
case_019,1,5,integrated,6,partition_fallback,success,24169
case_019,1,5,integrated,7,joint,success,22867
case_019,1,5,integrated,8,structure,success,19414
case_019,1,5,integrated,9,joint,success,19414
case_019,1,5,integrated,10,legacy,success,19414
case_019,1,5,integrated,11,joint,success,19414
case_019,1,5,integrated,12,structure,success,19414
case_035,1,5,baseline,1,component,success,95460
case_035,1,5,baseline,2,component,success,95460
case_035,1,5,baseline,3,component,success,95460
case_035,1,5,baseline,4,partition,success,95424
case_035,1,5,baseline,5,partition,success,95424
case_035,1,5,baseline,6,partition,success,90079
case_035,1,5,baseline,7,partition,success,90079
case_035,1,5,baseline,8,partition,success,90079
case_035,1,5,baseline,9,task_refine,success,90079
case_035,1,5,baseline,10,task_refine,success,90079
case_035,1,5,baseline,11,task_refine,success,90079
case_035,1,5,baseline,12,task_refine,success,90079
case_040,1,5,baseline,1,component,success,110337
case_040,1,5,baseline,2,component,success,110337
case_040,1,5,baseline,3,component,success,110337
case_040,1,5,baseline,4,partition,success,110105
case_040,1,5,baseline,5,partition,success,110105
case_040,1,5,baseline,6,partition,success,110105
case_040,1,5,baseline,7,partition,success,110105
case_040,1,5,baseline,8,partition,success,110105
case_040,1,5,baseline,9,tensor,success,110105
case_040,1,5,baseline,10,tensor,success,110105
case_040,1,5,baseline,11,task_refine,success,110105
case_040,1,5,baseline,12,task_refine,success,110105
case_096,1,5,integrated,1,component,success,27053
case_096,1,5,integrated,2,component,success,27053
case_096,1,5,integrated,3,component,success,27019
case_096,1,5,integrated,4,partition,success,27019
case_096,1,5,integrated,5,task_refine,success,27019
case_096,1,5,integrated,6,task_refine,success,27019
case_096,1,5,integrated,7,joint,success,27019
case_096,1,5,integrated,8,structure,success,27019
case_096,1,5,integrated,9,joint,success,24966
case_096,1,5,integrated,10,legacy,success,24966
case_096,1,5,integrated,11,joint,success,24966
case_096,1,5,integrated,12,structure,success,24966
case_067,1,5,baseline,1,component,success,15967384
case_067,1,5,baseline,2,component,success,15233731
case_067,1,5,baseline,3,component,success,15233731
case_067,1,5,baseline,4,partition,success,15233731
case_067,1,5,baseline,5,task_refine,success,15233731
case_067,1,5,baseline,6,task_refine,success,15233731
case_067,1,5,baseline,7,task_refine,success,15233731
case_067,1,5,baseline,8,task_refine,success,15233731
case_072,1,5,baseline,1,component,success,4767943
case_072,1,5,baseline,2,component,timeout,4767943
case_072,1,5,baseline,3,component,timeout,4767943
case_072,1,5,baseline,4,partition,success,4767943
