case,problem,cores,group,strong_time,joint_time,winner,reduction_pct,strong_calls,joint_calls,strong_seconds,joint_seconds,strong_failures,joint_failures
case_094,1,5,development,20730,21332,strong,-2.9040038591413353,16,16,7.087207159987884,6.288864646019647,0,0
case_051,3,5,development,181583,179995,joint,0.8745312061151145,16,16,8.389458012999967,9.041644159005955,0,0
case_077,1,5,validation,116241,116241,tie,0.0,16,16,52.87479602498934,58.914876619004644,0,0
case_009,2,4,lowcore,62293,61588,joint,1.1317483505369763,16,16,30.22734602499986,38.80705528400722,0,0
case_006,2,5,development,31729,31729,tie,0.0,16,16,4.371130134008126,5.198840607015882,0,0
case_051,3,3,lowcore,227940,227940,tie,0.0,16,16,6.9575502229854465,8.01674640001147,0,0
case_012,1,5,validation,12786,12786,tie,0.0,16,16,8.452509652008303,9.341965205007,0,0
case_051,1,3,lowcore,312423,312423,tie,0.0,16,16,11.114022456022212,12.935390549013391,0,0
case_095,2,4,lowcore,273250,273250,tie,0.0,16,16,29.13451981401886,35.120608030003496,0,0
case_044,3,5,development,68361,80374,strong,-17.572885124559324,16,16,8.512050537014147,9.616413276991807,0,0
case_095,3,5,development,220188,220188,tie,0.0,16,16,35.70352148998063,36.53147547401022,0,0
case_044,2,5,development,82112,82112,tie,0.0,16,16,8.97667140798876,8.253401599009521,0,0
case_022,2,5,validation,11654,11654,tie,0.0,16,16,8.104641000012634,8.920640866999747,0,0
case_095,2,5,development,220188,220188,tie,0.0,16,16,32.58772153800237,34.783319479989586,0,0
case_028,1,5,validation,9764657,9764657,tie,0.0,10,11,183.1287205159897,180.2214748269762,1,2
case_089,2,5,validation,118946,118946,tie,0.0,16,16,23.74541602501995,29.572286711016204,0,0
case_095,1,3,lowcore,695775,695775,tie,0.0,16,16,55.2403623140126,57.558601117983926,0,0
case_099,3,5,validation,322542,322542,tie,0.0,16,16,46.18595948498114,60.77633390799747,0,0
case_047,1,5,development,326508,326508,tie,0.0,6,6,180.17599199397955,185.8277118919941,1,0
case_009,3,4,lowcore,80801,78916,joint,2.332891919654456,16,16,32.90663391997805,41.66226631301106,0,0
case_065,2,5,validation,8714,8714,tie,0.0,16,16,4.688693509990117,5.717206305998843,0,0
case_044,1,5,development,99310,99310,tie,0.0,16,16,8.958849118993385,9.544723905972205,0,0
case_022,1,5,validation,11724,11828,strong,-0.8870692596383511,16,16,12.17984015098773,11.67651381000178,0,0
case_006,3,5,development,31729,31729,tie,0.0,16,16,5.219128850003472,5.363735261023976,0,0
case_009,1,4,lowcore,84913,85399,strong,-0.5723505234769721,16,16,71.45993968800758,79.02183910299209,0,0
case_046,2,3,lowcore,79308,79308,tie,0.0,16,16,4.983530444005737,6.429063428979134,0,0
case_017,2,5,validation,28295,28295,tie,0.0,16,16,7.533318075991701,10.444190422014799,0,0
case_046,2,4,lowcore,77846,77846,tie,0.0,15,16,4.525220203999197,5.637659861997236,0,0
case_064,1,5,development,15155,15155,tie,0.0,16,16,7.15625169800478,7.175318102003075,0,0
case_042,2,5,validation,358905,354804,joint,1.1426422033685824,16,16,28.69755958102178,41.5835076829826,0,0
case_046,2,5,development,77846,77846,tie,0.0,16,16,5.029261593997944,5.961383688001661,0,0
case_085,1,5,development,2760933,2760933,tie,0.0,6,6,180.24966535298154,192.8635165200103,4,3
case_034,2,5,validation,159524,158846,joint,0.42501441789323247,16,16,22.987601707020076,29.750793074985268,0,0
case_009,1,3,lowcore,86698,86763,strong,-0.07497289441509292,16,16,69.22444506699685,76.3990464139788,0,0
case_051,3,2,lowcore,318398,318398,tie,0.0,16,16,6.98856853498728,8.032714200002374,0,0
case_017,1,5,validation,35496,35496,tie,0.0,16,16,11.746638870012248,12.353265523997834,0,0
case_064,2,5,development,8559,8558,joint,0.0116836078981164,16,16,5.129105586995138,5.512390218995279,0,0
case_089,3,5,validation,119788,118946,joint,0.7029084716332235,16,16,22.0135683970002,31.253430172015214,0,0
case_075,2,5,development,396278,396228,joint,0.012617404953085831,16,16,62.93883500099764,74.68666956000379,0,0
case_094,3,5,development,16819,16819,tie,0.0,16,16,4.287061965005705,5.510944229987217,0,0
case_077,2,5,validation,110038,108214,joint,1.6576091895527,16,16,18.673383649002062,29.353933716978645,0,0
case_034,1,5,validation,165049,165049,tie,0.0,16,16,50.1776581669983,52.49106291399221,0,0
case_051,1,2,lowcore,381670,381670,tie,0.0,16,16,10.895790084003238,14.001011137006572,0,0
case_069,2,5,development,11517,11487,joint,0.2604845011721757,16,16,5.28401664699777,7.461346063006204,0,0
case_051,3,4,lowcore,178974,178974,tie,0.0,16,16,7.331029788008891,8.075721114990301,0,0
case_002,2,5,validation,51909,51904,joint,0.00963224103720517,16,16,7.9626389180193655,11.187573587987572,0,0
case_009,1,5,development,81267,81267,tie,0.0,16,16,68.35905962999095,69.05425769099384,0,0
case_034,3,5,validation,159117,158621,joint,0.31172030644117665,16,16,22.077289918001043,31.076518641988514,0,0
case_047,3,5,development,115843,115843,tie,0.0,16,16,90.98389454101562,127.54630182200344,0,0
case_095,2,3,lowcore,361155,361155,tie,0.0,16,16,28.181738737010164,33.28614070700132,0,0
case_028,2,5,validation,8732165,8250713,joint,5.513546755014365,16,16,123.28547699097544,171.32550238398835,0,0
case_099,1,5,validation,331480,331480,tie,0.0,16,16,119.81292034100625,125.34896780000417,0,0
