case,problem,cores,group,strong_time,joint_time,winner,reduction_pct,strong_calls,joint_calls,strong_seconds,joint_seconds,strong_failures,joint_failures
case_065,3,5,validation,8335,8334,joint,0.011997600479907167,16,16,4.679226788983215,5.6703782149998005,0,0
case_046,3,5,development,77846,77846,tie,0.0,16,16,5.009678383008577,6.272776280005928,0,0
case_012,2,5,validation,12279,12090,joint,1.539213290984609,16,16,5.961903193994658,7.886535438999999,0,0
case_057,3,5,validation,14372,14372,tie,0.0,16,16,5.048137689009309,6.861627350008348,0,0
case_046,3,3,lowcore,79308,79308,tie,0.0,16,16,5.198114345985232,6.123795001010876,0,0
case_077,3,5,validation,110038,108214,joint,1.6576091895527,16,16,19.63129486501566,30.09090689799632,0,0
case_095,3,3,lowcore,361155,361155,tie,0.0,16,16,29.19521017599618,36.05274729797384,0,0
case_009,2,5,development,52200,51517,joint,1.308429118773946,16,16,30.583873397001298,40.16723199299304,0,0
case_075,3,5,development,409283,409283,tie,0.0,16,16,66.75703521198011,81.6673327999888,0,0
case_006,1,5,development,25366,25366,tie,0.0,16,16,6.59144242000184,7.165635679004481,0,0
case_069,1,5,development,15434,15514,strong,-0.518336140987441,16,16,8.797357874980662,9.320789140998386,0,0
case_051,2,3,lowcore,228533,228533,tie,0.0,16,16,6.427056009997614,7.526675943983719,0,0
case_046,1,5,development,124612,124612,tie,0.0,16,16,6.287923290015897,7.740699791989755,0,0
case_065,1,5,validation,10443,10443,tie,0.0,16,16,5.9441748969838955,6.482892013009405,0,0
case_042,1,5,validation,337038,343752,strong,-1.9920602424652323,16,16,59.33232570599648,59.439453580009285,0,0
case_022,3,5,validation,11820,11820,tie,0.0,16,16,7.16290845599724,9.456329405016731,0,0
case_012,3,5,validation,12272,12045,joint,1.849739243807036,16,16,6.232294814020861,8.006142651982373,0,0
case_089,1,5,validation,147432,147432,tie,0.0,16,16,32.43843937900965,29.38994927800377,0,0
case_085,2,5,development,881711,881711,tie,0.0,12,12,180.3127243949857,180.3150233589986,1,1
case_085,3,5,development,918123,918123,tie,0.0,12,11,180.47561233097804,180.73949700398953,1,1
case_069,3,5,development,10673,10668,joint,0.0468471844842111,16,16,5.621509972988861,6.799097682000138,0,0
case_046,1,4,lowcore,120451,120451,tie,0.0,16,16,6.375734034983907,7.241309791017557,0,0
case_051,1,4,lowcore,288232,288232,tie,0.0,16,16,11.746275077981409,13.585918099997798,0,0
case_009,2,3,lowcore,85607,81783,joint,4.4669244337495755,16,16,26.912812065012986,36.821133883990115,0,0
case_009,3,2,lowcore,80734,80734,tie,0.0,16,16,27.621552453987533,39.40644447601517,0,0
case_095,3,2,lowcore,539178,539178,tie,0.0,16,16,29.72173071600264,37.792148458975134,0,0
case_009,3,3,lowcore,85598,82017,joint,4.183508960489735,16,16,29.430828006996308,36.242503866000334,0,0
case_046,1,2,lowcore,140273,140273,tie,0.0,16,16,5.942567182995845,6.843281109991949,0,0
case_009,1,2,lowcore,89561,91658,strong,-2.341420930985594,16,16,67.81129749698448,77.99220308399526,0,0
case_051,2,2,lowcore,319230,319230,tie,0.0,16,16,6.716348289017333,7.057751696003834,0,0
case_099,2,5,validation,327678,327678,tie,0.0,16,16,41.028229645016836,55.091773705993546,0,0
case_095,3,4,lowcore,273250,273250,tie,0.0,16,16,30.79482903101598,38.97198217001278,0,0
case_095,1,5,development,420852,420852,tie,0.0,16,16,44.20650324597955,53.08002669599955,0,0
case_047,2,5,development,100309,99901,joint,0.4067431636244012,16,16,85.40286751301028,111.59353117400315,0,0
case_046,3,4,lowcore,77846,75641,joint,2.832515479279607,15,16,4.68074496902409,7.172607174987206,0,0
case_075,1,5,development,616955,732513,strong,-18.73037741812611,16,13,180.09714887299924,180.0682689390087,1,0
case_028,3,5,validation,8523550,8182832,joint,3.9973719870241897,16,15,137.2010205250117,182.51751636399422,0,0
case_051,1,5,development,259576,259576,tie,0.0,16,16,11.746773374994518,13.61174577800557,0,0
case_002,3,5,validation,59289,59282,joint,0.01180657457539036,16,16,10.472311666992027,12.859728701005224,0,0
case_046,1,3,lowcore,124751,133411,strong,-6.941828121618254,16,16,6.21619480199297,7.318334936979227,0,0
case_095,1,4,lowcore,524422,524422,tie,0.0,16,16,46.856018448015675,53.28398539900081,0,0
case_051,2,4,lowcore,179465,179465,tie,0.0,16,16,6.963549488020362,7.510135666991118,0,0
case_042,3,5,validation,352216,348844,joint,0.9573670702069159,16,16,29.004664378007874,41.4851449940179,0,0
case_009,3,5,development,72876,70269,joint,3.577309402272355,16,16,32.690440156991826,46.73081861200626,0,0
case_009,2,2,lowcore,80734,80734,tie,0.0,16,16,27.891186802007724,34.527889427001355,0,0
case_017,3,5,validation,28049,28045,joint,0.014260757959283499,16,16,8.25025137301418,9.925831748987548,0,0
case_064,3,5,development,8867,8867,tie,0.0,16,16,5.910311195009854,6.395294932008255,0,0
case_057,1,5,validation,14028,14028,tie,0.0,16,16,7.628722670982825,7.659580624982482,0,0
case_046,2,2,lowcore,105322,105322,tie,0.0,13,16,4.489492058986798,5.708686869998928,0,0
case_051,2,5,development,180878,179213,joint,0.9205099569875808,16,16,7.426820888009388,8.197775617009029,0,0
case_057,2,5,validation,14372,14372,tie,0.0,16,16,5.188558977999492,7.215102237008978,0,0
case_046,3,2,lowcore,105322,105322,tie,0.0,13,16,4.078012785001192,6.319017199974041,0,0
case_002,1,5,validation,65443,65443,tie,0.0,16,16,20.19779594099964,17.74980254197726,0,0
case_095,1,2,lowcore,1042860,1042860,tie,0.0,16,16,61.377039674000116,65.30695891400683,0,0
case_094,2,5,development,17755,17755,tie,0.0,16,16,4.561646804999327,5.403766655974323,0,0
case_095,2,2,lowcore,539178,539178,tie,0.0,16,16,28.843261675996473,35.37522454399732,0,0
