case,problem,cores,group,variant,observed_prefix,calls,makespan,note
case_051,1,2,lowcore,joint,8,8,381670,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,2,lowcore,joint,12,12,381670,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,2,lowcore,joint,16,16,381670,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,5,development,joint,8,8,74700,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,5,development,joint,12,12,72876,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,5,development,joint,16,16,70269,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,5,development,strong,8,8,180878,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,5,development,strong,12,12,180878,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,5,development,strong,16,16,180878,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,5,development,joint,8,8,92391,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,5,development,joint,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,5,development,joint,16,16,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,1,5,validation,joint,8,8,14055,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,1,5,validation,joint,12,12,14028,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,1,5,validation,joint,16,16,14028,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,2,5,validation,strong,8,8,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,2,5,validation,strong,12,12,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_057,2,5,validation,strong,16,16,14372,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,2,5,validation,joint,8,8,59668,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,2,5,validation,joint,12,12,51909,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,2,5,validation,joint,16,16,51904,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,2,lowcore,strong,8,8,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,2,lowcore,strong,12,12,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,3,2,lowcore,strong,16,13,105322,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,2,5,validation,joint,8,8,30702,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,2,5,validation,joint,12,12,28330,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,2,5,validation,joint,16,16,28295,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,3,5,validation,joint,8,8,9447245,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,3,5,validation,joint,12,12,8946507,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,3,5,validation,joint,16,15,8182832,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,1,5,validation,strong,8,8,66289,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,1,5,validation,strong,12,12,65443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_002,1,5,validation,strong,16,16,65443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,2,lowcore,strong,8,8,1042860,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,2,lowcore,strong,12,12,1042860,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,2,lowcore,strong,16,16,1042860,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,4,lowcore,joint,8,8,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,4,lowcore,joint,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,4,lowcore,joint,16,16,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,1,5,validation,joint,8,8,343752,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,1,5,validation,joint,12,12,343752,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,1,5,validation,joint,16,16,343752,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,2,5,validation,joint,8,8,9007,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,2,5,validation,joint,12,12,8714,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,2,5,validation,joint,16,16,8714,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,2,5,development,strong,8,8,17755,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,2,5,development,strong,12,12,17755,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,2,5,development,strong,16,16,17755,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,1,5,validation,joint,8,8,11828,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,1,5,validation,joint,12,12,11828,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,1,5,validation,joint,16,16,11828,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,5,development,joint,8,8,420852,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,5,development,joint,12,12,420852,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,5,development,joint,16,16,420852,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,2,5,development,joint,8,8,422030,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,2,5,development,joint,12,12,396278,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,2,5,development,joint,16,16,396228,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,2,5,development,joint,8,8,8945,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,2,5,development,joint,12,12,8559,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,2,5,development,joint,16,16,8558,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,2,5,development,joint,8,8,127203,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,2,5,development,joint,12,12,100309,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,2,5,development,joint,16,16,99901,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,2,lowcore,strong,8,8,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,2,lowcore,strong,12,12,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,2,lowcore,strong,16,16,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,5,development,joint,8,8,77091,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,5,development,joint,12,12,52200,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,5,development,joint,16,16,51517,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,3,5,validation,joint,8,8,119851,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,3,5,validation,joint,12,12,119788,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,3,5,validation,joint,16,16,118946,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,1,5,development,strong,8,8,22410,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,1,5,development,strong,12,12,21332,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,1,5,development,strong,16,16,20730,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,5,development,strong,8,8,181583,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,5,development,strong,12,12,181583,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,5,development,strong,16,16,181583,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,2,lowcore,joint,8,8,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,2,lowcore,joint,12,12,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,2,lowcore,joint,16,16,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,4,lowcore,joint,8,8,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,4,lowcore,joint,12,12,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,4,lowcore,joint,16,16,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,1,5,validation,strong,8,8,116241,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,1,5,validation,strong,12,12,116241,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,1,5,validation,strong,16,16,116241,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,4,lowcore,strong,8,8,84037,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,4,lowcore,strong,12,12,62293,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,4,lowcore,strong,16,16,62293,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,4,lowcore,joint,8,8,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,4,lowcore,joint,12,12,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,4,lowcore,joint,16,16,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,2,5,development,strong,8,8,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,2,5,development,strong,12,12,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,2,5,development,strong,16,16,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,1,5,validation,joint,8,8,116241,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,1,5,validation,joint,12,12,116241,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,1,5,validation,joint,16,16,116241,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,3,lowcore,joint,8,8,695775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,3,lowcore,joint,12,12,695775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,3,lowcore,joint,16,16,695775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,3,5,validation,joint,8,8,110038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,3,5,validation,joint,12,12,110038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,3,5,validation,joint,16,16,108214,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,1,5,validation,joint,8,8,35496,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,1,5,validation,joint,12,12,35496,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,1,5,validation,joint,16,16,35496,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,5,development,joint,8,8,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,5,development,joint,12,12,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,5,development,joint,16,16,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,1,5,development,joint,8,8,16672,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,1,5,development,joint,12,12,15690,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,1,5,development,joint,16,16,15514,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,3,lowcore,strong,8,8,227940,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,3,lowcore,strong,12,12,227940,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,3,lowcore,strong,16,16,227940,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,1,5,validation,strong,8,8,12786,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,1,5,validation,strong,12,12,12786,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,1,5,validation,strong,16,16,12786,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,3,5,validation,joint,8,8,30702,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,3,5,validation,joint,12,12,28049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,3,5,validation,joint,16,16,28045,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,5,development,joint,8,8,180878,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,5,development,joint,12,12,180878,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,5,development,joint,16,16,179213,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,3,lowcore,strong,8,8,312423,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,3,lowcore,strong,12,12,312423,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,3,lowcore,strong,16,16,312423,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,4,lowcore,strong,8,8,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,4,lowcore,strong,12,12,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,4,lowcore,strong,16,16,273250,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,1,5,development,joint,8,6,326508,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,1,5,development,joint,12,6,326508,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,1,5,development,joint,16,6,326508,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,3,5,development,strong,8,8,82008,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,3,5,development,strong,12,12,81970,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,3,5,development,strong,16,16,68361,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,3,5,development,joint,8,8,928690,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,3,5,development,joint,12,11,918123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,3,5,development,joint,16,11,918123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,5,development,strong,8,8,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,5,development,strong,12,12,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,3,5,development,strong,16,16,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,2,5,development,strong,8,8,82150,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,2,5,development,strong,12,12,82112,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,2,5,development,strong,16,16,82112,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,2,5,validation,strong,8,8,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,2,5,validation,strong,12,12,11654,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,2,5,validation,strong,16,16,11654,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,5,development,strong,8,8,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,5,development,strong,12,12,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,5,development,strong,16,16,220188,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,1,5,validation,strong,8,8,10074287,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,1,5,validation,strong,12,10,9764657,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_028,1,5,validation,strong,16,10,9764657,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,2,5,validation,strong,8,8,119851,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,2,5,validation,strong,12,12,118946,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,2,5,validation,strong,16,16,118946,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,3,lowcore,strong,8,8,695775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,3,lowcore,strong,12,12,695775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,1,3,lowcore,strong,16,16,695775,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,1,5,development,joint,8,8,22410,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,1,5,development,joint,12,12,21332,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_094,1,5,development,joint,16,16,21332,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,3,5,validation,strong,8,8,322542,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,3,5,validation,strong,12,12,322542,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_099,3,5,validation,strong,16,16,322542,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,1,5,development,joint,8,8,25728,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,1,5,development,joint,12,12,25366,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,1,5,development,joint,16,16,25366,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,1,5,development,strong,8,6,326508,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,1,5,development,strong,12,6,326508,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,1,5,development,strong,16,6,326508,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,4,lowcore,strong,8,8,82513,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,4,lowcore,strong,12,12,80997,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,3,4,lowcore,strong,16,16,80801,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,2,5,validation,strong,8,8,9007,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,2,5,validation,strong,12,12,8714,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,2,5,validation,strong,16,16,8714,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,1,5,validation,joint,8,8,165049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,1,5,validation,joint,12,12,165049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,1,5,validation,joint,16,16,165049,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,1,5,development,strong,8,8,99310,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,1,5,development,strong,12,12,99310,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,1,5,development,strong,16,16,99310,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,1,5,validation,strong,8,8,11828,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,1,5,validation,strong,12,12,11724,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,1,5,validation,strong,16,16,11724,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,1,5,development,joint,8,8,925892,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,1,5,development,joint,12,12,760157,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_075,1,5,development,joint,16,13,732513,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,1,5,development,joint,8,8,99310,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,1,5,development,joint,12,12,99310,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,1,5,development,joint,16,16,99310,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,3,5,validation,joint,8,8,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,3,5,validation,joint,12,12,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_022,3,5,validation,joint,16,16,11820,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,3,5,development,strong,8,8,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,3,5,development,strong,12,12,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,3,5,development,strong,16,16,31729,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,4,lowcore,strong,8,8,91784,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,4,lowcore,strong,12,12,85399,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,4,lowcore,strong,16,16,84913,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,3,lowcore,strong,8,8,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,3,lowcore,strong,12,12,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,3,lowcore,strong,16,16,79308,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,2,5,validation,strong,8,8,30702,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,2,5,validation,strong,12,12,28330,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,2,5,validation,strong,16,16,28295,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,3,5,development,joint,8,8,116004,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,3,5,development,joint,12,12,115843,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_047,3,5,development,joint,16,16,115843,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,4,lowcore,strong,8,8,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,4,lowcore,strong,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,4,lowcore,strong,16,15,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,1,5,development,strong,8,8,17325,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,1,5,development,strong,12,12,16469,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,1,5,development,strong,16,16,15155,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,2,5,validation,strong,8,8,358905,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,2,5,validation,strong,12,12,358905,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,2,5,validation,strong,16,16,358905,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,1,5,validation,joint,8,8,10902,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,1,5,validation,joint,12,12,10443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,1,5,validation,joint,16,16,10443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,3,lowcore,joint,8,8,312423,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,3,lowcore,joint,12,12,312423,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,3,lowcore,joint,16,16,312423,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,5,development,strong,8,8,93013,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,5,development,strong,12,12,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,2,5,development,strong,16,16,77846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,1,5,validation,joint,8,8,12786,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,1,5,validation,joint,12,12,12786,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_012,1,5,validation,joint,16,16,12786,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,1,5,development,strong,8,6,2760933,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,1,5,development,strong,12,6,2760933,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_085,1,5,development,strong,16,6,2760933,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,3,lowcore,joint,8,8,85607,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,3,lowcore,joint,12,12,85607,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,3,lowcore,joint,16,16,81783,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,3,5,development,joint,8,8,82008,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,3,5,development,joint,12,12,81970,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,3,5,development,joint,16,16,80374,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,2,5,validation,strong,8,8,159524,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,2,5,validation,strong,12,12,159524,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,2,5,validation,strong,16,16,159524,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,2,5,validation,joint,8,8,110038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,2,5,validation,joint,12,12,110038,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_077,2,5,validation,joint,16,16,108214,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,2,lowcore,joint,8,8,318398,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,2,lowcore,joint,12,12,318398,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,2,lowcore,joint,16,16,318398,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,3,lowcore,strong,8,8,91779,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,3,lowcore,strong,12,12,86763,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,1,3,lowcore,strong,16,16,86698,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,2,lowcore,strong,8,8,318398,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,2,lowcore,strong,12,12,318398,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,3,2,lowcore,strong,16,16,318398,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,1,5,validation,strong,8,8,35496,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,1,5,validation,strong,12,12,35496,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_017,1,5,validation,strong,16,16,35496,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,5,development,joint,8,8,260123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,5,development,joint,12,12,260123,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,1,5,development,joint,16,16,259576,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,2,5,development,strong,8,8,8945,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,2,5,development,strong,12,12,8559,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_064,2,5,development,strong,16,16,8559,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,3,5,validation,strong,8,8,119851,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,3,5,validation,strong,12,12,119788,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,3,5,validation,strong,16,16,119788,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,2,lowcore,joint,8,8,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,2,lowcore,joint,12,12,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_095,2,2,lowcore,joint,16,16,539178,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,3,lowcore,joint,8,8,228533,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,3,lowcore,joint,12,12,228533,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,3,lowcore,joint,16,16,228533,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,2,5,development,joint,8,8,82150,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_044,2,5,development,joint,12,12,82112,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
