case,problem,cores,group,variant,observed_prefix,calls,makespan,note
case_006,1,5,development,strong,12,12,25366,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_006,1,5,development,strong,16,16,25366,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,2,5,validation,joint,8,8,159524,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,2,5,validation,joint,12,12,159524,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_034,2,5,validation,joint,16,16,158846,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,1,5,development,strong,8,8,16672,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,1,5,development,strong,12,12,15690,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_069,1,5,development,strong,16,16,15434,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,3,lowcore,strong,8,8,228533,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,3,lowcore,strong,12,12,228533,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_051,2,3,lowcore,strong,16,16,228533,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,2,5,validation,joint,8,8,119851,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,2,5,validation,joint,12,12,118946,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_089,2,5,validation,joint,16,16,118946,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,5,development,strong,8,8,124612,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,5,development,strong,12,12,124612,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_046,1,5,development,strong,16,16,124612,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,4,lowcore,joint,8,8,84037,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,4,lowcore,joint,12,12,62293,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_009,2,4,lowcore,joint,16,16,61588,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,1,5,validation,strong,8,8,10902,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,1,5,validation,strong,12,12,10443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_065,1,5,validation,strong,16,16,10443,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
case_042,1,5,validation,strong,8,8,343752,"Observed prefix of registered B16 run, not separate B8/B12 rerun"
