group,problem,configs,valid_pairs,joint_wins,ties,strong_wins,mean_paired_reduction_pct,worst_regression_pct,mean_joint_seconds,mean_strong_seconds,joint_calls,strong_calls,joint_failures,strong_failures
development,1,12,12,0,9,3,-1.846059784854574,18.73037741812611,61.81179656516664,59.142847836075816,169,172,3,6
development,2,12,12,6,6,0,0.24337231278410884,0,40.62789000125,36.05038957558281,188,188,1,1
development,3,12,12,3,8,1,-1.0895164443073035,17.572885124559324,43.51794429441846,37.463308553914736,187,188,1,1
validation,1,12,12,0,10,2,-0.23992745850863195,1.9920602424652323,47.58915039474717,46.992878526330365,187,186,2,1
validation,2,12,12,6,6,0,0.8573048414875578,0,34.00408717791288,24.821451772838675,192,192,0,0
validation,3,12,12,9,3,0,0.7928984334733186,0,35.83165742083414,26.49657736300287,191,192,0,0
lowcore,1,12,12,0,8,4,-0.8275477058746594,6.941828121618254,39.29065663799702,35.35497386049974,192,192,0,0
lowcore,2,12,12,2,10,0,0.46655606535721267,0,21.1506687786629,17.108005134422758,192,188,0,0
lowcore,3,12,12,3,9,0,0.7790763632853165,0,22.822391139413714,17.908733745830734,192,188,0,0
